Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549588770,2019-02-08T01:19:30Z,AIC640,"13.203541,77.7108",0,0,271
1549588893,2019-02-08T01:21:33Z,AIC640,"13.203309,77.710815",0,2,8
1549588927,2019-02-08T01:22:07Z,AIC640,"13.203088,77.710754",0,2,2
1549588958,2019-02-08T01:22:38Z,AIC640,"13.202867,77.710747",0,2,298
1549588970,2019-02-08T01:22:50Z,AIC640,"13.203106,77.710777",0,2,272
1549589006,2019-02-08T01:23:26Z,AIC640,"13.202785,77.710777",0,2,267
1549589246,2019-02-08T01:27:26Z,AIC640,"13.202785,77.710587",0,2,270
1549589269,2019-02-08T01:27:49Z,AIC640,"13.202785,77.71035",0,14,270
1549589281,2019-02-08T01:28:01Z,AIC640,"13.202785,77.710007",0,19,270
1549589288,2019-02-08T01:28:08Z,AIC640,"13.202785,77.709778",0,21,270
1549589324,2019-02-08T01:28:44Z,AIC640,"13.202808,77.707802",0,34,270
1549589331,2019-02-08T01:28:51Z,AIC640,"13.202808,77.707375",0,15,270
1549589337,2019-02-08T01:28:57Z,AIC640,"13.202808,77.706879",0,16,270
1549589348,2019-02-08T01:29:08Z,AIC640,"13.20282,77.705948",0,17,270
1549589363,2019-02-08T01:29:23Z,AIC640,"13.202831,77.704819",0,32,270
1549589376,2019-02-08T01:29:36Z,AIC640,"13.202855,77.704155",0,23,275
1549589387,2019-02-08T01:29:47Z,AIC640,"13.20322,77.703918",0,21,348
1549589395,2019-02-08T01:29:55Z,AIC640,"13.203461,77.703911",0,22,2
1549589401,2019-02-08T01:30:01Z,AIC640,"13.203735,77.703918",0,23,3
1549589409,2019-02-08T01:30:09Z,AIC640,"13.204136,77.703918",0,24,3
1549589418,2019-02-08T01:30:18Z,AIC640,"13.204514,77.703918",0,24,3
1549589430,2019-02-08T01:30:30Z,AIC640,"13.20509,77.70388",0,25,340
1549589467,2019-02-08T01:31:07Z,AIC640,"13.205322,77.701889",0,31,270
1549589479,2019-02-08T01:31:19Z,AIC640,"13.205322,77.701073",0,33,270
1549589486,2019-02-08T01:31:26Z,AIC640,"13.205326,77.700676",0,34,270
1549589496,2019-02-08T01:31:36Z,AIC640,"13.205326,77.699837",0,15,270
1549589502,2019-02-08T01:31:42Z,AIC640,"13.205338,77.699387",0,16,270
1549589513,2019-02-08T01:31:53Z,AIC640,"13.205338,77.698578",0,17,270
1549589527,2019-02-08T01:32:07Z,AIC640,"13.205345,77.697304",0,18,270
1549589542,2019-02-08T01:32:22Z,AIC640,"13.205357,77.6959",0,20,270
1549589548,2019-02-08T01:32:28Z,AIC640,"13.205369,77.695251",0,21,270
1549589572,2019-02-08T01:32:52Z,AIC640,"13.205383,77.693611",0,31,270
1549589579,2019-02-08T01:32:59Z,AIC640,"13.205383,77.693161",0,33,270
1549589588,2019-02-08T01:33:08Z,AIC640,"13.205395,77.692497",0,15,270
1549589594,2019-02-08T01:33:14Z,AIC640,"13.205392,77.692009",0,16,270
1549589600,2019-02-08T01:33:20Z,AIC640,"13.205403,77.691528",0,17,270
1549589612,2019-02-08T01:33:32Z,AIC640,"13.205403,77.690796",0,28,270
1549589623,2019-02-08T01:33:43Z,AIC640,"13.205406,77.690353",0,13,270
1549589687,2019-02-08T01:34:47Z,AIC640,"13.205427,77.689316",0,14,270
1549589705,2019-02-08T01:35:05Z,AIC640,"13.205429,77.688934",0,16,270
1549589902,2019-02-08T01:38:22Z,AIC640,"13.205427,77.688072",0,2,270
1549589932,2019-02-08T01:38:52Z,AIC640,"13.205427,77.687782",0,11,270
1549589952,2019-02-08T01:39:12Z,AIC640,"13.205429,77.687431",0,13,270
1549590190,2019-02-08T01:43:10Z,AIC640,"13.205452,77.686554",0,14,275
1549590210,2019-02-08T01:43:30Z,AIC640,"13.205772,77.686188",0,16,331
1549590249,2019-02-08T01:44:09Z,AIC640,"13.206528,77.686172",0,15,359
