Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549848158,2019-02-11T01:22:38Z,AIC640,"13.201493,77.711403",0,0,171
1549848210,2019-02-11T01:23:30Z,AIC640,"13.201715,77.711456",0,9,174
1549848230,2019-02-11T01:23:50Z,AIC640,"13.201927,77.711433",0,9,177
1549848254,2019-02-11T01:24:14Z,AIC640,"13.202179,77.711433",0,10,216
1549848277,2019-02-11T01:24:37Z,AIC640,"13.202385,77.711594",0,9,267
1549848295,2019-02-11T01:24:55Z,AIC640,"13.202385,77.711807",0,9,267
1549848320,2019-02-11T01:25:20Z,AIC640,"13.202389,77.712059",0,9,270
1549848346,2019-02-11T01:25:46Z,AIC640,"13.202374,77.712357",0,2,270
1549848479,2019-02-11T01:27:59Z,AIC640,"13.202385,77.712395",0,0,33
1549848565,2019-02-11T01:29:25Z,AIC640,"13.202362,77.712334",0,2,270
1549848606,2019-02-11T01:30:06Z,AIC640,"13.202377,77.711861",0,15,270
1549848614,2019-02-11T01:30:14Z,AIC640,"13.202377,77.711632",0,16,270
1549848630,2019-02-11T01:30:30Z,AIC640,"13.202366,77.711121",0,22,270
1549848642,2019-02-11T01:30:42Z,AIC640,"13.202377,77.710648",0,26,270
1549848648,2019-02-11T01:30:48Z,AIC640,"13.202389,77.710236",0,29,270
1549848655,2019-02-11T01:30:55Z,AIC640,"13.202385,77.709793",0,32,270
1549848661,2019-02-11T01:31:01Z,AIC640,"13.202389,77.709381",0,15,270
1549848668,2019-02-11T01:31:08Z,AIC640,"13.202401,77.708885",0,16,270
1549848679,2019-02-11T01:31:19Z,AIC640,"13.202413,77.707878",0,18,270
1549848685,2019-02-11T01:31:25Z,AIC640,"13.202413,77.707298",0,19,270
1549848692,2019-02-11T01:31:32Z,AIC640,"13.202419,77.706772",0,19,270
1549848718,2019-02-11T01:31:58Z,AIC640,"13.202435,77.70459",0,15,270
1549848724,2019-02-11T01:32:04Z,AIC640,"13.202506,77.70417",0,15,286
1549848734,2019-02-11T01:32:14Z,AIC640,"13.203014,77.703911",0,30,2
1549848744,2019-02-11T01:32:24Z,AIC640,"13.203541,77.703918",0,29,2
1549848750,2019-02-11T01:32:30Z,AIC640,"13.203891,77.703926",0,28,2
1549848758,2019-02-11T01:32:38Z,AIC640,"13.204365,77.703934",0,26,3
1549848764,2019-02-11T01:32:44Z,AIC640,"13.204647,77.703926",0,25,357
1549848770,2019-02-11T01:32:50Z,AIC640,"13.204949,77.703926",0,24,357
1549848777,2019-02-11T01:32:57Z,AIC640,"13.205166,77.703812",0,25,323
1549848807,2019-02-11T01:33:27Z,AIC640,"13.205315,77.702026",0,16,270
1549848817,2019-02-11T01:33:37Z,AIC640,"13.205322,77.700966",0,20,270
1549848825,2019-02-11T01:33:45Z,AIC640,"13.205334,77.70018",0,23,270
1549848832,2019-02-11T01:33:52Z,AIC640,"13.205338,77.699394",0,25,270
1549848838,2019-02-11T01:33:58Z,AIC640,"13.205345,77.698555",0,27,270
1549848846,2019-02-11T01:34:06Z,AIC640,"13.205349,77.697548",0,28,270
1549848860,2019-02-11T01:34:20Z,AIC640,"13.205369,77.695724",0,28,270
1549848870,2019-02-11T01:34:30Z,AIC640,"13.20538,77.694237",0,28,270
1549848880,2019-02-11T01:34:40Z,AIC640,"13.205383,77.693039",0,28,270
1549848887,2019-02-11T01:34:47Z,AIC640,"13.205395,77.6922",0,28,270
1549848897,2019-02-11T01:34:57Z,AIC640,"13.205406,77.690811",0,27,270
1549848911,2019-02-11T01:35:11Z,AIC640,"13.205418,77.688965",0,27,270
1549848921,2019-02-11T01:35:21Z,AIC640,"13.205427,77.687592",0,25,270
1549848930,2019-02-11T01:35:30Z,AIC640,"13.205439,77.686783",0,16,270
1549848936,2019-02-11T01:35:36Z,AIC640,"13.205462,77.686447",0,29,281
1549848943,2019-02-11T01:35:43Z,AIC640,"13.205764,77.686195",0,25,345
1549848958,2019-02-11T01:35:58Z,AIC640,"13.206381,77.686172",0,21,351
1549848966,2019-02-11T01:36:06Z,AIC640,"13.206642,77.686195",0,20,5
1549848975,2019-02-11T01:36:15Z,AIC640,"13.206951,77.686264",0,20,16
1549848984,2019-02-11T01:36:24Z,AIC640,"13.207146,77.686539",0,21,75
1549849002,2019-02-11T01:36:42Z,AIC640,"13.207169,77.687347",0,34,90
1549849011,2019-02-11T01:36:51Z,AIC640,"13.20715,77.68866",0,45,90
