Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550106626,2019-02-14T01:10:26Z,AIC640,"13.201668,77.709999",0,0,271
1550106656,2019-02-14T01:10:56Z,AIC640,"13.201912,77.709976",0,9,168
1550106681,2019-02-14T01:11:21Z,AIC640,"13.202122,77.709908",0,2,191
1550106711,2019-02-14T01:11:51Z,AIC640,"13.202331,77.709938",0,2,247
1550106738,2019-02-14T01:12:18Z,AIC640,"13.201994,77.709946",0,0,114
1550106876,2019-02-14T01:14:36Z,AIC640,"13.202401,77.709747",0,15,270
1550106897,2019-02-14T01:14:57Z,AIC640,"13.202401,77.709068",0,20,270
1550106903,2019-02-14T01:15:03Z,AIC640,"13.202401,77.708832",0,22,270
1550106909,2019-02-14T01:15:09Z,AIC640,"13.202396,77.708572",0,24,270
1550106915,2019-02-14T01:15:15Z,AIC640,"13.202401,77.708336",0,25,270
1550106922,2019-02-14T01:15:22Z,AIC640,"13.202408,77.707954",0,27,270
1550106928,2019-02-14T01:15:28Z,AIC640,"13.202413,77.707611",0,29,270
1550106935,2019-02-14T01:15:35Z,AIC640,"13.202413,77.707253",0,30,270
1550106943,2019-02-14T01:15:43Z,AIC640,"13.202419,77.70668",0,31,270
1550106950,2019-02-14T01:15:50Z,AIC640,"13.202413,77.706299",0,31,270
1550106956,2019-02-14T01:15:56Z,AIC640,"13.202419,77.705994",0,26,270
1550106962,2019-02-14T01:16:02Z,AIC640,"13.202419,77.70565",0,27,270
1550106974,2019-02-14T01:16:14Z,AIC640,"13.202431,77.70491",0,28,270
1550106983,2019-02-14T01:16:23Z,AIC640,"13.202431,77.704498",0,25,270
1550106989,2019-02-14T01:16:29Z,AIC640,"13.202459,77.704193",0,26,284
1550106995,2019-02-14T01:16:35Z,AIC640,"13.202637,77.703987",0,24,320
1550107005,2019-02-14T01:16:45Z,AIC640,"13.203017,77.703911",0,23,2
1550107011,2019-02-14T01:16:51Z,AIC640,"13.203297,77.703911",0,26,2
1550107017,2019-02-14T01:16:57Z,AIC640,"13.203588,77.703911",0,28,2
1550107023,2019-02-14T01:17:03Z,AIC640,"13.203987,77.703918",0,31,2
1550107034,2019-02-14T01:17:14Z,AIC640,"13.204639,77.703934",0,29,2
