Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550193328,2019-02-15T01:15:28Z,AIC640,"13.203542,77.710815",0,0,144
1550193363,2019-02-15T01:16:03Z,AIC640,"13.203323,77.7108",0,9,11
1550193387,2019-02-15T01:16:27Z,AIC640,"13.203083,77.710739",0,9,2
1550193411,2019-02-15T01:16:51Z,AIC640,"13.202878,77.710709",0,2,306
1550193579,2019-02-15T01:19:39Z,AIC640,"13.202774,77.710609",0,0,180
1550193717,2019-02-15T01:21:57Z,AIC640,"13.202785,77.710381",0,11,270
1550193728,2019-02-15T01:22:08Z,AIC640,"13.202785,77.710121",0,22,270
1550193740,2019-02-15T01:22:20Z,AIC640,"13.202785,77.709412",0,30,270
1550193764,2019-02-15T01:22:44Z,AIC640,"13.202774,77.707932",0,30,258
1550193771,2019-02-15T01:22:51Z,AIC640,"13.20261,77.707626",0,31,236
1550193781,2019-02-15T01:23:01Z,AIC640,"13.202408,77.707024",0,33,267
1550193787,2019-02-15T01:23:07Z,AIC640,"13.202408,77.706604",0,33,270
1550193793,2019-02-15T01:23:13Z,AIC640,"13.202419,77.706207",0,33,270
1550193799,2019-02-15T01:23:19Z,AIC640,"13.202419,77.705864",0,33,270
1550193817,2019-02-15T01:23:37Z,AIC640,"13.202435,77.704651",0,27,270
1550193823,2019-02-15T01:23:43Z,AIC640,"13.202442,77.704346",0,27,272
1550193829,2019-02-15T01:23:49Z,AIC640,"13.202568,77.704025",0,25,306
1550193838,2019-02-15T01:23:58Z,AIC640,"13.2029,77.703911",0,22,354
1550193850,2019-02-15T01:24:10Z,AIC640,"13.203438,77.703911",0,29,354
1550193856,2019-02-15T01:24:16Z,AIC640,"13.20377,77.703918",0,32,1
1550193865,2019-02-15T01:24:25Z,AIC640,"13.204479,77.703918",0,33,1
1550193871,2019-02-15T01:24:31Z,AIC640,"13.204823,77.703934",0,31,3
1550193878,2019-02-15T01:24:38Z,AIC640,"13.205212,77.703789",0,30,323
1550193887,2019-02-15T01:24:47Z,AIC640,"13.205311,77.703323",0,29,270
1550193893,2019-02-15T01:24:53Z,AIC640,"13.205303,77.70295",0,28,270
1550193899,2019-02-15T01:24:59Z,AIC640,"13.205311,77.702637",0,27,270
1550193905,2019-02-15T01:25:05Z,AIC640,"13.205303,77.702324",0,27,270
1550193914,2019-02-15T01:25:14Z,AIC640,"13.205315,77.701767",0,33,270
1550193925,2019-02-15T01:25:25Z,AIC640,"13.205326,77.700874",0,16,270
1550193931,2019-02-15T01:25:31Z,AIC640,"13.205326,77.700333",0,17,270
1550193937,2019-02-15T01:25:37Z,AIC640,"13.205326,77.699883",0,16,270
1550193946,2019-02-15T01:25:46Z,AIC640,"13.205338,77.699135",0,16,270
1550193954,2019-02-15T01:25:54Z,AIC640,"13.205338,77.698616",0,17,270
1550193968,2019-02-15T01:26:08Z,AIC640,"13.205345,77.697411",0,16,270
1550193985,2019-02-15T01:26:25Z,AIC640,"13.205357,77.696144",0,16,270
1550193994,2019-02-15T01:26:34Z,AIC640,"13.205357,77.695457",0,16,270
1550194003,2019-02-15T01:26:43Z,AIC640,"13.205372,77.694733",0,15,272
1550194013,2019-02-15T01:26:53Z,AIC640,"13.205647,77.694229",0,30,329
1550194020,2019-02-15T01:27:00Z,AIC640,"13.205978,77.694328",0,25,33
1550194026,2019-02-15T01:27:06Z,AIC640,"13.20615,77.694565",0,24,59
1550194051,2019-02-15T01:27:31Z,AIC640,"13.206917,77.696022",0,18,64
1550194060,2019-02-15T01:27:40Z,AIC640,"13.207079,77.696953",0,27,87
1550194068,2019-02-15T01:27:48Z,AIC640,"13.207054,77.698593",0,50,90
1550194076,2019-02-15T01:27:56Z,AIC640,"13.207031,77.701027",0,80,90
1550194083,2019-02-15T01:28:03Z,AIC640,"13.207008,77.704048",0,105,90
1550194094,2019-02-15T01:28:14Z,AIC640,"13.20694,77.711258",0,145,90
1550194103,2019-02-15T01:28:23Z,AIC640,"13.20687,77.718727",2900,164,90
1550194110,2019-02-15T01:28:30Z,AIC640,"13.20687,77.723358",3100,163,90
1550194130,2019-02-15T01:28:50Z,AIC640,"13.206823,77.739983",3825,166,91
1550194137,2019-02-15T01:28:57Z,AIC640,"13.206802,77.744751",3975,170,90
1550194160,2019-02-15T01:29:20Z,AIC640,"13.20687,77.765327",4575,189,90
1550194167,2019-02-15T01:29:27Z,AIC640,"13.20673,77.771202",4700,195,91
1550194173,2019-02-15T01:29:33Z,AIC640,"13.206591,77.77684",4800,203,91
1550194179,2019-02-15T01:29:39Z,AIC640,"13.206497,77.782722",4925,209,91
1550194185,2019-02-15T01:29:45Z,AIC640,"13.20639,77.788788",5025,217,91
1550194209,2019-02-15T01:30:09Z,AIC640,"13.211014,77.815926",5400,261,65
1550194215,2019-02-15T01:30:15Z,AIC640,"13.215296,77.822472",5525,273,52
1550194222,2019-02-15T01:30:22Z,AIC640,"13.221039,77.828194",5650,282,40
1550194228,2019-02-15T01:30:28Z,AIC640,"13.228051,77.832741",5825,288,29
1550194235,2019-02-15T01:30:35Z,AIC640,"13.235779,77.835815",6075,291,18
1550194242,2019-02-15T01:30:42Z,AIC640,"13.247269,77.837425",6475,293,1
1550194264,2019-02-15T01:31:04Z,AIC640,"13.276,77.833656",7900,281,352
1550194270,2019-02-15T01:31:10Z,AIC640,"13.283936,77.832642",8300,278,353
1550194282,2019-02-15T01:31:22Z,AIC640,"13.299271,77.83065",8925,279,352
1550194295,2019-02-15T01:31:35Z,AIC640,"13.315197,77.828499",9325,288,352
1550194307,2019-02-15T01:31:47Z,AIC640,"13.331397,77.826279",9700,297,352
1550194319,2019-02-15T01:31:59Z,AIC640,"13.347794,77.82402",10200,303,352
1550194331,2019-02-15T01:32:11Z,AIC640,"13.366196,77.821419",10575,313,352
1550194343,2019-02-15T01:32:23Z,AIC640,"13.383957,77.818954",10800,327,352
1550194355,2019-02-15T01:32:35Z,AIC640,"13.402771,77.814407",11000,343,340
1550194361,2019-02-15T01:32:41Z,AIC640,"13.411606,77.810242",11075,350,333
1550194368,2019-02-15T01:32:48Z,AIC640,"13.418077,77.806526",11225,354,330
1550194374,2019-02-15T01:32:54Z,AIC640,"13.428645,77.800209",11450,357,329
1550194392,2019-02-15T01:33:12Z,AIC640,"13.454407,77.784721",11925,351,329
1550194404,2019-02-15T01:33:24Z,AIC640,"13.471985,77.774094",12250,350,329
1550194435,2019-02-15T01:33:55Z,AIC640,"13.515335,77.747688",13425,359,329
1550194466,2019-02-15T01:34:26Z,AIC640,"13.56015,77.720505",14025,358,329
1550194476,2019-02-15T01:34:36Z,AIC640,"13.573655,77.712273",14050,359,329
1550194534,2019-02-15T01:35:34Z,AIC640,"13.658203,77.66098",16475,351,329
1550194568,2019-02-15T01:36:08Z,AIC640,"13.70591,77.631897",17525,359,329
1550194601,2019-02-15T01:36:41Z,AIC640,"13.752731,77.603493",19000,351,329
1550194665,2019-02-15T01:37:45Z,AIC640,"13.841217,77.549698",21275,352,329
1550194727,2019-02-15T01:38:47Z,AIC640,"13.930939,77.49382",22775,371,325
1550194791,2019-02-15T01:39:51Z,AIC640,"14.021487,77.426247",23925,393,323
1550194854,2019-02-15T01:40:54Z,AIC640,"14.115569,77.356133",25100,410,323
1550194917,2019-02-15T01:41:57Z,AIC640,"14.215564,77.281204",26400,421,323
1550194981,2019-02-15T01:43:01Z,AIC640,"14.31742,77.204926",27450,435,323
1550195041,2019-02-15T01:44:01Z,AIC640,"14.41383,77.132652",29200,422,323
1550195104,2019-02-15T01:45:04Z,AIC640,"14.514954,77.056686",30300,425,323
1550195167,2019-02-15T01:46:07Z,AIC640,"14.614004,76.982307",31250,431,323
1550195231,2019-02-15T01:47:11Z,AIC640,"14.717257,76.904686",32250,432,323
1550195291,2019-02-15T01:48:11Z,AIC640,"14.815887,76.830376",33350,430,323
1550195353,2019-02-15T01:49:13Z,AIC640,"14.917432,76.753876",34450,428,323
1550195417,2019-02-15T01:50:17Z,AIC640,"15.017578,76.678406",35850,417,323
1550195481,2019-02-15T01:51:21Z,AIC640,"15.115906,76.60405",36350,412,323
1550195540,2019-02-15T01:52:20Z,AIC640,"15.207871,76.534538",36975,417,323
1550195604,2019-02-15T01:53:24Z,AIC640,"15.3074,76.459053",37875,412,323
1550195667,2019-02-15T01:54:27Z,AIC640,"15.403931,76.385918",38000,406,323
1550195731,2019-02-15T01:55:31Z,AIC640,"15.500173,76.312798",38000,409,323
1550195790,2019-02-15T01:56:30Z,AIC640,"15.592484,76.242661",38000,412,323
1550195855,2019-02-15T01:57:35Z,AIC640,"15.689594,76.1688",38025,409,323
1550195916,2019-02-15T01:58:36Z,AIC640,"15.785213,76.095772",38000,407,323
1550195981,2019-02-15T01:59:41Z,AIC640,"15.882248,76.021828",37950,407,323
1550196041,2019-02-15T02:00:41Z,AIC640,"15.974716,75.951134",37975,411,323
1550196104,2019-02-15T02:01:44Z,AIC640,"16.071554,75.877121",38000,413,323
1550196167,2019-02-15T02:02:47Z,AIC640,"16.169266,75.802338",38000,414,323
1550196230,2019-02-15T02:03:50Z,AIC640,"16.266842,75.727531",38000,412,323
1550196291,2019-02-15T02:04:51Z,AIC640,"16.358921,75.65686",37975,411,323
1550196354,2019-02-15T02:05:54Z,AIC640,"16.455688,75.58252",37975,411,323
