Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550279455,2019-02-16T01:10:55Z,AIC640,"13.201664,77.709908",0,0,316
1550279572,2019-02-16T01:12:52Z,AIC640,"13.20187,77.709984",0,2,168
1550279612,2019-02-16T01:13:32Z,AIC640,"13.202133,77.709923",0,2,185
1550279645,2019-02-16T01:14:05Z,AIC640,"13.202354,77.709923",0,2,250
1550279759,2019-02-16T01:15:59Z,AIC640,"13.202408,77.709953",0,11,272
1550279768,2019-02-16T01:16:08Z,AIC640,"13.202408,77.709709",0,19,272
1550279778,2019-02-16T01:16:18Z,AIC640,"13.202419,77.709343",0,24,270
1550279784,2019-02-16T01:16:24Z,AIC640,"13.202419,77.709045",0,28,270
1550279793,2019-02-16T01:16:33Z,AIC640,"13.202431,77.708359",0,15,270
1550279799,2019-02-16T01:16:39Z,AIC640,"13.202431,77.707886",0,17,270
1550279805,2019-02-16T01:16:45Z,AIC640,"13.202435,77.707359",0,18,270
1550279812,2019-02-16T01:16:52Z,AIC640,"13.202431,77.706818",0,18,270
1550279818,2019-02-16T01:16:58Z,AIC640,"13.202442,77.706276",0,17,270
1550279852,2019-02-16T01:17:32Z,AIC640,"13.202545,77.704117",0,24,300
1550279860,2019-02-16T01:17:40Z,AIC640,"13.202854,77.703934",0,20,343
1550279872,2019-02-16T01:17:52Z,AIC640,"13.203309,77.703911",0,22,358
1550279885,2019-02-16T01:18:05Z,AIC640,"13.203891,77.703926",0,25,1
1550279895,2019-02-16T01:18:15Z,AIC640,"13.204345,77.703926",0,26,359
1550279904,2019-02-16T01:18:24Z,AIC640,"13.204752,77.703926",0,27,357
1550279910,2019-02-16T01:18:30Z,AIC640,"13.205124,77.703758",0,34,320
1550279916,2019-02-16T01:18:36Z,AIC640,"13.205322,77.703262",0,17,278
1550279922,2019-02-16T01:18:42Z,AIC640,"13.205322,77.702843",0,17,272
1550279929,2019-02-16T01:18:49Z,AIC640,"13.205334,77.702278",0,16,270
1550279936,2019-02-16T01:18:56Z,AIC640,"13.205334,77.701828",0,15,270
1550279944,2019-02-16T01:19:04Z,AIC640,"13.205334,77.701218",0,15,270
1550279950,2019-02-16T01:19:10Z,AIC640,"13.205326,77.700684",0,16,270
1550279962,2019-02-16T01:19:22Z,AIC640,"13.205338,77.699821",0,16,270
1550279968,2019-02-16T01:19:28Z,AIC640,"13.205345,77.699387",0,16,270
1550279977,2019-02-16T01:19:37Z,AIC640,"13.205349,77.69857",0,17,270
1550279989,2019-02-16T01:19:49Z,AIC640,"13.205349,77.697571",0,18,270
1550279998,2019-02-16T01:19:58Z,AIC640,"13.20536,77.696701",0,19,270
1550280005,2019-02-16T01:20:05Z,AIC640,"13.205369,77.696022",0,20,270
1550280018,2019-02-16T01:20:18Z,AIC640,"13.205372,77.694771",0,21,270
1550280034,2019-02-16T01:20:34Z,AIC640,"13.205392,77.693207",0,21,270
1550280042,2019-02-16T01:20:42Z,AIC640,"13.205403,77.692276",0,21,270
1550280048,2019-02-16T01:20:48Z,AIC640,"13.205406,77.69162",0,21,270
1550280078,2019-02-16T01:21:18Z,AIC640,"13.205427,77.68869",0,20,270
1550280085,2019-02-16T01:21:25Z,AIC640,"13.205441,77.688057",0,20,270
1550280099,2019-02-16T01:21:39Z,AIC640,"13.20545,77.686745",0,18,270
1550280107,2019-02-16T01:21:47Z,AIC640,"13.205727,77.686279",0,34,323
1550280118,2019-02-16T01:21:58Z,AIC640,"13.206392,77.686172",0,29,352
1550280128,2019-02-16T01:22:08Z,AIC640,"13.206894,77.686218",0,26,16
1550280134,2019-02-16T01:22:14Z,AIC640,"13.207111,77.686432",0,25,56
1550280146,2019-02-16T01:22:26Z,AIC640,"13.207169,77.687263",0,20,90
1550280152,2019-02-16T01:22:32Z,AIC640,"13.207157,77.688065",0,33,90
1550280164,2019-02-16T01:22:44Z,AIC640,"13.207123,77.691406",0,78,90
