Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550365845,2019-02-17T01:10:45Z,AIC640,"13.203565,77.710808",0,0,357
1550365996,2019-02-17T01:13:16Z,AIC640,"13.203309,77.710815",0,9,14
1550366020,2019-02-17T01:13:40Z,AIC640,"13.203072,77.710739",0,9,2
1550366044,2019-02-17T01:14:04Z,AIC640,"13.202855,77.710754",0,2,300
1550366251,2019-02-17T01:17:31Z,AIC640,"13.202785,77.710548",0,2,272
1550366267,2019-02-17T01:17:47Z,AIC640,"13.202785,77.710327",0,12,270
1550366279,2019-02-17T01:17:59Z,AIC640,"13.202785,77.710091",0,13,270
1550366331,2019-02-17T01:18:51Z,AIC640,"13.202808,77.708511",0,21,270
1550366338,2019-02-17T01:18:58Z,AIC640,"13.202808,77.708229",0,22,270
1550366345,2019-02-17T01:19:05Z,AIC640,"13.202808,77.70797",0,23,270
1550366356,2019-02-17T01:19:16Z,AIC640,"13.202808,77.707397",0,24,270
1550366362,2019-02-17T01:19:22Z,AIC640,"13.202808,77.707108",0,25,270
1550366369,2019-02-17T01:19:29Z,AIC640,"13.20282,77.70681",0,25,270
1550366381,2019-02-17T01:19:41Z,AIC640,"13.20282,77.7062",0,25,270
1550366387,2019-02-17T01:19:47Z,AIC640,"13.202831,77.70594",0,25,270
1550366398,2019-02-17T01:19:58Z,AIC640,"13.202831,77.70533",0,25,270
1550366409,2019-02-17T01:20:09Z,AIC640,"13.202843,77.704834",0,25,270
1550366442,2019-02-17T01:20:42Z,AIC640,"13.202854,77.703316",0,21,270
1550366458,2019-02-17T01:20:58Z,AIC640,"13.202855,77.702721",0,20,270
1550366473,2019-02-17T01:21:13Z,AIC640,"13.202866,77.702118",0,22,270
1550366485,2019-02-17T01:21:25Z,AIC640,"13.202877,77.701561",0,23,270
1550366491,2019-02-17T01:21:31Z,AIC640,"13.202878,77.701324",0,24,270
1550366502,2019-02-17T01:21:42Z,AIC640,"13.202877,77.700829",0,26,270
1550366514,2019-02-17T01:21:54Z,AIC640,"13.202878,77.700203",0,25,270
1550366520,2019-02-17T01:22:00Z,AIC640,"13.202878,77.699913",0,25,270
1550366539,2019-02-17T01:22:19Z,AIC640,"13.202888,77.698982",0,28,270
1550366559,2019-02-17T01:22:39Z,AIC640,"13.202901,77.697701",0,32,270
1550366565,2019-02-17T01:22:45Z,AIC640,"13.202901,77.697289",0,33,270
1550366572,2019-02-17T01:22:52Z,AIC640,"13.202913,77.69693",0,33,270
1550366579,2019-02-17T01:22:59Z,AIC640,"13.202913,77.696396",0,34,270
1550366588,2019-02-17T01:23:08Z,AIC640,"13.202923,77.695702",0,15,270
1550366595,2019-02-17T01:23:15Z,AIC640,"13.202911,77.695221",0,15,270
1550366602,2019-02-17T01:23:22Z,AIC640,"13.202911,77.694771",0,34,270
1550366614,2019-02-17T01:23:34Z,AIC640,"13.202925,77.693939",0,30,270
1550366624,2019-02-17T01:23:44Z,AIC640,"13.203064,77.693459",0,26,303
1550366636,2019-02-17T01:23:56Z,AIC640,"13.203632,77.693321",0,25,2
1550366642,2019-02-17T01:24:02Z,AIC640,"13.203914,77.693336",0,27,3
1550366648,2019-02-17T01:24:08Z,AIC640,"13.20424,77.693336",0,28,3
1550366657,2019-02-17T01:24:17Z,AIC640,"13.204741,77.693352",0,29,1
1550366663,2019-02-17T01:24:23Z,AIC640,"13.205054,77.693336",0,27,357
1550366671,2019-02-17T01:24:31Z,AIC640,"13.205372,77.693085",0,24,300
1550366679,2019-02-17T01:24:39Z,AIC640,"13.205406,77.69278",0,23,272
1550366685,2019-02-17T01:24:45Z,AIC640,"13.205406,77.692497",0,24,270
1550366691,2019-02-17T01:24:51Z,AIC640,"13.205406,77.692177",0,27,270
1550366701,2019-02-17T01:25:01Z,AIC640,"13.205415,77.691635",0,29,270
1550366711,2019-02-17T01:25:11Z,AIC640,"13.205415,77.691132",0,29,270
1550366753,2019-02-17T01:25:53Z,AIC640,"13.205439,77.68869",0,28,270
1550366762,2019-02-17T01:26:02Z,AIC640,"13.205441,77.688171",0,28,270
1550366806,2019-02-17T01:26:46Z,AIC640,"13.205893,77.68618",0,24,343
1550366820,2019-02-17T01:27:00Z,AIC640,"13.206436,77.686188",0,19,2
1550366835,2019-02-17T01:27:15Z,AIC640,"13.206928,77.686325",0,19,36
1550366851,2019-02-17T01:27:31Z,AIC640,"13.207169,77.686745",0,17,70
1550366869,2019-02-17T01:27:49Z,AIC640,"13.207169,77.686966",0,0,89
1550366881,2019-02-17T01:28:01Z,AIC640,"13.207161,77.687172",0,23,90
1550366887,2019-02-17T01:28:07Z,AIC640,"13.207157,77.687584",0,20,90
1550366900,2019-02-17T01:28:20Z,AIC640,"13.207123,77.69091",0,74,90
1550366911,2019-02-17T01:28:31Z,AIC640,"13.207088,77.696877",0,120,90
1550366917,2019-02-17T01:28:37Z,AIC640,"13.207054,77.699837",0,135,90
1550366924,2019-02-17T01:28:44Z,AIC640,"13.207009,77.705589",0,160,90
1550366930,2019-02-17T01:28:50Z,AIC640,"13.206963,77.710312",0,175,90
1550366936,2019-02-17T01:28:56Z,AIC640,"13.20694,77.715485",2900,184,90
1550366943,2019-02-17T01:29:03Z,AIC640,"13.206917,77.720901",3075,184,90
1550366966,2019-02-17T01:29:26Z,AIC640,"13.207077,77.742996",3725,197,90
