Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550452610,2019-02-18T01:16:50Z,AIC640,"13.201801,77.709991",0,2,174
1550452642,2019-02-18T01:17:22Z,AIC640,"13.202017,77.709961",0,2,168
1550452681,2019-02-18T01:18:01Z,AIC640,"13.202248,77.709862",0,2,230
1550452714,2019-02-18T01:18:34Z,AIC640,"13.202401,77.710083",0,2,272
1550452989,2019-02-18T01:23:09Z,AIC640,"13.202351,77.710091",0,0,202
1550453072,2019-02-18T01:24:32Z,AIC640,"13.202389,77.709694",0,14,270
1550453080,2019-02-18T01:24:40Z,AIC640,"13.202401,77.709488",0,16,270
1550453094,2019-02-18T01:24:54Z,AIC640,"13.202401,77.709084",0,18,270
1550453101,2019-02-18T01:25:01Z,AIC640,"13.202401,77.708878",0,19,270
1550453113,2019-02-18T01:25:13Z,AIC640,"13.202401,77.708405",0,22,270
1550453119,2019-02-18T01:25:19Z,AIC640,"13.202408,77.708138",0,23,270
1550453133,2019-02-18T01:25:33Z,AIC640,"13.202408,77.707451",0,26,270
1550453152,2019-02-18T01:25:52Z,AIC640,"13.202419,77.706451",0,27,270
1550453158,2019-02-18T01:25:58Z,AIC640,"13.202419,77.706131",0,27,270
1550453168,2019-02-18T01:26:08Z,AIC640,"13.202419,77.705627",0,25,270
1550453176,2019-02-18T01:26:16Z,AIC640,"13.202431,77.705269",0,23,270
1550453186,2019-02-18T01:26:26Z,AIC640,"13.202435,77.704842",0,22,270
1550453194,2019-02-18T01:26:34Z,AIC640,"13.202435,77.704483",0,23,270
1550453206,2019-02-18T01:26:46Z,AIC640,"13.202576,77.70401",0,21,309
1550453218,2019-02-18T01:26:58Z,AIC640,"13.202911,77.703918",0,16,351
1550453230,2019-02-18T01:27:10Z,AIC640,"13.203285,77.703926",0,21,3
1550453237,2019-02-18T01:27:17Z,AIC640,"13.203678,77.703918",0,30,358
1550453243,2019-02-18T01:27:23Z,AIC640,"13.204065,77.703926",0,34,2
1550453249,2019-02-18T01:27:29Z,AIC640,"13.204388,77.703934",0,34,1
1550453255,2019-02-18T01:27:35Z,AIC640,"13.204844,77.703926",0,29,359
1550453263,2019-02-18T01:27:43Z,AIC640,"13.20524,77.703712",0,27,312
1550453277,2019-02-18T01:27:57Z,AIC640,"13.205303,77.703018",0,25,270
1550453285,2019-02-18T01:28:05Z,AIC640,"13.205303,77.702652",0,25,270
1550453291,2019-02-18T01:28:11Z,AIC640,"13.205315,77.702393",0,27,270
1550453305,2019-02-18T01:28:25Z,AIC640,"13.205311,77.701508",0,33,270
1550453312,2019-02-18T01:28:32Z,AIC640,"13.205315,77.700928",0,16,270
1550453319,2019-02-18T01:28:39Z,AIC640,"13.205322,77.700432",0,17,270
1550453337,2019-02-18T01:28:57Z,AIC640,"13.205334,77.699036",0,16,270
1550453348,2019-02-18T01:29:08Z,AIC640,"13.205338,77.698105",0,15,270
1550453355,2019-02-18T01:29:15Z,AIC640,"13.205345,77.697517",0,15,270
1550453371,2019-02-18T01:29:31Z,AIC640,"13.20536,77.696465",0,15,270
1550453380,2019-02-18T01:29:40Z,AIC640,"13.205357,77.695793",0,15,270
1550453403,2019-02-18T01:30:03Z,AIC640,"13.205383,77.694",0,15,270
1550453413,2019-02-18T01:30:13Z,AIC640,"13.205383,77.693359",0,15,270
1550453419,2019-02-18T01:30:19Z,AIC640,"13.205392,77.692902",0,15,270
1550453425,2019-02-18T01:30:25Z,AIC640,"13.205392,77.692543",0,15,270
1550453431,2019-02-18T01:30:31Z,AIC640,"13.205395,77.692032",0,15,270
1550453441,2019-02-18T01:30:41Z,AIC640,"13.205406,77.691231",0,15,270
1550453454,2019-02-18T01:30:54Z,AIC640,"13.205418,77.690285",0,15,270
1550453469,2019-02-18T01:31:09Z,AIC640,"13.205427,77.689201",0,15,270
1550453477,2019-02-18T01:31:17Z,AIC640,"13.205427,77.688698",0,15,270
1550453497,2019-02-18T01:31:37Z,AIC640,"13.205441,77.687355",0,24,270
1550454049,2019-02-18T01:40:49Z,AIC640,"13.206043,77.68618",0,9,354
1550454221,2019-02-18T01:43:41Z,AIC640,"13.206311,77.68618",0,14,322
1550454237,2019-02-18T01:43:57Z,AIC640,"13.206882,77.686302",0,26,28
1550454266,2019-02-18T01:44:26Z,AIC640,"13.207134,77.689865",0,57,90
1550454272,2019-02-18T01:44:32Z,AIC640,"13.207111,77.691757",0,80,90
1550454278,2019-02-18T01:44:38Z,AIC640,"13.207091,77.694565",0,100,90
1550454286,2019-02-18T01:44:46Z,AIC640,"13.207054,77.698532",0,125,90
1550454299,2019-02-18T01:44:59Z,AIC640,"13.206963,77.708878",0,165,90
1550454306,2019-02-18T01:45:06Z,AIC640,"13.20687,77.714584",3050,171,91
1550454313,2019-02-18T01:45:13Z,AIC640,"13.206777,77.719406",3175,173,90
1550454334,2019-02-18T01:45:34Z,AIC640,"13.206848,77.737694",3850,180,90
1550454340,2019-02-18T01:45:40Z,AIC640,"13.206757,77.742859",4000,185,90
1550454346,2019-02-18T01:45:46Z,AIC640,"13.20673,77.747307",4125,190,90
1550454353,2019-02-18T01:45:53Z,AIC640,"13.206665,77.754318",4225,198,90
1550454359,2019-02-18T01:45:59Z,AIC640,"13.206573,77.760094",4325,205,90
1550454375,2019-02-18T01:46:15Z,AIC640,"13.206482,77.778137",4725,227,90
1550454388,2019-02-18T01:46:28Z,AIC640,"13.20645,77.792168",5125,240,90
1550454414,2019-02-18T01:46:54Z,AIC640,"13.212084,77.821846",6225,254,60
1550454421,2019-02-18T01:47:01Z,AIC640,"13.217577,77.828644",6525,255,44
1550454428,2019-02-18T01:47:08Z,AIC640,"13.223164,77.833122",6750,257,35
1550454434,2019-02-18T01:47:14Z,AIC640,"13.22968,77.837318",7050,259,31
1550454440,2019-02-18T01:47:20Z,AIC640,"13.235687,77.840927",7300,261,30
1550454449,2019-02-18T01:47:29Z,AIC640,"13.244065,77.84594",7700,263,30
1550454464,2019-02-18T01:47:44Z,AIC640,"13.261616,77.856346",8400,268,30
1550454476,2019-02-18T01:47:56Z,AIC640,"13.274557,77.864059",8975,270,30
1550454488,2019-02-18T01:48:08Z,AIC640,"13.287918,77.871948",9525,274,29
1550454500,2019-02-18T01:48:20Z,AIC640,"13.301929,77.878899",10025,277,19
1550454507,2019-02-18T01:48:27Z,AIC640,"13.309891,77.880615",10300,274,9
1550454513,2019-02-18T01:48:33Z,AIC640,"13.315942,77.881165",10600,271,4
1550454519,2019-02-18T01:48:39Z,AIC640,"13.325043,77.881699",10800,275,2
1550454527,2019-02-18T01:48:47Z,AIC640,"13.336192,77.882126",11050,283,2
1550454542,2019-02-18T01:49:02Z,AIC640,"13.35728,77.882896",11425,299,1
1550454555,2019-02-18T01:49:15Z,AIC640,"13.375168,77.883263",11700,311,1
1550454567,2019-02-18T01:49:27Z,AIC640,"13.393112,77.883499",11875,324,1
1550454579,2019-02-18T01:49:39Z,AIC640,"13.411331,77.883644",11975,328,1
1550454603,2019-02-18T01:50:03Z,AIC640,"13.447498,77.88343",12450,328,359
1550454634,2019-02-18T01:50:34Z,AIC640,"13.492767,77.882645",13075,327,359
1550454646,2019-02-18T01:50:46Z,AIC640,"13.512955,77.880234",13300,327,346
1550454653,2019-02-18T01:50:53Z,AIC640,"13.521561,77.877251",13425,329,338
1550454659,2019-02-18T01:50:59Z,AIC640,"13.529477,77.873215",13500,330,330
1550454667,2019-02-18T01:51:07Z,AIC640,"13.540146,77.865982",13650,332,325
1550454673,2019-02-18T01:51:13Z,AIC640,"13.547699,77.86058",13725,332,325
1550454706,2019-02-18T01:51:46Z,AIC640,"13.590317,77.829613",14000,339,324
1550454718,2019-02-18T01:51:58Z,AIC640,"13.606986,77.817368",14000,339,324
1550454772,2019-02-18T01:52:52Z,AIC640,"13.675511,77.767204",15200,349,324
1550454862,2019-02-18T01:54:22Z,AIC640,"13.797363,77.677696",18475,360,324
1550454938,2019-02-18T01:55:38Z,AIC640,"13.905945,77.598",20775,376,324
1550455000,2019-02-18T01:56:40Z,AIC640,"13.992672,77.53418",22700,381,324
1550455066,2019-02-18T01:57:46Z,AIC640,"14.087311,77.464409",24475,391,324
1550455126,2019-02-18T01:58:46Z,AIC640,"14.17804,77.3974",25150,393,324
1550455188,2019-02-18T01:59:48Z,AIC640,"14.270309,77.329201",26350,408,324
1550455248,2019-02-18T02:00:48Z,AIC640,"14.364531,77.259857",27525,417,324
1550455307,2019-02-18T02:01:47Z,AIC640,"14.459885,77.189278",28675,424,324
1550455369,2019-02-18T02:02:49Z,AIC640,"14.558716,77.117203",29950,427,327
1550455435,2019-02-18T02:03:55Z,AIC640,"14.67485,77.06076",32125,414,340
1550455495,2019-02-18T02:04:55Z,AIC640,"14.780289,77.021873",33875,400,340
1550455557,2019-02-18T02:05:57Z,AIC640,"14.887405,76.982574",35225,396,340
1550455588,2019-02-18T02:06:28Z,AIC640,"14.937332,76.958649",35775,390,328
1550455596,2019-02-18T02:06:36Z,AIC640,"14.951974,76.948288",35850,390,324
1550455602,2019-02-18T02:06:42Z,AIC640,"14.959534,76.942169",35900,390,320
1550455668,2019-02-18T02:07:48Z,AIC640,"15.05262,76.860008",36000,409,319
1550455733,2019-02-18T02:08:53Z,AIC640,"15.145026,76.778053",36000,411,319
1550455794,2019-02-18T02:09:54Z,AIC640,"15.233382,76.699577",36000,413,319
1550455853,2019-02-18T02:10:53Z,AIC640,"15.321319,76.621399",36025,413,319
1550455921,2019-02-18T02:12:01Z,AIC640,"15.416332,76.536644",36025,409,318
1550455982,2019-02-18T02:13:02Z,AIC640,"15.504782,76.457733",36000,406,319
1550456037,2019-02-18T02:13:57Z,AIC640,"15.583923,76.386925",35975,404,319
1550456106,2019-02-18T02:15:06Z,AIC640,"15.682704,76.298477",35975,404,319
1550456138,2019-02-18T02:15:38Z,AIC640,"15.727068,76.258751",35975,404,319
1550456226,2019-02-18T02:17:06Z,AIC640,"15.85231,76.146431",36000,404,319
1550456287,2019-02-18T02:18:07Z,AIC640,"15.937624,76.069977",36025,404,319
1550456348,2019-02-18T02:19:08Z,AIC640,"16.024063,75.992241",36025,404,319
1550456408,2019-02-18T02:20:08Z,AIC640,"16.109436,75.915283",36000,404,319
1550456474,2019-02-18T02:21:14Z,AIC640,"16.203251,75.830872",36000,404,319
1550456534,2019-02-18T02:22:14Z,AIC640,"16.287781,75.754684",36025,403,318
1550456595,2019-02-18T02:23:15Z,AIC640,"16.373978,75.67672",36000,401,318
1550456657,2019-02-18T02:24:17Z,AIC640,"16.459055,75.599869",36000,401,319
1550456718,2019-02-18T02:25:18Z,AIC640,"16.546188,75.520981",36000,401,318
1550456778,2019-02-18T02:26:18Z,AIC640,"16.626663,75.439308",36000,397,309
1550456839,2019-02-18T02:27:19Z,AIC640,"16.696381,75.34771",36000,396,308
1550456905,2019-02-18T02:28:25Z,AIC640,"16.770493,75.249794",36000,397,308
1550456964,2019-02-18T02:29:24Z,AIC640,"16.838316,75.159973",36025,398,308
1550456994,2019-02-18T02:29:54Z,AIC640,"16.872025,75.115211",36025,397,307
1550457045,2019-02-18T02:30:45Z,AIC640,"16.929279,75.039368",36000,397,308
1550457083,2019-02-18T02:31:23Z,AIC640,"16.970398,74.984627",36000,396,307
1550457172,2019-02-18T02:32:52Z,AIC640,"17.072289,74.849068",36000,390,308
1550457234,2019-02-18T02:33:54Z,AIC640,"17.142349,74.755981",36000,382,308
1550457294,2019-02-18T02:34:54Z,AIC640,"17.207848,74.668724",36000,380,308
1550457359,2019-02-18T02:35:59Z,AIC640,"17.276779,74.576782",36000,380,307
1550457421,2019-02-18T02:37:01Z,AIC640,"17.345169,74.485329",36025,381,307
1550457486,2019-02-18T02:38:06Z,AIC640,"17.413191,74.394165",36025,355,307
1550457546,2019-02-18T02:39:06Z,AIC640,"17.472382,74.314659",35425,338,307
1550457608,2019-02-18T02:40:08Z,AIC640,"17.533127,74.233177",34550,336,307
1550457672,2019-02-18T02:41:12Z,AIC640,"17.593393,74.152267",33500,331,307
1550457735,2019-02-18T02:42:15Z,AIC640,"17.65205,74.073357",32425,320,307
1550457796,2019-02-18T02:43:16Z,AIC640,"17.708704,73.996941",30575,318,307
1550457859,2019-02-18T02:44:19Z,AIC640,"17.762924,73.926041",29150,305,314
1550457865,2019-02-18T02:44:25Z,AIC640,"17.769058,73.920013",29000,304,317
1550457871,2019-02-18T02:44:31Z,AIC640,"17.775513,73.91433",28875,303,320
1550457880,2019-02-18T02:44:40Z,AIC640,"17.784988,73.906281",28675,301,320
1550457943,2019-02-18T02:45:43Z,AIC640,"17.852457,73.849411",26575,302,320
1550458007,2019-02-18T02:46:47Z,AIC640,"17.920982,73.791389",24825,295,320
1550458065,2019-02-18T02:47:45Z,AIC640,"17.983612,73.738503",23175,288,321
1550458129,2019-02-18T02:48:49Z,AIC640,"18.051933,73.68074",20975,298,321
1550458193,2019-02-18T02:49:53Z,AIC640,"18.119797,73.623383",18950,302,321
1550458253,2019-02-18T02:50:53Z,AIC640,"18.183491,73.56916",17475,289,320
1550458286,2019-02-18T02:51:26Z,AIC640,"18.218491,73.53949",16525,290,320
1550458319,2019-02-18T02:51:59Z,AIC640,"18.252686,73.510307",15925,288,321
1550458351,2019-02-18T02:52:31Z,AIC640,"18.286835,73.481567",15475,287,320
1550458382,2019-02-18T02:53:02Z,AIC640,"18.319515,73.456337",15150,288,331
1550458388,2019-02-18T02:53:08Z,AIC640,"18.326477,73.452774",15100,288,334
1550458394,2019-02-18T02:53:14Z,AIC640,"18.333946,73.448997",15025,288,334
1550458401,2019-02-18T02:53:21Z,AIC640,"18.341116,73.445404",14950,288,334
1550458434,2019-02-18T02:53:54Z,AIC640,"18.381989,73.424576",14475,296,334
1550458467,2019-02-18T02:54:27Z,AIC640,"18.423187,73.404106",13925,295,334
1550458497,2019-02-18T02:54:57Z,AIC640,"18.459545,73.385979",13425,292,334
1550458530,2019-02-18T02:55:30Z,AIC640,"18.501442,73.364998",12875,290,334
1550458563,2019-02-18T02:56:03Z,AIC640,"18.541168,73.345215",12325,287,334
1550458597,2019-02-18T02:56:37Z,AIC640,"18.581131,73.325256",11750,285,334
1550458609,2019-02-18T02:56:49Z,AIC640,"18.595367,73.318146",11475,285,334
1550458621,2019-02-18T02:57:01Z,AIC640,"18.610235,73.31057",11025,289,334
1550458633,2019-02-18T02:57:13Z,AIC640,"18.624386,73.303528",10625,293,334
1550458645,2019-02-18T02:57:25Z,AIC640,"18.639608,73.296036",10300,292,334
1550458656,2019-02-18T02:57:36Z,AIC640,"18.65387,73.28891",10000,290,334
1550458669,2019-02-18T02:57:49Z,AIC640,"18.668751,73.281403",9750,287,334
1550458681,2019-02-18T02:58:01Z,AIC640,"18.682846,73.274391",9425,285,334
1550458693,2019-02-18T02:58:13Z,AIC640,"18.697985,73.266876",9025,286,334
1550458704,2019-02-18T02:58:24Z,AIC640,"18.710648,73.260582",8700,286,334
1550458720,2019-02-18T02:58:40Z,AIC640,"18.730042,73.250801",8400,287,334
1550458731,2019-02-18T02:58:51Z,AIC640,"18.744259,73.243652",8100,289,334
1550458742,2019-02-18T02:59:02Z,AIC640,"18.757919,73.236725",7900,288,334
1550458762,2019-02-18T02:59:22Z,AIC640,"18.779434,73.225937",7575,287,334
1550458774,2019-02-18T02:59:34Z,AIC640,"18.795885,73.217682",7350,283,334
1550458786,2019-02-18T02:59:46Z,AIC640,"18.810104,73.210533",7225,274,334
1550458800,2019-02-18T03:00:00Z,AIC640,"18.825493,73.203705",7075,268,336
1550458857,2019-02-18T03:00:57Z,AIC640,"18.885635,73.228539",7000,247,31
1550458869,2019-02-18T03:01:09Z,AIC640,"18.89772,73.236282",7000,246,31
1550458881,2019-02-18T03:01:21Z,AIC640,"18.908216,73.24305",7000,247,31
