Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550541269,2019-02-19T01:54:29Z,AIC640,"13.20171,77.711807",0,0,180
1550541315,2019-02-19T01:55:15Z,AIC640,"13.20195,77.711807",0,2,180
1550541370,2019-02-19T01:56:10Z,AIC640,"13.202374,77.711899",0,2,267
1550541394,2019-02-19T01:56:34Z,AIC640,"13.202374,77.71212",0,2,270
1550541425,2019-02-19T01:57:05Z,AIC640,"13.202374,77.712395",0,2,270
1550541595,2019-02-19T01:59:55Z,AIC640,"13.202362,77.712433",0,0,206
1550541709,2019-02-19T02:01:49Z,AIC640,"13.202366,77.712036",0,15,270
1550541724,2019-02-19T02:02:04Z,AIC640,"13.202377,77.711624",0,17,270
1550541732,2019-02-19T02:02:12Z,AIC640,"13.202377,77.711372",0,18,270
1550541738,2019-02-19T02:02:18Z,AIC640,"13.202377,77.711166",0,19,270
1550541755,2019-02-19T02:02:35Z,AIC640,"13.202385,77.710587",0,22,270
1550541763,2019-02-19T02:02:43Z,AIC640,"13.202389,77.71019",0,24,270
1550541769,2019-02-19T02:02:49Z,AIC640,"13.202385,77.709953",0,25,270
1550541775,2019-02-19T02:02:55Z,AIC640,"13.202389,77.709587",0,28,270
1550541785,2019-02-19T02:03:05Z,AIC640,"13.202401,77.709023",0,31,270
1550541791,2019-02-19T02:03:11Z,AIC640,"13.202401,77.708633",0,32,270
1550541797,2019-02-19T02:03:17Z,AIC640,"13.202408,77.708214",0,33,270
1550541809,2019-02-19T02:03:29Z,AIC640,"13.202413,77.707466",0,15,270
1550541818,2019-02-19T02:03:38Z,AIC640,"13.202419,77.706711",0,15,270
1550541824,2019-02-19T02:03:44Z,AIC640,"13.202419,77.706261",0,15,270
1550541831,2019-02-19T02:03:51Z,AIC640,"13.202431,77.705788",0,15,270
1550541841,2019-02-19T02:04:01Z,AIC640,"13.202431,77.705116",0,34,270
1550541847,2019-02-19T02:04:07Z,AIC640,"13.202431,77.704666",0,33,270
1550541853,2019-02-19T02:04:13Z,AIC640,"13.202459,77.704254",0,31,278
1550541862,2019-02-19T02:04:22Z,AIC640,"13.20282,77.703918",0,27,343
1550541875,2019-02-19T02:04:35Z,AIC640,"13.203449,77.703911",0,24,343
1550541882,2019-02-19T02:04:42Z,AIC640,"13.20367,77.703911",0,23,343
1550541889,2019-02-19T02:04:49Z,AIC640,"13.20396,77.703926",0,22,3
1550541897,2019-02-19T02:04:57Z,AIC640,"13.204308,77.703934",0,20,3
1550541906,2019-02-19T02:05:06Z,AIC640,"13.204636,77.703926",0,20,359
1550541912,2019-02-19T02:05:12Z,AIC640,"13.204868,77.703934",0,22,3
1550541918,2019-02-19T02:05:18Z,AIC640,"13.20512,77.703857",0,25,329
1550541930,2019-02-19T02:05:30Z,AIC640,"13.205303,77.703362",0,25,270
1550541939,2019-02-19T02:05:39Z,AIC640,"13.205303,77.702988",0,24,270
1550541947,2019-02-19T02:05:47Z,AIC640,"13.205311,77.702621",0,23,270
1550541954,2019-02-19T02:05:54Z,AIC640,"13.205315,77.702271",0,22,270
1550541965,2019-02-19T02:06:05Z,AIC640,"13.205311,77.701805",0,23,270
1550541972,2019-02-19T02:06:12Z,AIC640,"13.205315,77.701515",0,23,270
1550541983,2019-02-19T02:06:23Z,AIC640,"13.205322,77.701012",0,23,270
1550541990,2019-02-19T02:06:30Z,AIC640,"13.205322,77.700737",0,24,270
1550542007,2019-02-19T02:06:47Z,AIC640,"13.205326,77.699966",0,25,270
1550542013,2019-02-19T02:06:53Z,AIC640,"13.205334,77.699661",0,26,270
1550542019,2019-02-19T02:06:59Z,AIC640,"13.205334,77.699348",0,26,270
1550542025,2019-02-19T02:07:05Z,AIC640,"13.205334,77.699013",0,28,270
1550542033,2019-02-19T02:07:13Z,AIC640,"13.205334,77.698586",0,29,270
1550542044,2019-02-19T02:07:24Z,AIC640,"13.205349,77.697891",0,31,270
1550542061,2019-02-19T02:07:41Z,AIC640,"13.20536,77.696747",0,34,270
1550542070,2019-02-19T02:07:50Z,AIC640,"13.205357,77.696159",0,15,270
1550542076,2019-02-19T02:07:56Z,AIC640,"13.20536,77.695656",0,16,270
1550542082,2019-02-19T02:08:02Z,AIC640,"13.205369,77.695267",0,16,270
1550542088,2019-02-19T02:08:08Z,AIC640,"13.205372,77.694695",0,16,270
1550542094,2019-02-19T02:08:14Z,AIC640,"13.205372,77.694214",0,16,270
1550542100,2019-02-19T02:08:20Z,AIC640,"13.20538,77.69381",0,16,270
1550542106,2019-02-19T02:08:26Z,AIC640,"13.20538,77.693352",0,15,270
1550542112,2019-02-19T02:08:32Z,AIC640,"13.205383,77.692924",0,15,270
1550542118,2019-02-19T02:08:38Z,AIC640,"13.205395,77.692436",0,16,270
1550542137,2019-02-19T02:08:57Z,AIC640,"13.205403,77.691025",0,16,270
1550542145,2019-02-19T02:09:05Z,AIC640,"13.205403,77.690468",0,16,270
1550542193,2019-02-19T02:09:53Z,AIC640,"13.205429,77.686821",0,30,270
1550542201,2019-02-19T02:10:01Z,AIC640,"13.205473,77.686455",0,25,289
1550542211,2019-02-19T02:10:11Z,AIC640,"13.205799,77.686172",0,23,343
1550542218,2019-02-19T02:10:18Z,AIC640,"13.206047,77.686172",0,16,343
1550542264,2019-02-19T02:11:04Z,AIC640,"13.206358,77.68618",0,17,1
1550542271,2019-02-19T02:11:11Z,AIC640,"13.206614,77.68618",0,23,2
1550542278,2019-02-19T02:11:18Z,AIC640,"13.206951,77.686279",0,28,22
1550542292,2019-02-19T02:11:32Z,AIC640,"13.207169,77.68679",0,22,90
1550542300,2019-02-19T02:11:40Z,AIC640,"13.207161,77.687256",0,16,90
1550542311,2019-02-19T02:11:51Z,AIC640,"13.207146,77.689095",0,54,90
1550542322,2019-02-19T02:12:02Z,AIC640,"13.207091,77.693794",0,100,90
1550542331,2019-02-19T02:12:11Z,AIC640,"13.207056,77.699249",0,130,90
1550542346,2019-02-19T02:12:26Z,AIC640,"13.20694,77.710983",2900,178,90
1550542353,2019-02-19T02:12:33Z,AIC640,"13.20694,77.716103",3050,178,90
1550542359,2019-02-19T02:12:39Z,AIC640,"13.20694,77.721077",3275,176,90
1550542365,2019-02-19T02:12:45Z,AIC640,"13.20694,77.725243",3450,177,89
1550542377,2019-02-19T02:12:57Z,AIC640,"13.20687,77.736511",3850,182,90
1550542383,2019-02-19T02:13:03Z,AIC640,"13.206757,77.741859",4075,183,90
1550542389,2019-02-19T02:13:09Z,AIC640,"13.206684,77.747017",4300,182,90
1550542395,2019-02-19T02:13:15Z,AIC640,"13.206619,77.752708",4525,182,90
1550542402,2019-02-19T02:13:22Z,AIC640,"13.206544,77.757812",4675,187,90
1550542413,2019-02-19T02:13:33Z,AIC640,"13.206436,77.769142",4875,202,90
1550542420,2019-02-19T02:13:40Z,AIC640,"13.20639,77.774017",4975,209,90
1550542426,2019-02-19T02:13:46Z,AIC640,"13.206345,77.781548",5075,219,90
1550542453,2019-02-19T02:14:13Z,AIC640,"13.21051,77.811615",5775,253,67
1550542460,2019-02-19T02:14:20Z,AIC640,"13.213992,77.817848",5925,262,57
1550542468,2019-02-19T02:14:28Z,AIC640,"13.22172,77.826477",6150,273,43
1550542475,2019-02-19T02:14:35Z,AIC640,"13.228657,77.8311",6375,278,30
1550542483,2019-02-19T02:14:43Z,AIC640,"13.238619,77.834862",6800,281,14
1550542491,2019-02-19T02:14:51Z,AIC640,"13.24791,77.836052",7150,280,4
1550542499,2019-02-19T02:14:59Z,AIC640,"13.259308,77.835197",7600,280,353
1550542505,2019-02-19T02:15:05Z,AIC640,"13.267639,77.834106",7900,282,352
1550542514,2019-02-19T02:15:14Z,AIC640,"13.279266,77.832642",8325,284,352
1550542520,2019-02-19T02:15:20Z,AIC640,"13.287689,77.831596",8650,284,353
