Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550713329,2019-02-21T01:42:09Z,AIC640,"13.203553,77.710434",0,0,0
1550713428,2019-02-21T01:43:48Z,AIC640,"13.2033,77.710419",0,2,5
1550713453,2019-02-21T01:44:13Z,AIC640,"13.203088,77.710396",0,2,8
1550713480,2019-02-21T01:44:40Z,AIC640,"13.202867,77.710312",0,2,292
1550713750,2019-02-21T01:49:10Z,AIC640,"13.202808,77.708977",0,32,270
1550713756,2019-02-21T01:49:16Z,AIC640,"13.202808,77.708572",0,33,270
1550713762,2019-02-21T01:49:22Z,AIC640,"13.202808,77.70813",0,34,270
1550713769,2019-02-21T01:49:29Z,AIC640,"13.202808,77.707733",0,15,270
1550713775,2019-02-21T01:49:35Z,AIC640,"13.20282,77.707268",0,15,270
1550713786,2019-02-21T01:49:46Z,AIC640,"13.202831,77.706314",0,16,270
1550713792,2019-02-21T01:49:52Z,AIC640,"13.202831,77.705849",0,16,270
1550713799,2019-02-21T01:49:59Z,AIC640,"13.202831,77.705368",0,17,270
1550713805,2019-02-21T01:50:05Z,AIC640,"13.202843,77.704865",0,15,270
1550713814,2019-02-21T01:50:14Z,AIC640,"13.202866,77.704254",0,32,275
1550713822,2019-02-21T01:50:22Z,AIC640,"13.20318,77.703941",0,31,337
1550713829,2019-02-21T01:50:29Z,AIC640,"13.203542,77.703911",0,28,356
1550713839,2019-02-21T01:50:39Z,AIC640,"13.204065,77.703926",0,27,2
1550713851,2019-02-21T01:50:51Z,AIC640,"13.204685,77.703934",0,28,1
1550713863,2019-02-21T01:51:03Z,AIC640,"13.205257,77.70359",0,31,298
1550713878,2019-02-21T01:51:18Z,AIC640,"13.205311,77.702553",0,18,270
1550713884,2019-02-21T01:51:24Z,AIC640,"13.205315,77.701859",0,21,270
1550713891,2019-02-21T01:51:31Z,AIC640,"13.205322,77.701157",0,23,270
1550713898,2019-02-21T01:51:38Z,AIC640,"13.205334,77.700455",0,23,270
1550713906,2019-02-21T01:51:46Z,AIC640,"13.205338,77.699348",0,24,270
1550713913,2019-02-21T01:51:53Z,AIC640,"13.205345,77.698601",0,25,270
1550713930,2019-02-21T01:52:10Z,AIC640,"13.205372,77.696259",0,28,270
1550713939,2019-02-21T01:52:19Z,AIC640,"13.20538,77.695274",0,29,270
1550713949,2019-02-21T01:52:29Z,AIC640,"13.205392,77.693794",0,28,270
1550713956,2019-02-21T01:52:36Z,AIC640,"13.205395,77.692657",0,28,270
1550713964,2019-02-21T01:52:44Z,AIC640,"13.205415,77.691925",0,28,270
1550713977,2019-02-21T01:52:57Z,AIC640,"13.205427,77.689941",0,27,272
1550713989,2019-02-21T01:53:09Z,AIC640,"13.205439,77.688545",0,26,270
1550714000,2019-02-21T01:53:20Z,AIC640,"13.20545,77.687233",0,19,270
1550714014,2019-02-21T01:53:34Z,AIC640,"13.205706,77.686218",0,32,320
1550714021,2019-02-21T01:53:41Z,AIC640,"13.206079,77.686172",0,29,354
1550714038,2019-02-21T01:53:58Z,AIC640,"13.207054,77.686363",0,34,33
1550714071,2019-02-21T01:54:31Z,AIC640,"13.20715,77.688049",0,30,87
1550714079,2019-02-21T01:54:39Z,AIC640,"13.207126,77.690216",0,66,90
1550714092,2019-02-21T01:54:52Z,AIC640,"13.207079,77.695786",0,110,90
1550714104,2019-02-21T01:55:04Z,AIC640,"13.20702,77.703484",0,150,90
1550714110,2019-02-21T01:55:10Z,AIC640,"13.20694,77.708527",2775,170,90
1550714121,2019-02-21T01:55:21Z,AIC640,"13.206848,77.718422",3250,165,90
1550714128,2019-02-21T01:55:28Z,AIC640,"13.206757,77.72245",3500,163,91
1550714134,2019-02-21T01:55:34Z,AIC640,"13.206711,77.727654",3775,160,90
1550714146,2019-02-21T01:55:46Z,AIC640,"13.206665,77.737267",4075,167,90
1550714152,2019-02-21T01:55:52Z,AIC640,"13.206637,77.741333",4225,172,90
1550714158,2019-02-21T01:55:58Z,AIC640,"13.206619,77.747215",4400,178,90
1550714164,2019-02-21T01:56:04Z,AIC640,"13.206619,77.752563",4550,185,90
1550714171,2019-02-21T01:56:11Z,AIC640,"13.206619,77.758575",4725,192,90
1550714182,2019-02-21T01:56:22Z,AIC640,"13.206528,77.769753",5025,208,90
1550714195,2019-02-21T01:56:35Z,AIC640,"13.206345,77.783348",5550,217,90
1550714207,2019-02-21T01:56:47Z,AIC640,"13.206299,77.795372",6050,225,90
