Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551057074,2019-02-25T01:11:14Z,AIC640,"13.201836,77.70546",0,2,174
1551057123,2019-02-25T01:12:03Z,AIC640,"13.202099,77.705399",0,2,177
1551057159,2019-02-25T01:12:39Z,AIC640,"13.202362,77.705399",0,2,241
1551057327,2019-02-25T01:15:27Z,AIC640,"13.202431,77.705528",0,0,271
1551057418,2019-02-25T01:16:58Z,AIC640,"13.202447,77.705177",0,19,270
1551057424,2019-02-25T01:17:04Z,AIC640,"13.202447,77.704887",0,23,270
1551057434,2019-02-25T01:17:14Z,AIC640,"13.202447,77.70443",0,28,272
1551057441,2019-02-25T01:17:21Z,AIC640,"13.202622,77.70401",0,27,309
1551057448,2019-02-25T01:17:28Z,AIC640,"13.202911,77.703896",0,24,351
1551057461,2019-02-25T01:17:41Z,AIC640,"13.203461,77.703911",0,24,1
1551057467,2019-02-25T01:17:47Z,AIC640,"13.203758,77.703911",0,25,1
1551057473,2019-02-25T01:17:53Z,AIC640,"13.204056,77.703918",0,26,2
1551057479,2019-02-25T01:17:59Z,AIC640,"13.204376,77.703918",0,27,2
1551057486,2019-02-25T01:18:06Z,AIC640,"13.204694,77.703926",0,27,5
1551057495,2019-02-25T01:18:15Z,AIC640,"13.205097,77.703743",0,26,320
1551057501,2019-02-25T01:18:21Z,AIC640,"13.205246,77.703484",0,26,292
1551057540,2019-02-25T01:19:00Z,AIC640,"13.205322,77.701012",0,18,270
1551057552,2019-02-25T01:19:12Z,AIC640,"13.205326,77.699867",0,21,270
1551057563,2019-02-25T01:19:23Z,AIC640,"13.205345,77.69854",0,25,270
1551057580,2019-02-25T01:19:40Z,AIC640,"13.20536,77.69651",0,26,270
1551057589,2019-02-25T01:19:49Z,AIC640,"13.205369,77.695312",0,25,270
1551057596,2019-02-25T01:19:56Z,AIC640,"13.20538,77.694481",0,25,270
1551057603,2019-02-25T01:20:03Z,AIC640,"13.205383,77.693596",0,25,270
1551057610,2019-02-25T01:20:10Z,AIC640,"13.205395,77.692955",0,24,270
1551057622,2019-02-25T01:20:22Z,AIC640,"13.205406,77.691597",0,24,270
1551057628,2019-02-25T01:20:28Z,AIC640,"13.205406,77.690765",0,24,270
1551057644,2019-02-25T01:20:44Z,AIC640,"13.205427,77.689003",0,23,270
1551057656,2019-02-25T01:20:56Z,AIC640,"13.205439,77.687759",0,22,270
1551057665,2019-02-25T01:21:05Z,AIC640,"13.20545,77.686745",0,18,275
1551057682,2019-02-25T01:21:22Z,AIC640,"13.206299,77.686172",0,31,357
1551057689,2019-02-25T01:21:29Z,AIC640,"13.206654,77.686195",0,29,8
1551057696,2019-02-25T01:21:36Z,AIC640,"13.207056,77.686432",0,27,50
1551057702,2019-02-25T01:21:42Z,AIC640,"13.207146,77.686707",0,26,78
1551057710,2019-02-25T01:21:50Z,AIC640,"13.207161,77.687111",0,29,90
1551057724,2019-02-25T01:22:04Z,AIC640,"13.207161,77.688614",0,39,90
1551057730,2019-02-25T01:22:10Z,AIC640,"13.20715,77.690262",0,66,90
1551057740,2019-02-25T01:22:20Z,AIC640,"13.2071,77.69516",0,110,90
1551057747,2019-02-25T01:22:27Z,AIC640,"13.207066,77.699265",0,130,90
1551057754,2019-02-25T01:22:34Z,AIC640,"13.207033,77.703194",0,150,90
1551057764,2019-02-25T01:22:44Z,AIC640,"13.206963,77.710541",2925,179,90
1551057794,2019-02-25T01:23:14Z,AIC640,"13.207103,77.736702",4150,170,90
1551057806,2019-02-25T01:23:26Z,AIC640,"13.20694,77.74707",4450,181,91
1551057812,2019-02-25T01:23:32Z,AIC640,"13.206823,77.75251",4575,188,91
1551057818,2019-02-25T01:23:38Z,AIC640,"13.206711,77.757256",4675,195,91
1551057824,2019-02-25T01:23:44Z,AIC640,"13.206573,77.763458",4775,203,91
1551057836,2019-02-25T01:23:56Z,AIC640,"13.206405,77.775688",5150,215,90
1551057848,2019-02-25T01:24:08Z,AIC640,"13.206253,77.788368",5625,224,90
1551057879,2019-02-25T01:24:39Z,AIC640,"13.212479,77.822556",6600,256,58
1551057887,2019-02-25T01:24:47Z,AIC640,"13.219299,77.83065",6975,260,44
1551057893,2019-02-25T01:24:53Z,AIC640,"13.225616,77.83548",7150,267,33
1551057901,2019-02-25T01:25:01Z,AIC640,"13.232706,77.838806",7350,273,21
1551057909,2019-02-25T01:25:09Z,AIC640,"13.24411,77.840454",7700,278,1
1551057930,2019-02-25T01:25:30Z,AIC640,"13.270367,77.830956",8750,282,332
1551057936,2019-02-25T01:25:36Z,AIC640,"13.277304,77.827148",9025,284,331
1551057951,2019-02-25T01:25:51Z,AIC640,"13.295133,77.817268",9750,289,331
1551057964,2019-02-25T01:26:04Z,AIC640,"13.309797,77.809128",10350,292,331
1551057975,2019-02-25T01:26:15Z,AIC640,"13.324182,77.801178",10900,296,331
1551057989,2019-02-25T01:26:29Z,AIC640,"13.339783,77.792488",11450,301,331
1551058001,2019-02-25T01:26:41Z,AIC640,"13.354161,77.784508",12175,297,331
1551058030,2019-02-25T01:27:10Z,AIC640,"13.390182,77.764496",13725,294,331
1551058063,2019-02-25T01:27:43Z,AIC640,"13.429668,77.742439",15150,298,331
1551058096,2019-02-25T01:28:16Z,AIC640,"13.470291,77.719749",16600,300,331
1551058136,2019-02-25T01:28:56Z,AIC640,"13.519794,77.692177",17725,320,331
1551058168,2019-02-25T01:29:28Z,AIC640,"13.564018,77.667511",18150,354,331
1551058223,2019-02-25T01:30:23Z,AIC640,"13.64758,77.62101",19875,371,331
1551058313,2019-02-25T01:31:53Z,AIC640,"13.789261,77.541832",22475,394,331
1551058379,2019-02-25T01:32:59Z,AIC640,"13.898636,77.480644",23900,416,331
1551058439,2019-02-25T01:33:59Z,AIC640,"14.001842,77.42292",25275,428,331
1551058505,2019-02-25T01:35:05Z,AIC640,"14.114868,77.359665",27350,417,331
1551058565,2019-02-25T01:36:05Z,AIC640,"14.217984,77.301781",28725,418,331
1551058630,2019-02-25T01:37:10Z,AIC640,"14.329524,77.239136",30075,422,331
1551058691,2019-02-25T01:38:11Z,AIC640,"14.433847,77.18045",31175,426,331
1551058751,2019-02-25T01:39:11Z,AIC640,"14.539764,77.12085",32375,426,331
