Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551230237,2019-02-27T01:17:17Z,AIC640,"13.201994,77.701927",0,9,171
1551230270,2019-02-27T01:17:50Z,AIC640,"13.202282,77.701859",0,9,208
1551230372,2019-02-27T01:19:32Z,AIC640,"13.202465,77.702026",0,0,55
1551230617,2019-02-27T01:23:37Z,AIC640,"13.202465,77.701614",0,12,270
1551230633,2019-02-27T01:23:53Z,AIC640,"13.202465,77.701241",0,15,270
1551230653,2019-02-27T01:24:13Z,AIC640,"13.202471,77.700661",0,18,270
1551230661,2019-02-27T01:24:21Z,AIC640,"13.202465,77.700417",0,18,270
1551230676,2019-02-27T01:24:36Z,AIC640,"13.202471,77.699928",0,17,270
1551230692,2019-02-27T01:24:52Z,AIC640,"13.202471,77.699448",0,19,270
1551230716,2019-02-27T01:25:16Z,AIC640,"13.202482,77.69841",0,27,270
1551230733,2019-02-27T01:25:33Z,AIC640,"13.202494,77.697456",0,30,270
1551230747,2019-02-27T01:25:47Z,AIC640,"13.202506,77.696587",0,31,270
1551230758,2019-02-27T01:25:58Z,AIC640,"13.202511,77.695892",0,31,270
1551230765,2019-02-27T01:26:05Z,AIC640,"13.202511,77.695465",0,31,270
1551230776,2019-02-27T01:26:16Z,AIC640,"13.202522,77.69471",0,31,270
1551230783,2019-02-27T01:26:23Z,AIC640,"13.202518,77.694328",0,29,270
1551230789,2019-02-27T01:26:29Z,AIC640,"13.202518,77.693985",0,28,270
1551230797,2019-02-27T01:26:37Z,AIC640,"13.202587,77.69355",0,24,295
1551230805,2019-02-27T01:26:45Z,AIC640,"13.202797,77.693352",0,21,329
1551230813,2019-02-27T01:26:53Z,AIC640,"13.203053,77.693314",0,19,352
1551230842,2019-02-27T01:27:22Z,AIC640,"13.204228,77.693321",0,22,352
1551230858,2019-02-27T01:27:38Z,AIC640,"13.204775,77.693336",0,17,2
1551230872,2019-02-27T01:27:52Z,AIC640,"13.205135,77.693291",0,14,345
1551230886,2019-02-27T01:28:06Z,AIC640,"13.205338,77.693085",0,12,309
1551230899,2019-02-27T01:28:19Z,AIC640,"13.20538,77.692879",0,11,284
1551230918,2019-02-27T01:28:38Z,AIC640,"13.205383,77.692551",0,14,272
1551230934,2019-02-27T01:28:54Z,AIC640,"13.205395,77.692154",0,15,270
1551230945,2019-02-27T01:29:05Z,AIC640,"13.205392,77.691856",0,16,270
1551230953,2019-02-27T01:29:13Z,AIC640,"13.205392,77.691628",0,16,270
1551230964,2019-02-27T01:29:24Z,AIC640,"13.205395,77.691284",0,17,270
1551230976,2019-02-27T01:29:36Z,AIC640,"13.205406,77.690933",0,17,270
1551230992,2019-02-27T01:29:52Z,AIC640,"13.205406,77.690437",0,18,270
1551231000,2019-02-27T01:30:00Z,AIC640,"13.205403,77.69017",0,18,270
1551231035,2019-02-27T01:30:35Z,AIC640,"13.205415,77.688972",0,19,270
1551231280,2019-02-27T01:34:40Z,AIC640,"13.205429,77.687607",0,14,270
1551231293,2019-02-27T01:34:53Z,AIC640,"13.205427,77.687302",0,17,270
1551231311,2019-02-27T01:35:11Z,AIC640,"13.205439,77.686638",0,22,270
1551231326,2019-02-27T01:35:26Z,AIC640,"13.205741,77.686195",0,20,340
1551231340,2019-02-27T01:35:40Z,AIC640,"13.206148,77.686172",0,13,348
1551231447,2019-02-27T01:37:27Z,AIC640,"13.206358,77.686172",0,11,348
1551231458,2019-02-27T01:37:38Z,AIC640,"13.206608,77.686188",0,16,2
1551231484,2019-02-27T01:38:04Z,AIC640,"13.207157,77.687141",0,20,90
1551231490,2019-02-27T01:38:10Z,AIC640,"13.207157,77.68795",0,32,90
1551231502,2019-02-27T01:38:22Z,AIC640,"13.207123,77.692032",0,86,90
1551231509,2019-02-27T01:38:29Z,AIC640,"13.207088,77.694992",0,110,90
1551231521,2019-02-27T01:38:41Z,AIC640,"13.207031,77.702583",0,145,90
1551231527,2019-02-27T01:38:47Z,AIC640,"13.206998,77.706566",0,165,90
1551231538,2019-02-27T01:38:58Z,AIC640,"13.20687,77.717476",3125,180,90
1551231544,2019-02-27T01:39:04Z,AIC640,"13.206802,77.72287",3250,184,90
1551231551,2019-02-27T01:39:11Z,AIC640,"13.20673,77.728317",3450,186,90
1551231563,2019-02-27T01:39:23Z,AIC640,"13.206528,77.739403",3825,191,91
1551231569,2019-02-27T01:39:29Z,AIC640,"13.206405,77.744652",4000,194,91
1551231575,2019-02-27T01:39:35Z,AIC640,"13.206264,77.75029",4125,198,91
1551231581,2019-02-27T01:39:41Z,AIC640,"13.206161,77.756683",4250,206,91
1551231588,2019-02-27T01:39:48Z,AIC640,"13.206032,77.762871",4375,212,91
1551231594,2019-02-27T01:39:54Z,AIC640,"13.205933,77.768806",4475,221,91
1551231600,2019-02-27T01:40:00Z,AIC640,"13.205846,77.774338",4575,227,90
1551231607,2019-02-27T01:40:07Z,AIC640,"13.205841,77.782303",4675,237,90
1551231618,2019-02-27T01:40:18Z,AIC640,"13.206345,77.7967",5050,251,84
1551231626,2019-02-27T01:40:26Z,AIC640,"13.208639,77.806908",5275,262,72
1551231633,2019-02-27T01:40:33Z,AIC640,"13.211898,77.814285",5450,267,62
1551231639,2019-02-27T01:40:39Z,AIC640,"13.216599,77.8209",5675,271,51
1551231645,2019-02-27T01:40:45Z,AIC640,"13.221907,77.825989",5925,272,40
1551231651,2019-02-27T01:40:51Z,AIC640,"13.228409,77.830414",6225,272,30
1551231657,2019-02-27T01:40:57Z,AIC640,"13.235685,77.833511",6500,274,18
1551231663,2019-02-27T01:41:03Z,AIC640,"13.241638,77.834915",6775,276,10
1551231670,2019-02-27T01:41:10Z,AIC640,"13.250303,77.835434",7050,278,359
1551231676,2019-02-27T01:41:16Z,AIC640,"13.258759,77.834015",7350,279,346
1551231685,2019-02-27T01:41:25Z,AIC640,"13.269287,77.829514",7800,280,333
1551231694,2019-02-27T01:41:34Z,AIC640,"13.279818,77.823822",8250,280,331
1551231703,2019-02-27T01:41:43Z,AIC640,"13.290478,77.818039",8725,282,332
1551231715,2019-02-27T01:41:55Z,AIC640,"13.304672,77.810432",9300,284,332
1551231727,2019-02-27T01:42:07Z,AIC640,"13.31785,77.803246",9825,289,331
1551231739,2019-02-27T01:42:19Z,AIC640,"13.33326,77.794769",10350,294,331
1551231751,2019-02-27T01:42:31Z,AIC640,"13.348526,77.786331",10650,306,331
1551231764,2019-02-27T01:42:44Z,AIC640,"13.364263,77.777565",10900,322,331
1551231775,2019-02-27T01:42:55Z,AIC640,"13.380615,77.768425",11200,334,331
