Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551316962,2019-02-28T01:22:42Z,AIC640,"13.203553,77.710808",0,0,0
1551317005,2019-02-28T01:23:25Z,AIC640,"13.203346,77.710808",0,10,357
1551317039,2019-02-28T01:23:59Z,AIC640,"13.20314,77.710823",0,2,354
1551317078,2019-02-28T01:24:38Z,AIC640,"13.202936,77.710861",0,2,33
1551317259,2019-02-28T01:27:39Z,AIC640,"13.202785,77.710693",0,0,264
1551317285,2019-02-28T01:28:05Z,AIC640,"13.202785,77.710938",0,15,90
1551317301,2019-02-28T01:28:21Z,AIC640,"13.202808,77.711441",0,20,78
1551317310,2019-02-28T01:28:30Z,AIC640,"13.203041,77.711708",0,24,33
1551317316,2019-02-28T01:28:36Z,AIC640,"13.203297,77.711754",0,26,5
1551317323,2019-02-28T01:28:43Z,AIC640,"13.203658,77.711769",0,25,3
1551317335,2019-02-28T01:28:55Z,AIC640,"13.204079,77.711769",0,15,3
1551317391,2019-02-28T01:29:51Z,AIC640,"13.204287,77.711746",0,11,271
1551317404,2019-02-28T01:30:04Z,AIC640,"13.204582,77.711754",0,18,3
1551317410,2019-02-28T01:30:10Z,AIC640,"13.204788,77.711754",0,21,357
1551317417,2019-02-28T01:30:17Z,AIC640,"13.205029,77.711807",0,23,25
1551317425,2019-02-28T01:30:25Z,AIC640,"13.205223,77.712196",0,26,81
1551317431,2019-02-28T01:30:31Z,AIC640,"13.205223,77.712524",0,28,92
1551317438,2019-02-28T01:30:38Z,AIC640,"13.205229,77.712875",0,30,90
1551317447,2019-02-28T01:30:47Z,AIC640,"13.205212,77.713486",0,33,92
1551317459,2019-02-28T01:30:59Z,AIC640,"13.205212,77.714363",0,16,90
1551317474,2019-02-28T01:31:14Z,AIC640,"13.2052,77.715569",0,18,90
1551317485,2019-02-28T01:31:25Z,AIC640,"13.205189,77.716621",0,19,90
1551317501,2019-02-28T01:31:41Z,AIC640,"13.205171,77.718033",0,15,90
1551317507,2019-02-28T01:31:47Z,AIC640,"13.205166,77.718422",0,27,90
1551317519,2019-02-28T01:31:59Z,AIC640,"13.205159,77.718819",0,17,90
1551317529,2019-02-28T01:32:09Z,AIC640,"13.205159,77.71907",0,10,90
1551317577,2019-02-28T01:32:57Z,AIC640,"13.205166,77.719147",0,9,90
1551317592,2019-02-28T01:33:12Z,AIC640,"13.205159,77.719383",0,15,90
1551317605,2019-02-28T01:33:25Z,AIC640,"13.205159,77.719719",0,19,90
1551317615,2019-02-28T01:33:35Z,AIC640,"13.205154,77.7202",0,23,90
1551317622,2019-02-28T01:33:42Z,AIC640,"13.205148,77.720451",0,16,90
1551317635,2019-02-28T01:33:55Z,AIC640,"13.205148,77.720695",0,13,90
1551317646,2019-02-28T01:34:06Z,AIC640,"13.205143,77.720978",0,18,90
1551317658,2019-02-28T01:34:18Z,AIC640,"13.205148,77.721405",0,22,90
1551317664,2019-02-28T01:34:24Z,AIC640,"13.205135,77.721695",0,24,90
1551317671,2019-02-28T01:34:31Z,AIC640,"13.205135,77.721992",0,19,92
1551317800,2019-02-28T01:36:40Z,AIC640,"13.205148,77.722237",0,12,90
1551317817,2019-02-28T01:36:57Z,AIC640,"13.2052,77.722626",0,18,75
1551317825,2019-02-28T01:37:05Z,AIC640,"13.205427,77.722824",0,22,22
1551317835,2019-02-28T01:37:15Z,AIC640,"13.205729,77.722824",0,13,352
1551317971,2019-02-28T01:39:31Z,AIC640,"13.206579,77.722763",0,20,343
1551317981,2019-02-28T01:39:41Z,AIC640,"13.206825,77.722603",0,15,317
1551317993,2019-02-28T01:39:53Z,AIC640,"13.20686,77.722313",0,16,270
1551318000,2019-02-28T01:40:00Z,AIC640,"13.206846,77.722023",0,28,270
1551318006,2019-02-28T01:40:06Z,AIC640,"13.206859,77.721222",0,33,270
1551318020,2019-02-28T01:40:20Z,AIC640,"13.206905,77.71711",0,90,270
1551318026,2019-02-28T01:40:26Z,AIC640,"13.20694,77.713402",0,110,270
1551318032,2019-02-28T01:40:32Z,AIC640,"13.206963,77.709793",0,130,270
1551318039,2019-02-28T01:40:39Z,AIC640,"13.206998,77.70549",0,150,270
1551318069,2019-02-28T01:41:09Z,AIC640,"13.207306,77.682388",3825,158,277
