Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551405385,2019-03-01T01:56:25Z,AIC640,"15.452225,76.377388",35975,436,322
1551405449,2019-03-01T01:57:29Z,AIC640,"15.554033,76.297401",35975,435,322
1551405511,2019-03-01T01:58:31Z,AIC640,"15.65603,76.217552",36000,436,322
1551405573,2019-03-01T01:59:33Z,AIC640,"15.754022,76.140549",36000,436,322
1551405636,2019-03-01T02:00:36Z,AIC640,"15.856339,76.060081",36000,437,322
1551405695,2019-03-01T02:01:35Z,AIC640,"15.951776,75.984833",36025,437,322
1551405759,2019-03-01T02:02:39Z,AIC640,"16.054657,75.903709",36025,433,322
1551405819,2019-03-01T02:03:39Z,AIC640,"16.152008,75.82682",35975,430,322
1551405883,2019-03-01T02:04:43Z,AIC640,"16.252644,75.747154",35975,428,322
1551405945,2019-03-01T02:05:45Z,AIC640,"16.347889,75.671722",35950,428,322
1551406008,2019-03-01T02:06:48Z,AIC640,"16.448301,75.592117",36025,428,322
1551406068,2019-03-01T02:07:48Z,AIC640,"16.543579,75.516548",36025,425,322
1551406146,2019-03-01T02:09:06Z,AIC640,"16.65169,75.406769",36000,415,308
1551406206,2019-03-01T02:10:06Z,AIC640,"16.72348,75.31205",35975,415,308
1551406260,2019-03-01T02:11:00Z,AIC640,"16.788273,75.226578",36000,417,308
1551406351,2019-03-01T02:12:31Z,AIC640,"16.896423,75.083267",36025,417,307
1551406412,2019-03-01T02:13:32Z,AIC640,"16.969315,74.986542",36025,415,308
1551406476,2019-03-01T02:14:36Z,AIC640,"17.045425,74.885414",36025,413,308
1551406490,2019-03-01T02:14:50Z,AIC640,"17.059021,74.867393",36025,412,308
1551406578,2019-03-01T02:16:18Z,AIC640,"17.165579,74.725372",35950,412,308
1551406647,2019-03-01T02:17:27Z,AIC640,"17.246841,74.617165",36000,413,308
1551406712,2019-03-01T02:18:32Z,AIC640,"17.321436,74.517319",36050,411,307
1551406770,2019-03-01T02:19:30Z,AIC640,"17.390762,74.424568",36000,409,307
1551406812,2019-03-01T02:20:12Z,AIC640,"17.4375,74.362022",36000,409,307
1551406904,2019-03-01T02:21:44Z,AIC640,"17.545853,74.216599",35175,407,307
1551406967,2019-03-01T02:22:47Z,AIC640,"17.62001,74.116806",34150,405,307
1551407027,2019-03-01T02:23:47Z,AIC640,"17.689384,74.023476",33150,404,307
1551407091,2019-03-01T02:24:51Z,AIC640,"17.761459,73.926331",31150,399,307
1551407154,2019-03-01T02:25:54Z,AIC640,"17.831137,73.832199",29050,377,307
1551407217,2019-03-01T02:26:57Z,AIC640,"17.89682,73.742935",26900,358,307
1551407281,2019-03-01T02:28:01Z,AIC640,"17.960552,73.657104",24900,347,307
1551407341,2019-03-01T02:29:01Z,AIC640,"18.020325,73.576027",22375,350,307
1551407403,2019-03-01T02:30:03Z,AIC640,"18.081757,73.492752",20250,340,307
1551407467,2019-03-01T02:31:07Z,AIC640,"18.142181,73.410789",18225,332,307
1551407485,2019-03-01T02:31:25Z,AIC640,"18.160538,73.389397",17675,330,318
1551407491,2019-03-01T02:31:31Z,AIC640,"18.167953,73.383804",17475,332,327
1551407497,2019-03-01T02:31:37Z,AIC640,"18.176414,73.379059",17250,333,333
1551407503,2019-03-01T02:31:43Z,AIC640,"18.184841,73.375137",17050,334,336
1551407509,2019-03-01T02:31:49Z,AIC640,"18.193359,73.371246",16800,336,336
1551407516,2019-03-01T02:31:56Z,AIC640,"18.202286,73.367241",16525,337,336
1551407548,2019-03-01T02:32:28Z,AIC640,"18.250168,73.345413",15575,334,336
1551407582,2019-03-01T02:33:02Z,AIC640,"18.296518,73.3246",14825,323,336
1551407614,2019-03-01T02:33:34Z,AIC640,"18.340464,73.304878",14075,311,336
1551407647,2019-03-01T02:34:07Z,AIC640,"18.384037,73.285553",12925,316,336
1551407677,2019-03-01T02:34:37Z,AIC640,"18.425423,73.266823",12075,311,336
1551407711,2019-03-01T02:35:11Z,AIC640,"18.469528,73.247223",11100,308,337
1551407721,2019-03-01T02:35:21Z,AIC640,"18.483473,73.241005",10825,305,336
1551407734,2019-03-01T02:35:34Z,AIC640,"18.500139,73.233513",10500,303,336
1551407747,2019-03-01T02:35:47Z,AIC640,"18.516478,73.226173",10300,296,336
1551407759,2019-03-01T02:35:59Z,AIC640,"18.531052,73.219559",10175,287,336
1551407771,2019-03-01T02:36:11Z,AIC640,"18.545713,73.212891",10025,280,336
1551407782,2019-03-01T02:36:22Z,AIC640,"18.559799,73.206467",9750,276,336
1551407794,2019-03-01T02:36:34Z,AIC640,"18.572433,73.200829",9450,277,336
1551407806,2019-03-01T02:36:46Z,AIC640,"18.587889,73.193863",9025,279,336
1551407815,2019-03-01T02:36:55Z,AIC640,"18.598131,73.189369",8875,279,337
1551407867,2019-03-01T02:37:47Z,AIC640,"18.656181,73.163353",8275,249,336
1551407881,2019-03-01T02:38:01Z,AIC640,"18.670441,73.159477",8100,244,353
1551407889,2019-03-01T02:38:09Z,AIC640,"18.681198,73.159088",8000,241,359
1551407897,2019-03-01T02:38:17Z,AIC640,"18.69017,73.15889",7875,236,358
1551407904,2019-03-01T02:38:24Z,AIC640,"18.697586,73.1586",7750,235,357
1551407917,2019-03-01T02:38:37Z,AIC640,"18.710678,73.15786",7425,237,356
1551407928,2019-03-01T02:38:48Z,AIC640,"18.723999,73.157127",7125,240,357
1551407940,2019-03-01T02:39:00Z,AIC640,"18.736298,73.156708",7050,238,358
1551407953,2019-03-01T02:39:13Z,AIC640,"18.751335,73.156464",7025,251,359
1551407964,2019-03-01T02:39:24Z,AIC640,"18.76544,73.156212",6975,256,359
1551407976,2019-03-01T02:39:36Z,AIC640,"18.779526,73.155998",7000,258,359
1551407989,2019-03-01T02:39:49Z,AIC640,"18.794115,73.155762",7000,259,359
1551408001,2019-03-01T02:40:01Z,AIC640,"18.808456,73.15551",7000,259,358
1551408014,2019-03-01T02:40:14Z,AIC640,"18.822559,73.155212",6900,258,359
1551408027,2019-03-01T02:40:27Z,AIC640,"18.83757,73.154968",6700,256,358
1551408037,2019-03-01T02:40:37Z,AIC640,"18.851715,73.154572",6450,254,358
1551408048,2019-03-01T02:40:48Z,AIC640,"18.863106,73.154266",6250,255,358
1551408061,2019-03-01T02:41:01Z,AIC640,"18.880564,73.153816",6025,258,358
1551408072,2019-03-01T02:41:12Z,AIC640,"18.893366,73.153511",5850,259,358
1551408085,2019-03-01T02:41:25Z,AIC640,"18.909622,73.153198",5600,261,358
1551408097,2019-03-01T02:41:37Z,AIC640,"18.924322,73.152916",5400,261,358
1551408110,2019-03-01T02:41:50Z,AIC640,"18.939034,73.152519",5200,260,358
1551408121,2019-03-01T02:42:01Z,AIC640,"18.953371,73.152016",5000,258,358
1551408134,2019-03-01T02:42:14Z,AIC640,"18.967663,73.151466",4800,257,358
1551408149,2019-03-01T02:42:29Z,AIC640,"18.985886,73.150795",4550,255,358
1551408158,2019-03-01T02:42:38Z,AIC640,"18.996246,73.150421",4400,255,358
1551408164,2019-03-01T02:42:44Z,AIC640,"19.003834,73.150116",4300,255,357
1551408170,2019-03-01T02:42:50Z,AIC640,"19.010651,73.149864",4200,255,357
1551408176,2019-03-01T02:42:56Z,AIC640,"19.016729,73.149521",4100,254,356
1551408182,2019-03-01T02:43:02Z,AIC640,"19.025116,73.147957",3975,254,345
1551408189,2019-03-01T02:43:09Z,AIC640,"19.031393,73.145226",3900,254,333
1551408197,2019-03-01T02:43:17Z,AIC640,"19.039585,73.13868",3850,253,315
1551408204,2019-03-01T02:43:24Z,AIC640,"19.044428,73.133087",3825,250,311
1551408212,2019-03-01T02:43:32Z,AIC640,"19.051346,73.124359",3750,245,309
1551408220,2019-03-01T02:43:40Z,AIC640,"19.05546,73.11911",3675,241,309
1551408231,2019-03-01T02:43:51Z,AIC640,"19.064026,73.108177",3525,236,309
1551408238,2019-03-01T02:43:58Z,AIC640,"19.068146,73.102882",3450,233,309
1551408248,2019-03-01T02:44:08Z,AIC640,"19.076248,73.092529",3325,226,309
1551408254,2019-03-01T02:44:14Z,AIC640,"19.080318,73.087296",3250,223,309
1551408260,2019-03-01T02:44:20Z,AIC640,"19.084322,73.082153",3200,219,309
1551408268,2019-03-01T02:44:28Z,AIC640,"19.087692,73.077179",3150,215,302
1551408276,2019-03-01T02:44:36Z,AIC640,"19.090794,73.068069",3025,208,282
1551408283,2019-03-01T02:44:43Z,AIC640,"19.091259,73.06208",3000,205,272
1551408306,2019-03-01T02:45:06Z,AIC640,"19.091072,73.038559",2875,200,269
