Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551488853,2019-03-02T01:07:33Z,AIC640,"13.203529,77.710815",0,0,0
1551488946,2019-03-02T01:09:06Z,AIC640,"13.203297,77.710808",0,10,14
1551488967,2019-03-02T01:09:27Z,AIC640,"13.203064,77.710732",0,10,348
1551488984,2019-03-02T01:09:44Z,AIC640,"13.202855,77.710754",0,9,298
1551488999,2019-03-02T01:09:59Z,AIC640,"13.203106,77.710739",0,2,272
1551489047,2019-03-02T01:10:47Z,AIC640,"13.202785,77.710777",0,2,270
1551489180,2019-03-02T01:13:00Z,AIC640,"13.202785,77.710518",0,9,270
1551489199,2019-03-02T01:13:19Z,AIC640,"13.202774,77.710167",0,15,270
1551489210,2019-03-02T01:13:30Z,AIC640,"13.202785,77.709801",0,18,270
1551489222,2019-03-02T01:13:42Z,AIC640,"13.202785,77.709404",0,19,270
1551489229,2019-03-02T01:13:49Z,AIC640,"13.202785,77.709175",0,19,270
1551489237,2019-03-02T01:13:57Z,AIC640,"13.202785,77.708923",0,20,270
1551489271,2019-03-02T01:14:31Z,AIC640,"13.202808,77.707397",0,26,270
1551489278,2019-03-02T01:14:38Z,AIC640,"13.202808,77.70713",0,27,270
1551489289,2019-03-02T01:14:49Z,AIC640,"13.20282,77.706421",0,28,270
1551489295,2019-03-02T01:14:55Z,AIC640,"13.20282,77.706085",0,28,270
1551489302,2019-03-02T01:15:02Z,AIC640,"13.20282,77.705757",0,28,270
1551489314,2019-03-02T01:15:14Z,AIC640,"13.20282,77.705093",0,29,270
1551489320,2019-03-02T01:15:20Z,AIC640,"13.202831,77.704712",0,29,270
1551489330,2019-03-02T01:15:30Z,AIC640,"13.202913,77.704132",0,29,295
1551489339,2019-03-02T01:15:39Z,AIC640,"13.203278,77.703896",0,25,354
1551489350,2019-03-02T01:15:50Z,AIC640,"13.203786,77.703911",0,23,2
1551489357,2019-03-02T01:15:57Z,AIC640,"13.204067,77.703918",0,24,1
1551489369,2019-03-02T01:16:09Z,AIC640,"13.204624,77.703926",0,25,2
1551489386,2019-03-02T01:16:26Z,AIC640,"13.205292,77.703568",0,26,286
1551489397,2019-03-02T01:16:37Z,AIC640,"13.205303,77.703064",0,25,267
1551489417,2019-03-02T01:16:57Z,AIC640,"13.205315,77.701797",0,34,270
1551489426,2019-03-02T01:17:06Z,AIC640,"13.205315,77.701126",0,16,270
1551489438,2019-03-02T01:17:18Z,AIC640,"13.205322,77.700142",0,15,270
1551489449,2019-03-02T01:17:29Z,AIC640,"13.205322,77.699417",0,15,270
1551489461,2019-03-02T01:17:41Z,AIC640,"13.205334,77.698563",0,34,270
1551489479,2019-03-02T01:17:59Z,AIC640,"13.205349,77.697266",0,34,270
1551489486,2019-03-02T01:18:06Z,AIC640,"13.205357,77.696815",0,34,270
1551489492,2019-03-02T01:18:12Z,AIC640,"13.20536,77.696449",0,34,270
1551489498,2019-03-02T01:18:18Z,AIC640,"13.205357,77.695976",0,34,270
1551489509,2019-03-02T01:18:29Z,AIC640,"13.205369,77.695213",0,34,270
1551489515,2019-03-02T01:18:35Z,AIC640,"13.205372,77.694794",0,34,270
1551489536,2019-03-02T01:18:56Z,AIC640,"13.205383,77.693291",0,15,270
1551489548,2019-03-02T01:19:08Z,AIC640,"13.205383,77.692436",0,15,270
1551489554,2019-03-02T01:19:14Z,AIC640,"13.205392,77.691986",0,15,270
1551489560,2019-03-02T01:19:20Z,AIC640,"13.205392,77.691544",0,15,270
1551489570,2019-03-02T01:19:30Z,AIC640,"13.205403,77.690758",0,15,270
1551489600,2019-03-02T01:20:00Z,AIC640,"13.205427,77.688591",0,15,270
1551489608,2019-03-02T01:20:08Z,AIC640,"13.205429,77.688019",0,32,270
1551489619,2019-03-02T01:20:19Z,AIC640,"13.205427,77.687431",0,25,270
1551489647,2019-03-02T01:20:47Z,AIC640,"13.205727,77.686211",0,21,331
1551489786,2019-03-02T01:23:06Z,AIC640,"13.206345,77.686172",0,16,359
1551489795,2019-03-02T01:23:15Z,AIC640,"13.206649,77.686195",0,22,8
1551489803,2019-03-02T01:23:23Z,AIC640,"13.206986,77.686371",0,23,26
1551489844,2019-03-02T01:24:04Z,AIC640,"13.207157,77.688011",0,38,90
