Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551575484,2019-03-03T01:11:24Z,AIC640,"13.203891,77.710442",0,2,180
1551575521,2019-03-03T01:12:01Z,AIC640,"13.204113,77.710403",0,2,180
1551575553,2019-03-03T01:12:33Z,AIC640,"13.204319,77.710396",0,2,244
1551575693,2019-03-03T01:14:53Z,AIC640,"13.204391,77.710548",0,0,180
1551575803,2019-03-03T01:16:43Z,AIC640,"13.204391,77.710548",0,0,180
1551575882,2019-03-03T01:18:02Z,AIC640,"13.204391,77.710548",0,0,180
1551576026,2019-03-03T01:20:26Z,AIC640,"13.204391,77.71032",0,10,270
1551576048,2019-03-03T01:20:48Z,AIC640,"13.204403,77.710083",0,10,270
1551576067,2019-03-03T01:21:07Z,AIC640,"13.204403,77.709831",0,12,270
1551576078,2019-03-03T01:21:18Z,AIC640,"13.204403,77.709587",0,14,270
1551576094,2019-03-03T01:21:34Z,AIC640,"13.204403,77.709236",0,16,270
1551576104,2019-03-03T01:21:44Z,AIC640,"13.204422,77.709",0,17,278
1551576113,2019-03-03T01:21:53Z,AIC640,"13.204639,77.708824",0,21,351
1551576122,2019-03-03T01:22:02Z,AIC640,"13.205063,77.708794",0,25,345
1551576131,2019-03-03T01:22:11Z,AIC640,"13.20524,77.708427",0,24,278
1551576137,2019-03-03T01:22:17Z,AIC640,"13.205253,77.708153",0,23,270
1551576180,2019-03-03T01:23:00Z,AIC640,"13.205276,77.706398",0,23,270
1551576198,2019-03-03T01:23:18Z,AIC640,"13.205276,77.705597",0,24,270
1551576211,2019-03-03T01:23:31Z,AIC640,"13.205276,77.704994",0,24,270
1551576223,2019-03-03T01:23:43Z,AIC640,"13.205287,77.704468",0,23,270
1551576235,2019-03-03T01:23:55Z,AIC640,"13.205292,77.703941",0,23,270
1551576241,2019-03-03T01:24:01Z,AIC640,"13.205287,77.703659",0,23,270
1551576247,2019-03-03T01:24:07Z,AIC640,"13.205292,77.7034",0,22,270
1551576257,2019-03-03T01:24:17Z,AIC640,"13.205303,77.702995",0,21,270
1551576265,2019-03-03T01:24:25Z,AIC640,"13.205303,77.702713",0,20,270
1551576271,2019-03-03T01:24:31Z,AIC640,"13.205303,77.702461",0,20,270
1551576282,2019-03-03T01:24:42Z,AIC640,"13.205303,77.702072",0,20,270
1551576291,2019-03-03T01:24:51Z,AIC640,"13.205311,77.701767",0,21,270
