Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551748885,2019-03-05T01:21:25Z,AIC640,"13.20225,77.711296",0,9,126
1551748910,2019-03-05T01:21:50Z,AIC640,"13.202385,77.71109",0,9,90
1551748930,2019-03-05T01:22:10Z,AIC640,"13.202377,77.710854",0,9,90
1551748955,2019-03-05T01:22:35Z,AIC640,"13.202385,77.71064",0,0,264
1551749009,2019-03-05T01:23:29Z,AIC640,"13.202385,77.71064",0,0,264
1551749214,2019-03-05T01:26:54Z,AIC640,"13.202385,77.710907",0,13,90
1551749226,2019-03-05T01:27:06Z,AIC640,"13.202374,77.711212",0,17,92
1551749234,2019-03-05T01:27:14Z,AIC640,"13.202431,77.711494",0,21,64
1551749241,2019-03-05T01:27:21Z,AIC640,"13.202645,77.711708",0,24,30
1551749248,2019-03-05T01:27:28Z,AIC640,"13.202946,77.711769",0,27,2
1551749259,2019-03-05T01:27:39Z,AIC640,"13.203658,77.711754",0,30,358
1551749266,2019-03-05T01:27:46Z,AIC640,"13.204019,77.711769",0,29,2
1551749275,2019-03-05T01:27:55Z,AIC640,"13.204566,77.711777",0,34,2
1551749287,2019-03-05T01:28:07Z,AIC640,"13.205177,77.71209",0,30,59
1551749293,2019-03-05T01:28:13Z,AIC640,"13.205217,77.712463",0,32,90
1551749314,2019-03-05T01:28:34Z,AIC640,"13.2052,77.714073",0,17,90
1551749320,2019-03-05T01:28:40Z,AIC640,"13.205206,77.7146",0,18,90
1551749327,2019-03-05T01:28:47Z,AIC640,"13.2052,77.715141",0,18,90
1551749333,2019-03-05T01:28:53Z,AIC640,"13.205189,77.715736",0,19,90
1551749345,2019-03-05T01:29:05Z,AIC640,"13.205182,77.716843",0,20,90
1551749357,2019-03-05T01:29:17Z,AIC640,"13.205171,77.718033",0,20,90
1551749363,2019-03-05T01:29:23Z,AIC640,"13.205166,77.718674",0,20,90
1551749370,2019-03-05T01:29:30Z,AIC640,"13.205159,77.719246",0,21,90
1551749386,2019-03-05T01:29:46Z,AIC640,"13.205143,77.721024",0,22,90
1551749398,2019-03-05T01:29:58Z,AIC640,"13.205135,77.722176",0,17,90
1551749404,2019-03-05T01:30:04Z,AIC640,"13.20524,77.722595",0,15,61
1551749412,2019-03-05T01:30:12Z,AIC640,"13.205811,77.722839",0,34,2
1551749421,2019-03-05T01:30:21Z,AIC640,"13.206392,77.722824",0,15,357
1551749428,2019-03-05T01:30:28Z,AIC640,"13.206765,77.722649",0,26,317
1551749483,2019-03-05T01:31:23Z,AIC640,"13.20686,77.721878",0,16,270
1551749489,2019-03-05T01:31:29Z,AIC640,"13.20686,77.721153",0,39,270
1551749497,2019-03-05T01:31:37Z,AIC640,"13.206882,77.718445",0,76,270
1551749505,2019-03-05T01:31:45Z,AIC640,"13.206904,77.715576",0,100,270
1551749517,2019-03-05T01:31:57Z,AIC640,"13.206974,77.707367",0,145,270
1551749532,2019-03-05T01:32:12Z,AIC640,"13.207123,77.695831",3150,166,271
1551749538,2019-03-05T01:32:18Z,AIC640,"13.20715,77.69059",3375,167,270
1551749545,2019-03-05T01:32:25Z,AIC640,"13.207306,77.686081",3625,164,272
1551749555,2019-03-05T01:32:35Z,AIC640,"13.208588,77.678833",4025,161,283
1551749561,2019-03-05T01:32:41Z,AIC640,"13.209663,77.674545",4250,160,284
1551749567,2019-03-05T01:32:47Z,AIC640,"13.210733,77.669823",4450,160,282
1551749579,2019-03-05T01:32:59Z,AIC640,"13.212735,77.660278",4725,170,281
1551749585,2019-03-05T01:33:05Z,AIC640,"13.213715,77.655533",4800,179,281
1551749591,2019-03-05T01:33:11Z,AIC640,"13.21483,77.650208",4925,187,282
1551749597,2019-03-05T01:33:17Z,AIC640,"13.216003,77.644646",5025,194,282
1551749608,2019-03-05T01:33:28Z,AIC640,"13.218415,77.633347",5225,209,282
1551749622,2019-03-05T01:33:42Z,AIC640,"13.221254,77.620239",5500,228,282
1551749633,2019-03-05T01:33:53Z,AIC640,"13.224094,77.606697",5900,238,282
1551749646,2019-03-05T01:34:06Z,AIC640,"13.228409,77.593452",6400,245,294
1551749653,2019-03-05T01:34:13Z,AIC640,"13.232008,77.587761",6650,249,307
1551749660,2019-03-05T01:34:20Z,AIC640,"13.239395,77.580811",6900,257,321
1551749666,2019-03-05T01:34:26Z,AIC640,"13.24602,77.577065",7025,266,334
1551749673,2019-03-05T01:34:33Z,AIC640,"13.253795,77.573982",7225,272,339
1551749679,2019-03-05T01:34:39Z,AIC640,"13.26129,77.571327",7475,275,341
1551749685,2019-03-05T01:34:45Z,AIC640,"13.268785,77.568726",7700,278,341
1551749691,2019-03-05T01:34:51Z,AIC640,"13.275925,77.566223",7975,281,340
1551749706,2019-03-05T01:35:06Z,AIC640,"13.294739,77.559547",8675,284,340
1551749718,2019-03-05T01:35:18Z,AIC640,"13.309052,77.554367",9100,291,340
1551749731,2019-03-05T01:35:31Z,AIC640,"13.325867,77.54837",9650,296,340
1551749742,2019-03-05T01:35:42Z,AIC640,"13.341453,77.542755",10225,296,340
1551749756,2019-03-05T01:35:56Z,AIC640,"13.358597,77.536674",10675,305,340
1551749770,2019-03-05T01:36:10Z,AIC640,"13.379059,77.529427",10950,322,340
1551749782,2019-03-05T01:36:22Z,AIC640,"13.395593,77.523529",11125,336,340
1551749795,2019-03-05T01:36:35Z,AIC640,"13.415005,77.516594",11425,349,340
1551749806,2019-03-05T01:36:46Z,AIC640,"13.431857,77.510521",11850,353,340
1551749818,2019-03-05T01:36:58Z,AIC640,"13.449783,77.504143",12500,352,340
1551749853,2019-03-05T01:37:33Z,AIC640,"13.502472,77.485199",14525,335,340
1551749902,2019-03-05T01:38:22Z,AIC640,"13.577591,77.458252",15875,358,340
1551749931,2019-03-05T01:38:51Z,AIC640,"13.624397,77.441322",17050,358,340
1551750038,2019-03-05T01:40:38Z,AIC640,"13.787516,77.355026",20100,385,327
1551750100,2019-03-05T01:41:40Z,AIC640,"13.881412,77.29306",22250,384,327
1551750161,2019-03-05T01:42:41Z,AIC640,"13.973911,77.23201",23425,403,327
1551750227,2019-03-05T01:43:47Z,AIC640,"14.080765,77.16143",24825,415,327
1551750289,2019-03-05T01:44:49Z,AIC640,"14.181674,77.094627",25925,431,327
1551750352,2019-03-05T01:45:52Z,AIC640,"14.291072,77.022156",27150,441,327
1551750413,2019-03-05T01:46:53Z,AIC640,"14.397537,76.951607",28200,449,327
1551750476,2019-03-05T01:47:56Z,AIC640,"14.510612,76.876541",29275,457,327
1551750538,2019-03-05T01:48:58Z,AIC640,"14.616669,76.806129",30925,446,327
1551750601,2019-03-05T01:50:01Z,AIC640,"14.725937,76.733299",32625,436,326
1551750662,2019-03-05T01:51:02Z,AIC640,"14.830286,76.663727",33975,432,327
1551750727,2019-03-05T01:52:07Z,AIC640,"14.939498,76.590645",34000,450,326
1551750788,2019-03-05T01:53:08Z,AIC640,"15.049966,76.516983",34000,449,327
1551750850,2019-03-05T01:54:10Z,AIC640,"15.157104,76.445374",34000,447,326
1551750914,2019-03-05T01:55:14Z,AIC640,"15.268064,76.371071",34000,447,326
1551750974,2019-03-05T01:56:14Z,AIC640,"15.375046,76.299377",34000,454,326
1551751039,2019-03-05T01:57:19Z,AIC640,"15.487106,76.224106",34000,452,326
1551751101,2019-03-05T01:58:21Z,AIC640,"15.59729,76.150002",34000,452,326
1551751162,2019-03-05T01:59:22Z,AIC640,"15.702861,76.078903",34000,453,326
1551751223,2019-03-05T02:00:23Z,AIC640,"15.811386,76.005775",34000,453,326
1551751286,2019-03-05T02:01:26Z,AIC640,"15.92363,75.930031",34000,455,326
1551751347,2019-03-05T02:02:27Z,AIC640,"16.030588,75.85775",34025,454,326
1551751410,2019-03-05T02:03:30Z,AIC640,"16.142258,75.782104",34025,451,326
1551751474,2019-03-05T02:04:34Z,AIC640,"16.252085,75.707672",34000,449,326
1551751534,2019-03-05T02:05:34Z,AIC640,"16.357727,75.636047",33975,449,326
1551751598,2019-03-05T02:06:38Z,AIC640,"16.469158,75.560333",34000,450,326
1551751658,2019-03-05T02:07:38Z,AIC640,"16.571386,75.487846",34000,448,321
1551751713,2019-03-05T02:08:33Z,AIC640,"16.654724,75.403122",34025,443,309
1551751803,2019-03-05T02:10:03Z,AIC640,"16.768908,75.252769",34000,442,308
1551751867,2019-03-05T02:11:07Z,AIC640,"16.848837,75.146927",34000,442,308
1551751929,2019-03-05T02:12:09Z,AIC640,"16.928116,75.041817",34000,442,308
1551751992,2019-03-05T02:13:12Z,AIC640,"17.008326,74.935341",34000,440,308
1551752052,2019-03-05T02:14:12Z,AIC640,"17.083832,74.835106",34000,439,308
1551752115,2019-03-05T02:15:15Z,AIC640,"17.163437,74.729004",34000,440,307
1551752179,2019-03-05T02:16:19Z,AIC640,"17.241302,74.625214",34000,441,307
1551752243,2019-03-05T02:17:23Z,AIC640,"17.321995,74.517273",33825,438,307
1551752305,2019-03-05T02:18:25Z,AIC640,"17.401365,74.411133",32800,443,307
1551752365,2019-03-05T02:19:25Z,AIC640,"17.477325,74.309303",31800,444,307
1551752429,2019-03-05T02:20:29Z,AIC640,"17.55629,74.203346",30725,434,307
1551752463,2019-03-05T02:21:03Z,AIC640,"17.598312,74.146729",30175,429,307
1551752554,2019-03-05T02:22:34Z,AIC640,"17.707401,73.999542",28675,422,307
1551752616,2019-03-05T02:23:36Z,AIC640,"17.782024,73.898949",27150,402,307
1551752682,2019-03-05T02:24:42Z,AIC640,"17.854202,73.801575",25525,395,307
1551752745,2019-03-05T02:25:45Z,AIC640,"17.927399,73.705925",23900,381,316
1551752753,2019-03-05T02:25:53Z,AIC640,"17.937601,73.69722",23725,378,322
1551752765,2019-03-05T02:26:05Z,AIC640,"17.956421,73.685257",23425,379,325
1551752833,2019-03-05T02:27:13Z,AIC640,"18.05809,73.629311",21750,355,332
1551752896,2019-03-05T02:28:16Z,AIC640,"18.151741,73.578186",20150,365,332
1551752957,2019-03-05T02:29:17Z,AIC640,"18.242006,73.528748",18650,356,332
1551753021,2019-03-05T02:30:21Z,AIC640,"18.334167,73.478279",16750,349,332
1551753053,2019-03-05T02:30:53Z,AIC640,"18.381409,73.45253",15975,335,332
1551753085,2019-03-05T02:31:25Z,AIC640,"18.424622,73.428841",15575,313,332
1551753116,2019-03-05T02:31:56Z,AIC640,"18.462757,73.407951",15150,297,332
1551753149,2019-03-05T02:32:29Z,AIC640,"18.502945,73.385826",14425,288,332
1551753182,2019-03-05T02:33:02Z,AIC640,"18.541122,73.364883",13650,284,332
1551753214,2019-03-05T02:33:34Z,AIC640,"18.578476,73.344383",12575,291,332
1551753239,2019-03-05T02:33:59Z,AIC640,"18.611166,73.329094",11900,294,342
1551753245,2019-03-05T02:34:05Z,AIC640,"18.619308,73.326729",11825,291,344
1551753252,2019-03-05T02:34:12Z,AIC640,"18.627878,73.324348",11700,289,345
1551753258,2019-03-05T02:34:18Z,AIC640,"18.633499,73.322853",11575,288,345
1551753270,2019-03-05T02:34:30Z,AIC640,"18.650848,73.318291",11275,285,345
1551753283,2019-03-05T02:34:43Z,AIC640,"18.665359,73.314415",11025,282,345
1551753296,2019-03-05T02:34:56Z,AIC640,"18.682205,73.309952",10775,277,345
1551753308,2019-03-05T02:35:08Z,AIC640,"18.697266,73.305786",10500,274,343
1551753319,2019-03-05T02:35:19Z,AIC640,"18.710907,73.300537",10200,270,337
1551753328,2019-03-05T02:35:28Z,AIC640,"18.722099,73.295189",9925,268,335
1551753334,2019-03-05T02:35:34Z,AIC640,"18.727873,73.292343",9800,268,334
1551753347,2019-03-05T02:35:47Z,AIC640,"18.74114,73.285797",9475,266,334
1551753358,2019-03-05T02:35:58Z,AIC640,"18.755711,73.278511",9200,263,334
1551753374,2019-03-05T02:36:14Z,AIC640,"18.771957,73.270416",8800,261,334
1551753385,2019-03-05T02:36:25Z,AIC640,"18.784992,73.263824",8500,260,334
1551753398,2019-03-05T02:36:38Z,AIC640,"18.79866,73.256935",8200,258,334
1551753410,2019-03-05T02:36:50Z,AIC640,"18.81176,73.250191",7825,259,333
1551753421,2019-03-05T02:37:01Z,AIC640,"18.824049,73.243652",7325,263,333
1551753435,2019-03-05T02:37:15Z,AIC640,"18.839081,73.23555",6775,273,332
1551753447,2019-03-05T02:37:27Z,AIC640,"18.8524,73.22847",6400,275,333
1551753458,2019-03-05T02:37:38Z,AIC640,"18.865265,73.221863",6050,276,334
1551753470,2019-03-05T02:37:50Z,AIC640,"18.879684,73.214409",5925,267,333
1551753483,2019-03-05T02:38:03Z,AIC640,"18.893188,73.207352",5800,257,333
1551753495,2019-03-05T02:38:15Z,AIC640,"18.90547,73.200806",5675,249,333
1551753507,2019-03-05T02:38:27Z,AIC640,"18.916922,73.194565",5525,241,332
1551753519,2019-03-05T02:38:39Z,AIC640,"18.929398,73.187828",5375,233,332
1551753531,2019-03-05T02:38:51Z,AIC640,"18.9415,73.181328",5225,227,333
1551753543,2019-03-05T02:39:03Z,AIC640,"18.952253,73.175636",5050,222,333
1551753555,2019-03-05T02:39:15Z,AIC640,"18.962173,73.170418",4800,221,333
1551753561,2019-03-05T02:39:21Z,AIC640,"18.968594,73.166901",4625,222,331
1551753568,2019-03-05T02:39:28Z,AIC640,"18.974762,73.163406",4475,223,331
1551753578,2019-03-05T02:39:38Z,AIC640,"18.984562,73.157707",4200,226,330
1551753611,2019-03-05T02:40:11Z,AIC640,"19.012911,73.14093",3950,223,330
1551753622,2019-03-05T02:40:22Z,AIC640,"19.023834,73.134415",3875,221,330
1551753634,2019-03-05T02:40:34Z,AIC640,"19.034512,73.128044",3850,220,330
1551753645,2019-03-05T02:40:45Z,AIC640,"19.045498,73.121552",3725,219,330
1551753652,2019-03-05T02:40:52Z,AIC640,"19.05048,73.11866",3700,218,330
1551753658,2019-03-05T02:40:58Z,AIC640,"19.055054,73.115875",3675,219,329
1551753670,2019-03-05T02:41:10Z,AIC640,"19.066589,73.10891",3550,222,329
1551753676,2019-03-05T02:41:16Z,AIC640,"19.071991,73.104988",3475,220,323
1551753682,2019-03-05T02:41:22Z,AIC640,"19.076408,73.100632",3425,218,315
1551753688,2019-03-05T02:41:28Z,AIC640,"19.080551,73.096039",3350,215,312
1551753695,2019-03-05T02:41:35Z,AIC640,"19.084579,73.091255",3300,211,311
1551753703,2019-03-05T02:41:43Z,AIC640,"19.089211,73.083702",3200,202,297
1551753709,2019-03-05T02:41:49Z,AIC640,"19.090759,73.077965",3150,197,281
