Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551835023,2019-03-06T01:17:03Z,AIC640,"13.202385,77.710052",0,9,92
1551835037,2019-03-06T01:17:17Z,AIC640,"13.202377,77.710289",0,13,90
1551835051,2019-03-06T01:17:31Z,AIC640,"13.202385,77.710571",0,16,90
1551835062,2019-03-06T01:17:42Z,AIC640,"13.202377,77.71096",0,20,90
1551835074,2019-03-06T01:17:54Z,AIC640,"13.202389,77.711418",0,21,81
1551835083,2019-03-06T01:18:03Z,AIC640,"13.202614,77.7117",0,22,30
1551835091,2019-03-06T01:18:11Z,AIC640,"13.202889,77.711754",0,22,5
1551835105,2019-03-06T01:18:25Z,AIC640,"13.203598,77.711754",0,26,5
1551835111,2019-03-06T01:18:31Z,AIC640,"13.203884,77.711754",0,25,5
1551835120,2019-03-06T01:18:40Z,AIC640,"13.204368,77.711769",0,28,4
1551835126,2019-03-06T01:18:46Z,AIC640,"13.204694,77.711754",0,27,358
1551835133,2019-03-06T01:18:53Z,AIC640,"13.204961,77.711792",0,21,14
1551835141,2019-03-06T01:19:01Z,AIC640,"13.205206,77.712067",0,24,67
1551835154,2019-03-06T01:19:14Z,AIC640,"13.205217,77.712685",0,28,90
1551835163,2019-03-06T01:19:23Z,AIC640,"13.205212,77.713226",0,31,90
1551835172,2019-03-06T01:19:32Z,AIC640,"13.205212,77.713867",0,34,90
1551835178,2019-03-06T01:19:38Z,AIC640,"13.2052,77.71434",0,15,90
1551835184,2019-03-06T01:19:44Z,AIC640,"13.205206,77.714752",0,16,90
1551835190,2019-03-06T01:19:50Z,AIC640,"13.205194,77.715309",0,17,90
1551835197,2019-03-06T01:19:57Z,AIC640,"13.205194,77.715706",0,18,90
1551835208,2019-03-06T01:20:08Z,AIC640,"13.205182,77.716896",0,20,90
1551835221,2019-03-06T01:20:21Z,AIC640,"13.205166,77.718269",0,22,90
1551835229,2019-03-06T01:20:29Z,AIC640,"13.205171,77.719055",0,18,90
1551835235,2019-03-06T01:20:35Z,AIC640,"13.205154,77.719521",0,16,90
1551835242,2019-03-06T01:20:42Z,AIC640,"13.205154,77.71994",0,33,90
1551835257,2019-03-06T01:20:57Z,AIC640,"13.205148,77.720802",0,23,90
1551835269,2019-03-06T01:21:09Z,AIC640,"13.205143,77.72113",0,10,90
1551835363,2019-03-06T01:22:43Z,AIC640,"13.205143,77.721336",0,11,90
1551835375,2019-03-06T01:22:55Z,AIC640,"13.205135,77.721634",0,16,90
