Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551921947,2019-03-07T01:25:47Z,AIC640,"13.201656,77.709976",0,0,65
1551922007,2019-03-07T01:26:47Z,AIC640,"13.201878,77.709976",0,11,185
1551922041,2019-03-07T01:27:21Z,AIC640,"13.202316,77.710075",0,10,118
1551922071,2019-03-07T01:27:51Z,AIC640,"13.20211,77.710007",0,0,316
1551922140,2019-03-07T01:29:00Z,AIC640,"13.202401,77.709915",0,0,55
1551922344,2019-03-07T01:32:24Z,AIC640,"13.202377,77.710144",0,12,90
1551922356,2019-03-07T01:32:36Z,AIC640,"13.202366,77.710381",0,14,90
1551922372,2019-03-07T01:32:52Z,AIC640,"13.202374,77.710594",0,2,90
1551922411,2019-03-07T01:33:31Z,AIC640,"13.202374,77.710808",0,11,90
1551922421,2019-03-07T01:33:41Z,AIC640,"13.202374,77.711021",0,15,90
1551922429,2019-03-07T01:33:49Z,AIC640,"13.202377,77.71125",0,17,90
1551922441,2019-03-07T01:34:01Z,AIC640,"13.202511,77.711639",0,22,50
1551922459,2019-03-07T01:34:19Z,AIC640,"13.203438,77.711754",0,29,1
1551922466,2019-03-07T01:34:26Z,AIC640,"13.20382,77.711754",0,29,1
1551922488,2019-03-07T01:34:48Z,AIC640,"13.204914,77.711777",0,19,8
1551922496,2019-03-07T01:34:56Z,AIC640,"13.205182,77.711975",0,23,53
1551922503,2019-03-07T01:35:03Z,AIC640,"13.205217,77.712234",0,24,90
1551922509,2019-03-07T01:35:09Z,AIC640,"13.205212,77.712547",0,26,90
1551922521,2019-03-07T01:35:21Z,AIC640,"13.205212,77.713097",0,23,90
1551922530,2019-03-07T01:35:30Z,AIC640,"13.2052,77.713493",0,24,90
1551922547,2019-03-07T01:35:47Z,AIC640,"13.2052,77.714371",0,23,90
1551922554,2019-03-07T01:35:54Z,AIC640,"13.205189,77.7146",0,20,90
1551922560,2019-03-07T01:36:00Z,AIC640,"13.205194,77.714813",0,20,90
1551922575,2019-03-07T01:36:15Z,AIC640,"13.205189,77.715523",0,26,90
1551922581,2019-03-07T01:36:21Z,AIC640,"13.205194,77.715851",0,28,92
1551922587,2019-03-07T01:36:27Z,AIC640,"13.205182,77.716141",0,29,90
1551922594,2019-03-07T01:36:34Z,AIC640,"13.205177,77.716576",0,31,90
1551922605,2019-03-07T01:36:45Z,AIC640,"13.205177,77.717323",0,31,90
1551922612,2019-03-07T01:36:52Z,AIC640,"13.205166,77.717674",0,27,90
1551922618,2019-03-07T01:36:58Z,AIC640,"13.205171,77.717972",0,24,90
1551922624,2019-03-07T01:37:04Z,AIC640,"13.205159,77.718216",0,21,90
1551922635,2019-03-07T01:37:15Z,AIC640,"13.205159,77.71862",0,22,90
1551922668,2019-03-07T01:37:48Z,AIC640,"13.205154,77.719109",0,13,90
1551922679,2019-03-07T01:37:59Z,AIC640,"13.205148,77.719444",0,18,90
1551922686,2019-03-07T01:38:06Z,AIC640,"13.205154,77.719704",0,20,90
1551922697,2019-03-07T01:38:17Z,AIC640,"13.205148,77.719925",0,2,90
1551922803,2019-03-07T01:40:03Z,AIC640,"13.205143,77.720154",0,13,90
1551922817,2019-03-07T01:40:17Z,AIC640,"13.205148,77.72049",0,17,90
1551922823,2019-03-07T01:40:23Z,AIC640,"13.205148,77.720757",0,21,90
1551922832,2019-03-07T01:40:32Z,AIC640,"13.205135,77.721077",0,24,90
1551922839,2019-03-07T01:40:39Z,AIC640,"13.205143,77.721382",0,26,90
1551922850,2019-03-07T01:40:50Z,AIC640,"13.205132,77.722",0,24,90
1551923010,2019-03-07T01:43:30Z,AIC640,"13.205154,77.722481",0,15,78
1551923020,2019-03-07T01:43:40Z,AIC640,"13.205303,77.72274",0,15,53
1551923029,2019-03-07T01:43:49Z,AIC640,"13.205521,77.722824",0,13,19
1551923037,2019-03-07T01:43:57Z,AIC640,"13.205738,77.722847",0,12,5
1551923207,2019-03-07T01:46:47Z,AIC640,"13.206047,77.722824",0,12,2
1551923224,2019-03-07T01:47:04Z,AIC640,"13.206544,77.722763",0,16,345
1551923238,2019-03-07T01:47:18Z,AIC640,"13.206825,77.722542",0,12,312
1551923266,2019-03-07T01:47:46Z,AIC640,"13.206859,77.72155",0,27,270
1551923283,2019-03-07T01:48:03Z,AIC640,"13.206904,77.716347",0,94,270
1551923294,2019-03-07T01:48:14Z,AIC640,"13.206963,77.709213",0,135,270
1551923300,2019-03-07T01:48:20Z,AIC640,"13.206998,77.705276",0,150,270
1551923306,2019-03-07T01:48:26Z,AIC640,"13.207009,77.700951",2950,166,270
1551923313,2019-03-07T01:48:33Z,AIC640,"13.207056,77.695358",3100,171,270
1551923326,2019-03-07T01:48:46Z,AIC640,"13.207195,77.685097",3500,175,270
1551923337,2019-03-07T01:48:57Z,AIC640,"13.20836,77.675507",4000,170,281
1551923344,2019-03-07T01:49:04Z,AIC640,"13.209503,77.670547",4150,173,283
1551923353,2019-03-07T01:49:13Z,AIC640,"13.211292,77.662598",4350,183,282
