Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552093953,2019-03-09T01:12:33Z,AIC640,"13.201698,77.702721",0,0,180
1552093999,2019-03-09T01:13:19Z,AIC640,"13.201923,77.702736",0,9,171
1552094026,2019-03-09T01:13:46Z,AIC640,"13.202179,77.702652",0,9,188
1552094048,2019-03-09T01:14:08Z,AIC640,"13.202385,77.702667",0,2,244
1552094066,2019-03-09T01:14:26Z,AIC640,"13.202122,77.702682",0,2,270
1552094106,2019-03-09T01:15:06Z,AIC640,"13.202447,77.702843",0,0,106
1552094186,2019-03-09T01:16:26Z,AIC640,"13.202459,77.702843",0,0,106
1552094277,2019-03-09T01:17:57Z,AIC640,"13.202447,77.702843",0,0,180
1552094292,2019-03-09T01:18:12Z,AIC640,"13.202447,77.702797",0,10,270
1552094302,2019-03-09T01:18:22Z,AIC640,"13.202511,77.702583",0,17,289
1552094310,2019-03-09T01:18:30Z,AIC640,"13.202668,77.702347",0,19,306
1552094324,2019-03-09T01:18:44Z,AIC640,"13.202867,77.701965",0,18,289
1552094333,2019-03-09T01:18:53Z,AIC640,"13.202867,77.701653",0,19,270
1552094343,2019-03-09T01:19:03Z,AIC640,"13.202867,77.701309",0,20,270
1552094354,2019-03-09T01:19:14Z,AIC640,"13.202866,77.700867",0,23,270
1552094361,2019-03-09T01:19:21Z,AIC640,"13.202877,77.700531",0,24,270
1552094370,2019-03-09T01:19:30Z,AIC640,"13.202878,77.70018",0,23,270
1552094376,2019-03-09T01:19:36Z,AIC640,"13.202878,77.699905",0,21,270
1552094382,2019-03-09T01:19:42Z,AIC640,"13.202878,77.699677",0,21,270
1552094391,2019-03-09T01:19:51Z,AIC640,"13.202878,77.699287",0,22,270
1552094417,2019-03-09T01:20:17Z,AIC640,"13.202889,77.697998",0,32,270
1552094425,2019-03-09T01:20:25Z,AIC640,"13.2029,77.697411",0,15,270
1552094439,2019-03-09T01:20:39Z,AIC640,"13.202901,77.696327",0,15,270
1552094446,2019-03-09T01:20:46Z,AIC640,"13.202913,77.695854",0,15,270
1552094453,2019-03-09T01:20:53Z,AIC640,"13.202911,77.695297",0,15,270
1552094462,2019-03-09T01:21:02Z,AIC640,"13.202923,77.694664",0,34,270
1552094468,2019-03-09T01:21:08Z,AIC640,"13.202925,77.694206",0,34,270
1552094475,2019-03-09T01:21:15Z,AIC640,"13.202925,77.693832",0,30,270
1552094497,2019-03-09T01:21:37Z,AIC640,"13.203739,77.693321",0,24,335
1552094520,2019-03-09T01:22:00Z,AIC640,"13.205006,77.693321",0,32,357
1552094534,2019-03-09T01:22:14Z,AIC640,"13.205395,77.692825",0,27,272
1552094543,2019-03-09T01:22:23Z,AIC640,"13.205403,77.692337",0,27,270
1552094551,2019-03-09T01:22:31Z,AIC640,"13.205406,77.691833",0,28,270
1552094558,2019-03-09T01:22:38Z,AIC640,"13.205406,77.691513",0,28,270
1552094573,2019-03-09T01:22:53Z,AIC640,"13.205415,77.690697",0,28,270
1552094588,2019-03-09T01:23:08Z,AIC640,"13.205427,77.689819",0,28,270
1552094596,2019-03-09T01:23:16Z,AIC640,"13.205418,77.689392",0,28,270
1552094603,2019-03-09T01:23:23Z,AIC640,"13.205427,77.688972",0,28,270
1552094628,2019-03-09T01:23:48Z,AIC640,"13.205439,77.687599",0,28,270
1552094634,2019-03-09T01:23:54Z,AIC640,"13.205441,77.687347",0,28,270
1552094831,2019-03-09T01:27:11Z,AIC640,"13.205776,77.686203",0,19,331
1552094840,2019-03-09T01:27:20Z,AIC640,"13.206056,77.686157",0,16,354
1552094894,2019-03-09T01:28:14Z,AIC640,"13.206379,77.686172",0,15,8
1552094901,2019-03-09T01:28:21Z,AIC640,"13.206596,77.686188",0,20,5
1552094910,2019-03-09T01:28:30Z,AIC640,"13.20694,77.68634",0,25,33
1552094917,2019-03-09T01:28:37Z,AIC640,"13.207146,77.686684",0,27,70
1552094928,2019-03-09T01:28:48Z,AIC640,"13.207161,77.687263",0,30,90
1552094934,2019-03-09T01:28:54Z,AIC640,"13.207161,77.687782",0,19,90
1552094946,2019-03-09T01:29:06Z,AIC640,"13.207126,77.689919",0,58,90
1552094953,2019-03-09T01:29:13Z,AIC640,"13.207103,77.692635",0,86,90
1552094968,2019-03-09T01:29:28Z,AIC640,"13.207033,77.700783",0,140,90
1552094974,2019-03-09T01:29:34Z,AIC640,"13.206997,77.705437",0,160,90
1552095022,2019-03-09T01:30:22Z,AIC640,"13.20687,77.747597",4300,181,90
1552095029,2019-03-09T01:30:29Z,AIC640,"13.20673,77.752747",4500,183,91
1552095041,2019-03-09T01:30:41Z,AIC640,"13.206482,77.763649",4775,194,91
1552095047,2019-03-09T01:30:47Z,AIC640,"13.206358,77.769516",4900,201,91
1552095053,2019-03-09T01:30:53Z,AIC640,"13.206264,77.774384",5025,209,90
1552095078,2019-03-09T01:31:18Z,AIC640,"13.212317,77.799294",5750,236,52
1552095086,2019-03-09T01:31:26Z,AIC640,"13.220836,77.806572",6225,236,31
1552095093,2019-03-09T01:31:33Z,AIC640,"13.227631,77.809151",6600,235,15
1552095120,2019-03-09T01:32:00Z,AIC640,"13.257065,77.802475",7725,258,333
1552095127,2019-03-09T01:32:07Z,AIC640,"13.263748,77.799019",7925,262,332
1552095141,2019-03-09T01:32:21Z,AIC640,"13.280182,77.790306",8425,275,332
1552095155,2019-03-09T01:32:35Z,AIC640,"13.294667,77.782623",8950,280,332
1552095167,2019-03-09T01:32:47Z,AIC640,"13.309052,77.775009",9550,283,332
1552095179,2019-03-09T01:32:59Z,AIC640,"13.323064,77.767494",10100,285,332
1552095191,2019-03-09T01:33:11Z,AIC640,"13.3381,77.759445",10500,296,332
1552095203,2019-03-09T01:33:23Z,AIC640,"13.353184,77.751495",10775,310,332
1552095215,2019-03-09T01:33:35Z,AIC640,"13.369617,77.742821",11025,326,332
1552095227,2019-03-09T01:33:47Z,AIC640,"13.386475,77.734001",11300,339,332
1552095240,2019-03-09T01:34:00Z,AIC640,"13.403088,77.725189",11750,345,332
1552095251,2019-03-09T01:34:11Z,AIC640,"13.42099,77.715675",12325,345,332
1552095283,2019-03-09T01:34:43Z,AIC640,"13.466721,77.691521",13775,345,332
1552095315,2019-03-09T01:35:15Z,AIC640,"13.510576,77.668236",14850,355,332
1552095349,2019-03-09T01:35:49Z,AIC640,"13.563034,77.640427",16100,362,332
1552095379,2019-03-09T01:36:19Z,AIC640,"13.609131,77.61599",17000,374,332
1552095413,2019-03-09T01:36:53Z,AIC640,"13.660721,77.588669",18100,379,332
1552095468,2019-03-09T01:37:48Z,AIC640,"13.748272,77.542229",19575,395,332
1552095562,2019-03-09T01:39:22Z,AIC640,"13.904688,77.459007",22300,410,332
1552095623,2019-03-09T01:40:23Z,AIC640,"14.01123,77.402328",23575,428,332
1552095685,2019-03-09T01:41:25Z,AIC640,"14.119852,77.344376",25250,431,332
1552095746,2019-03-09T01:42:26Z,AIC640,"14.228943,77.286163",26750,434,332
1552095808,2019-03-09T01:43:28Z,AIC640,"14.340271,77.226692",28050,441,332
1552095869,2019-03-09T01:44:29Z,AIC640,"14.450652,77.167534",29250,446,332
1552095930,2019-03-09T01:45:30Z,AIC640,"14.563705,77.107071",30325,453,332
1552095962,2019-03-09T01:46:02Z,AIC640,"14.625782,77.079353",30875,456,339
1552096054,2019-03-09T01:47:34Z,AIC640,"14.813993,77.010307",32525,462,340
1552096116,2019-03-09T01:48:36Z,AIC640,"14.936005,76.966507",33900,459,340
1552096177,2019-03-09T01:49:37Z,AIC640,"15.060627,76.922493",34850,464,341
1552096237,2019-03-09T01:50:37Z,AIC640,"15.184891,76.879189",35825,467,341
1552096278,2019-03-09T01:51:18Z,AIC640,"15.266666,76.845787",36750,458,331
1552096284,2019-03-09T01:51:24Z,AIC640,"15.275558,76.84034",36800,458,328
1552096293,2019-03-09T01:51:33Z,AIC640,"15.293108,76.827934",36925,456,323
1552096299,2019-03-09T01:51:39Z,AIC640,"15.301581,76.820969",36975,455,321
1552096309,2019-03-09T01:51:49Z,AIC640,"15.318192,76.805275",37100,454,315
1552096368,2019-03-09T01:52:48Z,AIC640,"15.405113,76.716156",37875,453,315
1552096436,2019-03-09T01:53:56Z,AIC640,"15.506737,76.611588",38000,455,315
1552096494,2019-03-09T01:54:54Z,AIC640,"15.595279,76.520218",38000,454,314
1552096557,2019-03-09T01:55:57Z,AIC640,"15.687266,76.425018",38000,450,314
1552096614,2019-03-09T01:56:54Z,AIC640,"15.771194,76.338165",37975,449,314
1552096683,2019-03-09T01:58:03Z,AIC640,"15.873917,76.231628",37975,448,314
1552096745,2019-03-09T01:59:05Z,AIC640,"15.963461,76.138588",37975,449,314
1552096810,2019-03-09T02:00:10Z,AIC640,"16.060568,76.037506",38000,451,314
1552096876,2019-03-09T02:01:16Z,AIC640,"16.156815,75.937401",38025,452,314
1552096937,2019-03-09T02:02:17Z,AIC640,"16.247011,75.84333",38000,452,314
1552096991,2019-03-09T02:03:11Z,AIC640,"16.328247,75.758537",38025,450,314
1552097077,2019-03-09T02:04:37Z,AIC640,"16.453491,75.627525",38000,447,314
1552097144,2019-03-09T02:05:44Z,AIC640,"16.551043,75.525314",37975,444,314
1552097204,2019-03-09T02:06:44Z,AIC640,"16.633896,75.430923",37975,438,308
1552097271,2019-03-09T02:07:51Z,AIC640,"16.718262,75.319763",37950,441,308
1552097288,2019-03-09T02:08:08Z,AIC640,"16.740097,75.290848",37975,442,308
1552097378,2019-03-09T02:09:38Z,AIC640,"16.854937,75.138885",38050,445,308
1552097441,2019-03-09T02:10:41Z,AIC640,"16.935699,75.031799",38050,444,308
1552097502,2019-03-09T02:11:42Z,AIC640,"17.01178,74.930809",38000,443,307
1552097565,2019-03-09T02:12:45Z,AIC640,"17.090677,74.825676",38000,443,307
1552097629,2019-03-09T02:13:49Z,AIC640,"17.171402,74.718063",38025,441,307
1552097691,2019-03-09T02:14:51Z,AIC640,"17.251003,74.611786",38025,436,307
1552097754,2019-03-09T02:15:54Z,AIC640,"17.328932,74.507805",38000,429,307
1552097813,2019-03-09T02:16:53Z,AIC640,"17.399876,74.413002",37475,428,307
1552097878,2019-03-09T02:17:58Z,AIC640,"17.478643,74.307159",35925,436,307
1552097943,2019-03-09T02:19:03Z,AIC640,"17.561552,74.195824",34300,441,307
1552098007,2019-03-09T02:20:07Z,AIC640,"17.640656,74.089676",31625,433,307
1552098067,2019-03-09T02:21:07Z,AIC640,"17.713638,73.991402",29275,419,307
1552098099,2019-03-09T02:21:39Z,AIC640,"17.757843,73.942856",28050,418,319
1552098106,2019-03-09T02:21:46Z,AIC640,"17.766987,73.934944",27950,413,320
1552098169,2019-03-09T02:22:49Z,AIC640,"17.857544,73.857376",25725,396,320
1552098233,2019-03-09T02:23:53Z,AIC640,"17.948029,73.779472",23325,387,320
1552098295,2019-03-09T02:24:55Z,AIC640,"18.033825,73.705658",21425,367,320
1552098356,2019-03-09T02:25:56Z,AIC640,"18.11174,73.638756",19175,363,320
1552098419,2019-03-09T02:26:59Z,AIC640,"18.193172,73.568451",17150,349,320
