Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552180304,2019-03-10T01:11:44Z,AIC640,"13.20161,77.712265",0,9,168
1552180328,2019-03-10T01:12:08Z,AIC640,"13.201836,77.712219",0,9,168
1552180350,2019-03-10T01:12:30Z,AIC640,"13.202042,77.712173",0,2,171
1552180376,2019-03-10T01:12:56Z,AIC640,"13.20225,77.71212",0,2,230
1552180414,2019-03-10T01:13:34Z,AIC640,"13.202366,77.712334",0,2,270
1552180505,2019-03-10T01:15:05Z,AIC640,"13.202377,77.712395",0,0,309
1552180611,2019-03-10T01:16:51Z,AIC640,"13.202377,77.712059",0,19,270
1552180621,2019-03-10T01:17:01Z,AIC640,"13.202385,77.711685",0,20,270
1552180630,2019-03-10T01:17:10Z,AIC640,"13.202385,77.71138",0,21,270
1552180638,2019-03-10T01:17:18Z,AIC640,"13.202385,77.711021",0,21,270
1552180647,2019-03-10T01:17:27Z,AIC640,"13.202385,77.710716",0,22,270
1552180654,2019-03-10T01:17:34Z,AIC640,"13.202385,77.710403",0,22,270
1552180664,2019-03-10T01:17:44Z,AIC640,"13.202385,77.710007",0,24,270
1552180675,2019-03-10T01:17:55Z,AIC640,"13.202389,77.709381",0,26,270
1552180683,2019-03-10T01:18:03Z,AIC640,"13.202401,77.709045",0,28,270
1552180692,2019-03-10T01:18:12Z,AIC640,"13.202401,77.708519",0,29,272
1552180698,2019-03-10T01:18:18Z,AIC640,"13.202401,77.708153",0,30,270
1552180709,2019-03-10T01:18:29Z,AIC640,"13.202413,77.707397",0,32,270
1552180715,2019-03-10T01:18:35Z,AIC640,"13.202408,77.70697",0,34,270
1552180721,2019-03-10T01:18:41Z,AIC640,"13.202408,77.706535",0,34,270
1552180728,2019-03-10T01:18:48Z,AIC640,"13.202419,77.706177",0,34,270
1552180737,2019-03-10T01:18:57Z,AIC640,"13.202419,77.705437",0,34,270
1552180749,2019-03-10T01:19:09Z,AIC640,"13.202419,77.704651",0,34,270
1552180756,2019-03-10T01:19:16Z,AIC640,"13.202459,77.704224",0,27,284
1552180763,2019-03-10T01:19:23Z,AIC640,"13.202692,77.703964",0,25,329
1552180771,2019-03-10T01:19:31Z,AIC640,"13.20298,77.703918",0,23,355
1552180778,2019-03-10T01:19:38Z,AIC640,"13.203392,77.703918",0,27,2
1552180786,2019-03-10T01:19:46Z,AIC640,"13.203797,77.703926",0,30,1
1552180796,2019-03-10T01:19:56Z,AIC640,"13.204388,77.703934",0,33,2
1552180804,2019-03-10T01:20:04Z,AIC640,"13.204971,77.703896",0,33,345
