Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552266645,2019-03-11T01:10:45Z,AIC640,"13.201505,77.711563",0,0,83
1552266693,2019-03-11T01:11:33Z,AIC640,"13.201744,77.711472",0,9,171
1552266715,2019-03-11T01:11:55Z,AIC640,"13.201959,77.711433",0,9,160
1552266748,2019-03-11T01:12:28Z,AIC640,"13.202248,77.711327",0,9,225
1552266801,2019-03-11T01:13:21Z,AIC640,"13.202017,77.711403",0,0,65
1552266827,2019-03-11T01:13:47Z,AIC640,"13.202362,77.711487",0,0,246
1552266982,2019-03-11T01:16:22Z,AIC640,"13.202377,77.711456",0,2,267
1552267023,2019-03-11T01:17:03Z,AIC640,"13.202385,77.710983",0,14,270
1552267032,2019-03-11T01:17:12Z,AIC640,"13.202385,77.710747",0,17,270
1552267038,2019-03-11T01:17:18Z,AIC640,"13.202377,77.710541",0,19,270
1552267045,2019-03-11T01:17:25Z,AIC640,"13.202385,77.710297",0,21,270
1552267054,2019-03-11T01:17:34Z,AIC640,"13.202389,77.709854",0,25,270
1552267072,2019-03-11T01:17:52Z,AIC640,"13.202389,77.708939",0,28,270
1552267079,2019-03-11T01:17:59Z,AIC640,"13.202401,77.708565",0,30,270
1552267090,2019-03-11T01:18:10Z,AIC640,"13.202401,77.707817",0,32,270
1552267096,2019-03-11T01:18:16Z,AIC640,"13.202408,77.707436",0,33,270
1552267102,2019-03-11T01:18:22Z,AIC640,"13.202408,77.707024",0,34,270
1552267114,2019-03-11T01:18:34Z,AIC640,"13.202419,77.706131",0,15,270
1552267127,2019-03-11T01:18:47Z,AIC640,"13.202431,77.705284",0,15,270
1552267139,2019-03-11T01:18:59Z,AIC640,"13.202431,77.704453",0,15,270
1552267145,2019-03-11T01:19:05Z,AIC640,"13.202442,77.703964",0,34,270
1552267151,2019-03-11T01:19:11Z,AIC640,"13.202442,77.703568",0,32,270
1552267190,2019-03-11T01:19:50Z,AIC640,"13.202465,77.701057",0,32,270
1552267217,2019-03-11T01:20:17Z,AIC640,"13.202471,77.699333",0,34,270
1552267224,2019-03-11T01:20:24Z,AIC640,"13.202482,77.698929",0,15,270
1552267234,2019-03-11T01:20:34Z,AIC640,"13.202488,77.697998",0,17,270
1552267240,2019-03-11T01:20:40Z,AIC640,"13.202488,77.697479",0,18,270
1552267249,2019-03-11T01:20:49Z,AIC640,"13.202494,77.69677",0,19,270
1552267258,2019-03-11T01:20:58Z,AIC640,"13.202506,77.695892",0,19,270
1552267270,2019-03-11T01:21:10Z,AIC640,"13.202518,77.694794",0,19,270
1552267276,2019-03-11T01:21:16Z,AIC640,"13.202518,77.694252",0,16,270
1552267282,2019-03-11T01:21:22Z,AIC640,"13.202522,77.693817",0,15,270
1552267288,2019-03-11T01:21:28Z,AIC640,"13.202602,77.693466",0,27,295
1552267298,2019-03-11T01:21:38Z,AIC640,"13.20298,77.693314",0,24,2
1552267305,2019-03-11T01:21:45Z,AIC640,"13.2033,77.693321",0,23,1
1552267318,2019-03-11T01:21:58Z,AIC640,"13.203907,77.693336",0,28,1
1552267330,2019-03-11T01:22:10Z,AIC640,"13.204754,77.693336",0,32,1
1552267337,2019-03-11T01:22:17Z,AIC640,"13.205135,77.693291",0,31,340
1552267343,2019-03-11T01:22:23Z,AIC640,"13.20536,77.693016",0,29,289
1552267349,2019-03-11T01:22:29Z,AIC640,"13.205395,77.692688",0,28,270
1552267355,2019-03-11T01:22:35Z,AIC640,"13.205395,77.692345",0,30,270
1552267361,2019-03-11T01:22:41Z,AIC640,"13.205403,77.692024",0,33,270
1552267367,2019-03-11T01:22:47Z,AIC640,"13.205403,77.691467",0,16,270
1552267385,2019-03-11T01:23:05Z,AIC640,"13.205418,77.689857",0,21,270
1552267395,2019-03-11T01:23:15Z,AIC640,"13.205418,77.688721",0,22,270
1552267407,2019-03-11T01:23:27Z,AIC640,"13.205427,77.687408",0,22,270
1552267426,2019-03-11T01:23:46Z,AIC640,"13.205799,77.686195",0,30,337
1552267432,2019-03-11T01:23:52Z,AIC640,"13.20609,77.686172",0,27,356
1552267440,2019-03-11T01:24:00Z,AIC640,"13.206579,77.68618",0,29,2
1552267450,2019-03-11T01:24:10Z,AIC640,"13.207088,77.686409",0,31,23
1552267462,2019-03-11T01:24:22Z,AIC640,"13.207157,77.687393",0,21,90
1552267474,2019-03-11T01:24:34Z,AIC640,"13.207126,77.690109",0,67,90
1552267481,2019-03-11T01:24:41Z,AIC640,"13.207103,77.69252",0,92,90
1552267492,2019-03-11T01:24:52Z,AIC640,"13.207054,77.699234",0,135,90
1552267500,2019-03-11T01:25:00Z,AIC640,"13.207008,77.703957",0,155,90
1552267509,2019-03-11T01:25:09Z,AIC640,"13.206963,77.711502",2925,172,90
1552267515,2019-03-11T01:25:15Z,AIC640,"13.20694,77.716293",3150,168,90
1552267538,2019-03-11T01:25:38Z,AIC640,"13.20687,77.736267",3875,180,91
1552267545,2019-03-11T01:25:45Z,AIC640,"13.206711,77.741722",4000,188,91
1552267558,2019-03-11T01:25:58Z,AIC640,"13.206405,77.753036",4275,202,91
1552267569,2019-03-11T01:26:09Z,AIC640,"13.206207,77.765205",4525,217,90
1552267594,2019-03-11T01:26:34Z,AIC640,"13.206253,77.791534",5500,231,90
1552267624,2019-03-11T01:27:04Z,AIC640,"13.211292,77.822182",6925,239,60
1552267631,2019-03-11T01:27:11Z,AIC640,"13.216599,77.829086",7100,248,47
1552267637,2019-03-11T01:27:17Z,AIC640,"13.221954,77.833305",7250,256,33
1552267645,2019-03-11T01:27:25Z,AIC640,"13.232346,77.83757",7500,269,14
1552267651,2019-03-11T01:27:31Z,AIC640,"13.239899,77.838371",7700,274,3
1552267672,2019-03-11T01:27:52Z,AIC640,"13.267807,77.835197",8850,276,352
1552267678,2019-03-11T01:27:58Z,AIC640,"13.274597,77.834251",9150,277,352
1552267691,2019-03-11T01:28:11Z,AIC640,"13.29085,77.832016",9650,283,352
1552267703,2019-03-11T01:28:23Z,AIC640,"13.307423,77.82975",9925,287,352
1552267716,2019-03-11T01:28:36Z,AIC640,"13.322983,77.827576",10000,286,352
1552267727,2019-03-11T01:28:47Z,AIC640,"13.33959,77.825218",10025,286,352
1552267739,2019-03-11T01:28:59Z,AIC640,"13.355371,77.823097",10000,286,352
1552267752,2019-03-11T01:29:12Z,AIC640,"13.372009,77.820847",10125,286,352
1552267765,2019-03-11T01:29:25Z,AIC640,"13.388489,77.818626",10325,302,352
1552267776,2019-03-11T01:29:36Z,AIC640,"13.404624,77.816498",10525,319,352
1552267789,2019-03-11T01:29:49Z,AIC640,"13.425201,77.813652",10700,336,352
1552267800,2019-03-11T01:30:00Z,AIC640,"13.443558,77.811142",10875,351,352
1552267812,2019-03-11T01:30:12Z,AIC640,"13.463333,77.808395",11200,362,352
1552267825,2019-03-11T01:30:25Z,AIC640,"13.485112,77.805466",11850,363,352
1552267838,2019-03-11T01:30:38Z,AIC640,"13.505676,77.802666",12550,361,352
1552267849,2019-03-11T01:30:49Z,AIC640,"13.524263,77.797852",13000,368,341
1552267856,2019-03-11T01:30:56Z,AIC640,"13.535017,77.792839",13200,373,333
1552267865,2019-03-11T01:31:05Z,AIC640,"13.54834,77.784431",13550,376,327
1552267871,2019-03-11T01:31:11Z,AIC640,"13.557129,77.778702",13775,377,327
1552267877,2019-03-11T01:31:17Z,AIC640,"13.566346,77.772652",14000,380,327
1552267915,2019-03-11T01:31:55Z,AIC640,"13.622818,77.735657",15250,391,327
1552267945,2019-03-11T01:32:25Z,AIC640,"13.668994,77.705093",16350,395,327
1552267978,2019-03-11T01:32:58Z,AIC640,"13.721318,77.670547",17475,399,327
1552268011,2019-03-11T01:33:31Z,AIC640,"13.773411,77.636192",18475,407,327
1552268073,2019-03-11T01:34:33Z,AIC640,"13.872482,77.57058",20100,422,327
1552268134,2019-03-11T01:35:34Z,AIC640,"13.975121,77.502617",21750,434,327
1552268199,2019-03-11T01:36:39Z,AIC640,"14.085916,77.429085",23075,454,327
1552268259,2019-03-11T01:37:39Z,AIC640,"14.195546,77.356277",24950,454,327
1552268320,2019-03-11T01:38:40Z,AIC640,"14.303175,77.284676",26550,455,327
1552268382,2019-03-11T01:39:42Z,AIC640,"14.411224,77.212814",27750,464,327
1552268444,2019-03-11T01:40:44Z,AIC640,"14.528348,77.13472",28850,475,326
1552268505,2019-03-11T01:41:45Z,AIC640,"14.645233,77.072647",30550,469,338
1552268541,2019-03-11T01:42:21Z,AIC640,"14.719299,77.045273",31325,471,340
1552268560,2019-03-11T01:42:40Z,AIC640,"14.759033,77.03064",31675,474,340
1552268652,2019-03-11T01:44:12Z,AIC640,"14.933399,76.931618",34175,456,320
1552268716,2019-03-11T01:45:16Z,AIC640,"15.034012,76.844688",35750,446,319
1552268778,2019-03-11T01:46:18Z,AIC640,"15.134877,76.757057",36000,447,319
1552268842,2019-03-11T01:47:22Z,AIC640,"15.233231,76.671707",36000,442,319
1552268902,2019-03-11T01:48:22Z,AIC640,"15.328583,76.588539",36000,441,319
1552268966,2019-03-11T01:49:26Z,AIC640,"15.427737,76.502365",35975,441,319
1552269028,2019-03-11T01:50:28Z,AIC640,"15.526154,76.416512",36000,441,319
1552269089,2019-03-11T01:51:29Z,AIC640,"15.619765,76.334824",36050,441,319
1552269152,2019-03-11T01:52:32Z,AIC640,"15.719284,76.24791",36025,438,319
1552269215,2019-03-11T01:53:35Z,AIC640,"15.817333,76.161835",35975,437,319
1552269278,2019-03-11T01:54:38Z,AIC640,"15.914953,76.076347",36000,436,319
1552269339,2019-03-11T01:55:39Z,AIC640,"16.007545,75.995224",36000,436,319
1552269402,2019-03-11T01:56:42Z,AIC640,"16.103537,75.910919",36025,434,319
1552269465,2019-03-11T01:57:45Z,AIC640,"16.202133,75.82412",36000,432,319
1552269528,2019-03-11T01:58:48Z,AIC640,"16.298401,75.73922",36000,430,319
1552269588,2019-03-11T01:59:48Z,AIC640,"16.389954,75.658409",36000,428,319
1552269651,2019-03-11T02:00:51Z,AIC640,"16.485397,75.574135",35975,427,319
1552269715,2019-03-11T02:01:55Z,AIC640,"16.580841,75.489326",36000,427,318
1552269778,2019-03-11T02:02:58Z,AIC640,"16.662767,75.392845",36000,424,308
1552269841,2019-03-11T02:04:01Z,AIC640,"16.740097,75.290848",36025,426,308
1552269902,2019-03-11T02:05:02Z,AIC640,"16.813843,75.193275",36025,425,308
1552269966,2019-03-11T02:06:06Z,AIC640,"16.890884,75.091309",36025,423,308
1552270029,2019-03-11T02:07:09Z,AIC640,"16.96756,74.989639",36000,419,308
1552270088,2019-03-11T02:08:08Z,AIC640,"17.038605,74.895004",35975,417,307
1552270152,2019-03-11T02:09:12Z,AIC640,"17.114511,74.79409",35975,415,307
1552270215,2019-03-11T02:10:15Z,AIC640,"17.189367,74.694229",35975,416,307
1552270279,2019-03-11T02:11:19Z,AIC640,"17.264923,74.593361",36000,417,307
1552270338,2019-03-11T02:12:18Z,AIC640,"17.33638,74.497849",36000,420,307
1552270402,2019-03-11T02:13:22Z,AIC640,"17.412415,74.396141",36025,421,307
1552270465,2019-03-11T02:14:25Z,AIC640,"17.488047,74.294846",35525,413,307
1552270529,2019-03-11T02:15:29Z,AIC640,"17.561874,74.195496",34350,418,307
1552270589,2019-03-11T02:16:29Z,AIC640,"17.634064,74.09864",32725,417,307
1552270651,2019-03-11T02:17:31Z,AIC640,"17.709728,73.996696",30575,429,307
1552270715,2019-03-11T02:18:35Z,AIC640,"17.786539,73.893211",28475,412,307
