Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552353188,2019-03-12T01:13:08Z,AIC640,"13.205315,77.700188",0,23,270
1552353195,2019-03-12T01:13:15Z,AIC640,"13.205322,77.69989",0,22,270
1552353208,2019-03-12T01:13:28Z,AIC640,"13.205326,77.699387",0,21,270
1552353214,2019-03-12T01:13:34Z,AIC640,"13.205334,77.699142",0,21,270
1552353228,2019-03-12T01:13:48Z,AIC640,"13.205334,77.69854",0,21,270
1552353236,2019-03-12T01:13:56Z,AIC640,"13.205334,77.698303",0,21,270
1552353248,2019-03-12T01:14:08Z,AIC640,"13.205349,77.697807",0,20,270
1552353258,2019-03-12T01:14:18Z,AIC640,"13.205338,77.697411",0,21,270
1552353274,2019-03-12T01:14:34Z,AIC640,"13.205349,77.696838",0,21,270
1552353280,2019-03-12T01:14:40Z,AIC640,"13.205345,77.696602",0,21,270
1552353291,2019-03-12T01:14:51Z,AIC640,"13.205357,77.69619",0,21,270
1552353300,2019-03-12T01:15:00Z,AIC640,"13.205357,77.695816",0,22,270
1552353311,2019-03-12T01:15:11Z,AIC640,"13.20536,77.695358",0,22,270
1552353323,2019-03-12T01:15:23Z,AIC640,"13.20536,77.694878",0,22,270
1552353329,2019-03-12T01:15:29Z,AIC640,"13.20536,77.694588",0,22,270
1552353357,2019-03-12T01:15:57Z,AIC640,"13.20538,77.693413",0,23,270
1552353375,2019-03-12T01:16:15Z,AIC640,"13.20538,77.692604",0,24,270
1552353381,2019-03-12T01:16:21Z,AIC640,"13.205383,77.692307",0,24,270
1552353387,2019-03-12T01:16:27Z,AIC640,"13.205395,77.69207",0,24,272
1552353393,2019-03-12T01:16:33Z,AIC640,"13.205395,77.691734",0,25,270
1552353401,2019-03-12T01:16:41Z,AIC640,"13.205392,77.691444",0,25,270
1552353412,2019-03-12T01:16:52Z,AIC640,"13.205395,77.690849",0,25,270
1552353426,2019-03-12T01:17:06Z,AIC640,"13.205406,77.690147",0,26,270
1552353432,2019-03-12T01:17:12Z,AIC640,"13.205403,77.689842",0,26,270
1552353449,2019-03-12T01:17:29Z,AIC640,"13.205418,77.68898",0,26,270
1552353466,2019-03-12T01:17:46Z,AIC640,"13.205418,77.688324",0,11,270
1552353569,2019-03-12T01:19:29Z,AIC640,"13.205429,77.687401",0,11,270
1552353590,2019-03-12T01:19:50Z,AIC640,"13.205427,77.686989",0,11,270
1552353629,2019-03-12T01:20:29Z,AIC640,"13.205441,77.686539",0,2,272
1552353652,2019-03-12T01:20:52Z,AIC640,"13.205508,77.686264",0,11,292
1552353666,2019-03-12T01:21:06Z,AIC640,"13.20575,77.686165",0,11,343
1552353706,2019-03-12T01:21:46Z,AIC640,"13.206047,77.686172",0,11,1
1552353722,2019-03-12T01:22:02Z,AIC640,"13.20639,77.686188",0,16,2
1552353729,2019-03-12T01:22:09Z,AIC640,"13.206596,77.686188",0,15,2
1552353742,2019-03-12T01:22:22Z,AIC640,"13.206894,77.686256",0,12,14
1552353764,2019-03-12T01:22:44Z,AIC640,"13.207111,77.686432",0,13,38
1552353779,2019-03-12T01:22:59Z,AIC640,"13.207161,77.687233",0,23,90
1552353788,2019-03-12T01:23:08Z,AIC640,"13.20715,77.689171",0,63,90
