Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552440202,2019-03-13T01:23:22Z,AIC640,"13.202339,77.713356",0,2,258
1552440297,2019-03-13T01:24:57Z,AIC640,"13.202374,77.712837",0,9,270
1552440315,2019-03-13T01:25:15Z,AIC640,"13.202374,77.712631",0,9,270
1552440449,2019-03-13T01:27:29Z,AIC640,"13.202366,77.71241",0,13,270
1552440467,2019-03-13T01:27:47Z,AIC640,"13.202374,77.711899",0,19,270
1552440483,2019-03-13T01:28:03Z,AIC640,"13.202377,77.711494",0,17,270
1552440499,2019-03-13T01:28:19Z,AIC640,"13.202377,77.710983",0,18,270
1552440510,2019-03-13T01:28:30Z,AIC640,"13.202385,77.710587",0,19,270
1552440516,2019-03-13T01:28:36Z,AIC640,"13.202385,77.710358",0,20,270
1552440522,2019-03-13T01:28:42Z,AIC640,"13.202377,77.710121",0,21,270
1552440535,2019-03-13T01:28:55Z,AIC640,"13.202389,77.709549",0,28,270
1552440546,2019-03-13T01:29:06Z,AIC640,"13.202401,77.708832",0,15,270
1552440553,2019-03-13T01:29:13Z,AIC640,"13.202408,77.708267",0,17,270
1552440565,2019-03-13T01:29:25Z,AIC640,"13.202419,77.707207",0,18,270
1552440575,2019-03-13T01:29:35Z,AIC640,"13.202419,77.706429",0,18,270
1552440586,2019-03-13T01:29:46Z,AIC640,"13.202435,77.705338",0,18,270
1552440599,2019-03-13T01:29:59Z,AIC640,"13.202435,77.704285",0,17,270
1552440610,2019-03-13T01:30:10Z,AIC640,"13.202447,77.703445",0,16,270
1552440619,2019-03-13T01:30:19Z,AIC640,"13.202459,77.702682",0,15,270
1552440637,2019-03-13T01:30:37Z,AIC640,"13.202465,77.70137",0,15,270
1552440645,2019-03-13T01:30:45Z,AIC640,"13.202465,77.700806",0,15,270
1552440664,2019-03-13T01:31:04Z,AIC640,"13.202482,77.699554",0,34,270
1552440672,2019-03-13T01:31:12Z,AIC640,"13.202488,77.698959",0,16,270
1552440678,2019-03-13T01:31:18Z,AIC640,"13.202499,77.698448",0,17,270
1552440697,2019-03-13T01:31:37Z,AIC640,"13.202511,77.696777",0,20,270
1552440708,2019-03-13T01:31:48Z,AIC640,"13.202511,77.695633",0,21,270
1552440714,2019-03-13T01:31:54Z,AIC640,"13.202522,77.694931",0,21,270
1552440720,2019-03-13T01:32:00Z,AIC640,"13.202522,77.694366",0,18,270
1552440726,2019-03-13T01:32:06Z,AIC640,"13.202534,77.693962",0,29,270
1552440732,2019-03-13T01:32:12Z,AIC640,"13.202568,77.693611",0,28,286
1552440768,2019-03-13T01:32:48Z,AIC640,"13.204054,77.693321",0,24,355
1552440779,2019-03-13T01:32:59Z,AIC640,"13.204589,77.693336",0,26,1
1552440786,2019-03-13T01:33:06Z,AIC640,"13.204914,77.693336",0,28,1
1552440795,2019-03-13T01:33:15Z,AIC640,"13.205406,77.693405",0,28,22
1552440804,2019-03-13T01:33:24Z,AIC640,"13.205692,77.693764",0,27,59
1552440820,2019-03-13T01:33:40Z,AIC640,"13.20616,77.69458",0,28,61
1552440830,2019-03-13T01:33:50Z,AIC640,"13.206416,77.695045",0,29,61
1552440836,2019-03-13T01:33:56Z,AIC640,"13.206551,77.695328",0,29,61
1552440849,2019-03-13T01:34:09Z,AIC640,"13.206893,77.696014",0,30,64
1552440855,2019-03-13T01:34:15Z,AIC640,"13.207031,77.696327",0,30,70
1552440863,2019-03-13T01:34:23Z,AIC640,"13.207067,77.696938",0,33,90
1552440869,2019-03-13T01:34:29Z,AIC640,"13.207066,77.697418",0,19,90
1552440876,2019-03-13T01:34:36Z,AIC640,"13.207067,77.698532",0,43,90
1552440882,2019-03-13T01:34:42Z,AIC640,"13.207045,77.700203",0,70,90
1552440888,2019-03-13T01:34:48Z,AIC640,"13.20702,77.70282",0,96,90
1552440894,2019-03-13T01:34:54Z,AIC640,"13.206997,77.706154",0,120,90
1552440901,2019-03-13T01:35:01Z,AIC640,"13.206963,77.71048",0,140,90
1552440912,2019-03-13T01:35:12Z,AIC640,"13.206823,77.719505",2925,171,91
1552440919,2019-03-13T01:35:19Z,AIC640,"13.206711,77.724434",3150,168,91
1552440940,2019-03-13T01:35:40Z,AIC640,"13.206684,77.741135",4075,160,90
1552440946,2019-03-13T01:35:46Z,AIC640,"13.206619,77.745697",4350,157,90
1552440952,2019-03-13T01:35:52Z,AIC640,"13.206591,77.750145",4550,157,90
1552440958,2019-03-13T01:35:58Z,AIC640,"13.206497,77.755013",4700,162,91
