Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552526155,2019-03-14T01:15:55Z,AIC640,"13.201721,77.711426",0,9,171
1552526175,2019-03-14T01:16:15Z,AIC640,"13.201959,77.711395",0,9,163
1552526233,2019-03-14T01:17:13Z,AIC640,"13.202374,77.711685",0,9,270
1552526256,2019-03-14T01:17:36Z,AIC640,"13.202377,77.711975",0,10,270
1552526274,2019-03-14T01:17:54Z,AIC640,"13.202389,77.712189",0,10,272
1552526398,2019-03-14T01:19:58Z,AIC640,"13.202366,77.712357",0,0,180
1552526467,2019-03-14T01:21:07Z,AIC640,"13.202728,77.711754",0,24,343
1552526473,2019-03-14T01:21:13Z,AIC640,"13.203003,77.711746",0,28,359
1552526481,2019-03-14T01:21:21Z,AIC640,"13.203598,77.711754",0,34,2
1552526487,2019-03-14T01:21:27Z,AIC640,"13.204021,77.711754",0,15,2
1552526493,2019-03-14T01:21:33Z,AIC640,"13.204422,77.711769",0,18,3
1552526500,2019-03-14T01:21:40Z,AIC640,"13.204948,77.711754",0,33,354
1552526508,2019-03-14T01:21:48Z,AIC640,"13.205257,77.711281",0,33,275
1552526514,2019-03-14T01:21:54Z,AIC640,"13.20524,77.710861",0,34,270
1552526520,2019-03-14T01:22:00Z,AIC640,"13.20524,77.710419",0,16,270
1552526527,2019-03-14T01:22:07Z,AIC640,"13.205246,77.70993",0,16,270
1552526536,2019-03-14T01:22:16Z,AIC640,"13.205246,77.709167",0,18,270
1552526563,2019-03-14T01:22:43Z,AIC640,"13.205276,77.706528",0,22,270
1552526570,2019-03-14T01:22:50Z,AIC640,"13.205269,77.705894",0,22,270
1552526576,2019-03-14T01:22:56Z,AIC640,"13.205276,77.7052",0,23,270
1552526584,2019-03-14T01:23:04Z,AIC640,"13.205292,77.704277",0,24,270
1552526590,2019-03-14T01:23:10Z,AIC640,"13.205303,77.703407",0,25,270
1552526599,2019-03-14T01:23:19Z,AIC640,"13.205311,77.702454",0,26,270
1552526607,2019-03-14T01:23:27Z,AIC640,"13.205311,77.701469",0,27,270
1552526619,2019-03-14T01:23:39Z,AIC640,"13.205315,77.699989",0,26,270
1552526629,2019-03-14T01:23:49Z,AIC640,"13.205334,77.698555",0,25,270
1552526645,2019-03-14T01:24:05Z,AIC640,"13.205345,77.696793",0,24,270
1552526655,2019-03-14T01:24:15Z,AIC640,"13.20536,77.695763",0,24,270
1552526677,2019-03-14T01:24:37Z,AIC640,"13.205383,77.693298",0,23,270
1552526688,2019-03-14T01:24:48Z,AIC640,"13.205383,77.692001",0,23,270
1552526694,2019-03-14T01:24:54Z,AIC640,"13.205395,77.691299",0,23,270
1552526703,2019-03-14T01:25:03Z,AIC640,"13.205403,77.690323",0,22,270
1552526719,2019-03-14T01:25:19Z,AIC640,"13.205418,77.688721",0,22,270
1552526739,2019-03-14T01:25:39Z,AIC640,"13.205463,77.686539",0,16,281
1552526747,2019-03-14T01:25:47Z,AIC640,"13.205761,77.686195",0,30,331
1552526757,2019-03-14T01:25:57Z,AIC640,"13.206148,77.686157",0,10,355
1552526840,2019-03-14T01:27:20Z,AIC640,"13.206928,77.686218",0,28,5
1552526963,2019-03-14T01:29:23Z,AIC640,"13.20715,77.688049",0,40,90
1552526976,2019-03-14T01:29:36Z,AIC640,"13.2071,77.692528",0,92,90
1552526982,2019-03-14T01:29:42Z,AIC640,"13.207079,77.695747",0,115,90
1552526988,2019-03-14T01:29:48Z,AIC640,"13.207045,77.699432",0,135,90
1552526995,2019-03-14T01:29:55Z,AIC640,"13.207009,77.703796",0,155,90
1552527003,2019-03-14T01:30:03Z,AIC640,"13.206917,77.711166",2875,175,90
1552527009,2019-03-14T01:30:09Z,AIC640,"13.206894,77.716385",3000,177,90
1552527031,2019-03-14T01:30:31Z,AIC640,"13.207382,77.733574",3900,168,90
1552527037,2019-03-14T01:30:37Z,AIC640,"13.207242,77.738777",4075,172,91
1552527043,2019-03-14T01:30:43Z,AIC640,"13.207056,77.743736",4200,177,92
1552527049,2019-03-14T01:30:49Z,AIC640,"13.206848,77.748726",4300,184,92
1552527061,2019-03-14T01:31:01Z,AIC640,"13.206497,77.760025",4525,200,91
1552527074,2019-03-14T01:31:14Z,AIC640,"13.206345,77.772026",4875,212,90
1552527083,2019-03-14T01:31:23Z,AIC640,"13.206299,77.781448",5250,218,90
1552527095,2019-03-14T01:31:35Z,AIC640,"13.206218,77.794235",5750,224,90
1552527119,2019-03-14T01:31:59Z,AIC640,"13.211243,77.820236",6900,234,67
1552527125,2019-03-14T01:32:05Z,AIC640,"13.214598,77.826279",7225,236,57
1552527135,2019-03-14T01:32:15Z,AIC640,"13.221268,77.833778",7675,241,43
1552527143,2019-03-14T01:32:23Z,AIC640,"13.229588,77.838951",8075,249,26
1552527149,2019-03-14T01:32:29Z,AIC640,"13.23685,77.841171",8325,255,12
1552527156,2019-03-14T01:32:36Z,AIC640,"13.243698,77.84169",8600,260,1
1552527177,2019-03-14T01:32:57Z,AIC640,"13.269058,77.832642",9275,284,331
1552527186,2019-03-14T01:33:06Z,AIC640,"13.280319,77.82634",9650,288,331
1552527198,2019-03-14T01:33:18Z,AIC640,"13.294807,77.818283",10200,292,331
1552527209,2019-03-14T01:33:29Z,AIC640,"13.308975,77.810432",10650,299,331
1552527222,2019-03-14T01:33:42Z,AIC640,"13.324182,77.801949",10925,313,331
1552527235,2019-03-14T01:33:55Z,AIC640,"13.340242,77.792938",11000,331,331
1552527246,2019-03-14T01:34:06Z,AIC640,"13.356768,77.783638",11000,343,331
1552527258,2019-03-14T01:34:18Z,AIC640,"13.374132,77.773903",11000,365,331
1552527270,2019-03-14T01:34:30Z,AIC640,"13.393452,77.763016",10975,371,331
1552527282,2019-03-14T01:34:42Z,AIC640,"13.410676,77.753426",11000,373,331
1552527295,2019-03-14T01:34:55Z,AIC640,"13.430925,77.742149",11000,376,331
1552527306,2019-03-14T01:35:06Z,AIC640,"13.447824,77.732704",11075,375,331
1552527319,2019-03-14T01:35:19Z,AIC640,"13.467655,77.721619",11300,366,331
1552527326,2019-03-14T01:35:26Z,AIC640,"13.475372,77.717331",11400,365,331
1552527383,2019-03-14T01:36:23Z,AIC640,"13.561784,77.669098",12875,374,331
1552527412,2019-03-14T01:36:52Z,AIC640,"13.607666,77.643456",14150,377,331
1552527441,2019-03-14T01:37:21Z,AIC640,"13.653809,77.617699",15150,386,331
1552527512,2019-03-14T01:38:32Z,AIC640,"13.767964,77.553886",17100,414,331
1552527545,2019-03-14T01:39:05Z,AIC640,"13.824829,77.522087",18300,419,331
1552527609,2019-03-14T01:40:09Z,AIC640,"13.934464,77.460716",20500,423,331
