Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552608731,2019-03-15T00:12:11Z,AIC640,"13.20171,77.710823",0,0,271
1552609744,2019-03-15T00:29:04Z,AIC640,"13.201721,77.710823",0,0,109
1552610241,2019-03-15T00:37:21Z,AIC640,"13.201721,77.710762",0,0,47
1552612728,2019-03-15T01:18:48Z,AIC640,"13.201687,77.710777",0,0,180
1552612821,2019-03-15T01:20:21Z,AIC640,"13.201927,77.710762",0,2,165
1552612865,2019-03-15T01:21:05Z,AIC640,"13.202225,77.710678",0,2,222
1552612915,2019-03-15T01:21:55Z,AIC640,"13.202374,77.710823",0,0,71
1552613087,2019-03-15T01:24:47Z,AIC640,"13.202385,77.710632",0,0,180
1552613196,2019-03-15T01:26:36Z,AIC640,"13.202377,77.710632",0,0,180
1552613267,2019-03-15T01:27:47Z,AIC640,"13.202488,77.710381",0,17,298
1552613320,2019-03-15T01:28:40Z,AIC640,"13.202808,77.708031",0,34,270
1552613327,2019-03-15T01:28:47Z,AIC640,"13.202808,77.707565",0,16,270
1552613338,2019-03-15T01:28:58Z,AIC640,"13.20282,77.706581",0,16,272
1552613344,2019-03-15T01:29:04Z,AIC640,"13.20282,77.706192",0,16,270
1552613356,2019-03-15T01:29:16Z,AIC640,"13.202831,77.705132",0,16,270
1552613368,2019-03-15T01:29:28Z,AIC640,"13.202831,77.704178",0,16,270
1552613374,2019-03-15T01:29:34Z,AIC640,"13.202843,77.703743",0,15,270
1552613385,2019-03-15T01:29:45Z,AIC640,"13.202855,77.702965",0,33,270
1552613402,2019-03-15T01:30:02Z,AIC640,"13.202854,77.701851",0,33,270
1552613417,2019-03-15T01:30:17Z,AIC640,"13.202854,77.700829",0,33,270
1552613426,2019-03-15T01:30:26Z,AIC640,"13.202866,77.700211",0,32,270
1552613432,2019-03-15T01:30:32Z,AIC640,"13.202867,77.699852",0,31,270
1552613445,2019-03-15T01:30:45Z,AIC640,"13.202878,77.699097",0,30,270
1552613460,2019-03-15T01:31:00Z,AIC640,"13.202878,77.698181",0,31,270
1552613489,2019-03-15T01:31:29Z,AIC640,"13.202901,77.696312",0,31,270
1552613501,2019-03-15T01:31:41Z,AIC640,"13.202901,77.695625",0,31,270
1552613508,2019-03-15T01:31:48Z,AIC640,"13.202913,77.69519",0,31,270
1552613517,2019-03-15T01:31:57Z,AIC640,"13.202913,77.694557",0,32,270
1552613528,2019-03-15T01:32:08Z,AIC640,"13.202923,77.693832",0,32,272
1552613536,2019-03-15T01:32:16Z,AIC640,"13.20306,77.693466",0,30,303
1552613551,2019-03-15T01:32:31Z,AIC640,"13.203861,77.693321",0,27,351
1552613557,2019-03-15T01:32:37Z,AIC640,"13.204182,77.693321",0,27,351
1552613568,2019-03-15T01:32:48Z,AIC640,"13.204731,77.693336",0,25,1
1552613575,2019-03-15T01:32:55Z,AIC640,"13.205051,77.693321",0,23,354
1552613588,2019-03-15T01:33:08Z,AIC640,"13.20538,77.692978",0,19,286
1552613595,2019-03-15T01:33:15Z,AIC640,"13.205395,77.692757",0,18,275
1552613605,2019-03-15T01:33:25Z,AIC640,"13.205392,77.692444",0,19,270
1552613615,2019-03-15T01:33:35Z,AIC640,"13.205395,77.692154",0,19,270
1552613621,2019-03-15T01:33:41Z,AIC640,"13.205395,77.69194",0,19,270
1552613629,2019-03-15T01:33:49Z,AIC640,"13.205403,77.691628",0,19,270
1552613635,2019-03-15T01:33:55Z,AIC640,"13.205406,77.691391",0,20,270
1552613648,2019-03-15T01:34:08Z,AIC640,"13.205403,77.690948",0,20,270
1552613658,2019-03-15T01:34:18Z,AIC640,"13.205406,77.690552",0,21,270
1552613677,2019-03-15T01:34:37Z,AIC640,"13.205415,77.689819",0,21,272
1552613753,2019-03-15T01:35:53Z,AIC640,"13.205795,77.686218",0,34,329
1552613762,2019-03-15T01:36:02Z,AIC640,"13.206345,77.686172",0,32,356
1552613772,2019-03-15T01:36:12Z,AIC640,"13.206917,77.686348",0,32,36
1552613778,2019-03-15T01:36:18Z,AIC640,"13.207137,77.686798",0,17,73
1552613784,2019-03-15T01:36:24Z,AIC640,"13.207137,77.687424",0,26,90
1552613794,2019-03-15T01:36:34Z,AIC640,"13.207126,77.689293",0,46,90
