Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552699087,2019-03-16T01:18:07Z,AIC640,"13.202362,77.713272",0,9,270
1552699125,2019-03-16T01:18:45Z,AIC640,"13.202366,77.712868",0,9,270
1552699146,2019-03-16T01:19:06Z,AIC640,"13.202366,77.712639",0,2,270
1552699384,2019-03-16T01:23:04Z,AIC640,"13.202377,77.712143",0,14,270
1552699405,2019-03-16T01:23:25Z,AIC640,"13.202385,77.711578",0,18,270
1552699411,2019-03-16T01:23:31Z,AIC640,"13.202377,77.711372",0,19,270
1552699426,2019-03-16T01:23:46Z,AIC640,"13.202389,77.710808",0,22,270
1552699432,2019-03-16T01:23:52Z,AIC640,"13.202385,77.710548",0,22,270
1552699438,2019-03-16T01:23:58Z,AIC640,"13.202385,77.710274",0,23,270
1552699444,2019-03-16T01:24:04Z,AIC640,"13.202389,77.71003",0,24,270
1552699451,2019-03-16T01:24:11Z,AIC640,"13.202385,77.709709",0,25,270
1552699472,2019-03-16T01:24:32Z,AIC640,"13.202408,77.708717",0,23,270
1552699479,2019-03-16T01:24:39Z,AIC640,"13.202401,77.708427",0,24,270
1552699485,2019-03-16T01:24:45Z,AIC640,"13.202401,77.708145",0,25,270
1552699496,2019-03-16T01:24:56Z,AIC640,"13.202408,77.707497",0,28,270
1552699502,2019-03-16T01:25:02Z,AIC640,"13.202413,77.707146",0,29,270
1552699515,2019-03-16T01:25:15Z,AIC640,"13.202419,77.706421",0,31,270
1552699521,2019-03-16T01:25:21Z,AIC640,"13.202419,77.706001",0,31,270
1552699529,2019-03-16T01:25:29Z,AIC640,"13.202431,77.705421",0,32,270
1552699537,2019-03-16T01:25:37Z,AIC640,"13.202435,77.705009",0,32,270
1552699548,2019-03-16T01:25:48Z,AIC640,"13.202377,77.704262",0,33,270
1552699560,2019-03-16T01:26:00Z,AIC640,"13.202389,77.703491",0,29,270
1552699584,2019-03-16T01:26:24Z,AIC640,"13.202401,77.702072",0,29,270
1552699596,2019-03-16T01:26:36Z,AIC640,"13.202465,77.701347",0,30,270
