Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552785008,2019-03-17T01:10:08Z,AIC640,"13.201679,77.709961",0,0,295
1552785050,2019-03-17T01:10:50Z,AIC640,"13.201881,77.709969",0,2,160
1552785085,2019-03-17T01:11:25Z,AIC640,"13.202098,77.709877",0,2,180
1552785114,2019-03-17T01:11:54Z,AIC640,"13.202308,77.709854",0,2,241
1552785158,2019-03-17T01:12:38Z,AIC640,"13.202385,77.71006",0,2,270
1552785239,2019-03-17T01:13:59Z,AIC640,"13.202374,77.71006",0,0,241
1552785399,2019-03-17T01:16:39Z,AIC640,"13.202389,77.709717",0,18,270
1552785406,2019-03-17T01:16:46Z,AIC640,"13.202401,77.709503",0,21,270
1552785412,2019-03-17T01:16:52Z,AIC640,"13.202401,77.709229",0,23,270
1552785418,2019-03-17T01:16:58Z,AIC640,"13.202401,77.708939",0,24,270
1552785424,2019-03-17T01:17:04Z,AIC640,"13.202408,77.708633",0,26,270
1552785430,2019-03-17T01:17:10Z,AIC640,"13.202401,77.708336",0,27,270
1552785437,2019-03-17T01:17:17Z,AIC640,"13.202408,77.708",0,28,270
1552785448,2019-03-17T01:17:28Z,AIC640,"13.202419,77.707306",0,30,270
1552785454,2019-03-17T01:17:34Z,AIC640,"13.202413,77.706924",0,30,270
1552785466,2019-03-17T01:17:46Z,AIC640,"13.202419,77.706169",0,31,270
1552785478,2019-03-17T01:17:58Z,AIC640,"13.202431,77.705544",0,31,270
1552785484,2019-03-17T01:18:04Z,AIC640,"13.202435,77.705132",0,31,270
1552785491,2019-03-17T01:18:11Z,AIC640,"13.202435,77.704651",0,29,270
1552785500,2019-03-17T01:18:20Z,AIC640,"13.202447,77.704239",0,25,275
1552785506,2019-03-17T01:18:26Z,AIC640,"13.20261,77.703987",0,23,317
1552785516,2019-03-17T01:18:36Z,AIC640,"13.202959,77.703888",0,20,357
1552785524,2019-03-17T01:18:44Z,AIC640,"13.203285,77.703903",0,22,2
1552785537,2019-03-17T01:18:57Z,AIC640,"13.203867,77.703903",0,26,2
1552785543,2019-03-17T01:19:03Z,AIC640,"13.20417,77.703911",0,27,2
1552785556,2019-03-17T01:19:16Z,AIC640,"13.204811,77.703918",0,27,2
1552785564,2019-03-17T01:19:24Z,AIC640,"13.205217,77.703735",0,27,315
1552785573,2019-03-17T01:19:33Z,AIC640,"13.205303,77.703316",0,26,270
1552785587,2019-03-17T01:19:47Z,AIC640,"13.205311,77.702621",0,24,270
1552785594,2019-03-17T01:19:54Z,AIC640,"13.205311,77.702263",0,25,270
1552785603,2019-03-17T01:20:03Z,AIC640,"13.205311,77.701881",0,25,270
1552785610,2019-03-17T01:20:10Z,AIC640,"13.205311,77.701538",0,26,270
1552785619,2019-03-17T01:20:19Z,AIC640,"13.205315,77.701103",0,26,270
1552785632,2019-03-17T01:20:32Z,AIC640,"13.205322,77.700363",0,28,270
1552785641,2019-03-17T01:20:41Z,AIC640,"13.205326,77.699814",0,30,270
1552785650,2019-03-17T01:20:50Z,AIC640,"13.205334,77.699272",0,32,270
1552785662,2019-03-17T01:21:02Z,AIC640,"13.205338,77.698463",0,15,270
1552785672,2019-03-17T01:21:12Z,AIC640,"13.205349,77.697624",0,16,270
1552785684,2019-03-17T01:21:24Z,AIC640,"13.205357,77.696754",0,17,270
1552785696,2019-03-17T01:21:36Z,AIC640,"13.205369,77.695732",0,17,270
1552785705,2019-03-17T01:21:45Z,AIC640,"13.205372,77.694992",0,17,270
1552785711,2019-03-17T01:21:51Z,AIC640,"13.20538,77.694443",0,17,270
1552785717,2019-03-17T01:21:57Z,AIC640,"13.205326,77.694031",0,17,270
1552785725,2019-03-17T01:22:05Z,AIC640,"13.205326,77.69342",0,17,270
1552785736,2019-03-17T01:22:16Z,AIC640,"13.205334,77.692444",0,17,270
1552785743,2019-03-17T01:22:23Z,AIC640,"13.205338,77.691818",0,17,270
1552785754,2019-03-17T01:22:34Z,AIC640,"13.205395,77.690849",0,17,270
1552785762,2019-03-17T01:22:42Z,AIC640,"13.205415,77.690193",0,17,270
1552785779,2019-03-17T01:22:59Z,AIC640,"13.205427,77.688782",0,17,270
1552785791,2019-03-17T01:23:11Z,AIC640,"13.205429,77.68782",0,17,270
1552785834,2019-03-17T01:23:54Z,AIC640,"13.206323,77.686157",0,22,299
1552785842,2019-03-17T01:24:02Z,AIC640,"13.206665,77.686188",0,25,5
1552785850,2019-03-17T01:24:10Z,AIC640,"13.20702,77.686302",0,27,30
1552785857,2019-03-17T01:24:17Z,AIC640,"13.207184,77.686653",0,29,78
1552785868,2019-03-17T01:24:28Z,AIC640,"13.20715,77.688118",0,44,90
1552785880,2019-03-17T01:24:40Z,AIC640,"13.207114,77.692398",0,96,90
1552785892,2019-03-17T01:24:52Z,AIC640,"13.207056,77.699593",0,140,90
1552785899,2019-03-17T01:24:59Z,AIC640,"13.207008,77.704453",0,160,90
1552785905,2019-03-17T01:25:05Z,AIC640,"13.20694,77.709328",2875,175,90
1552785912,2019-03-17T01:25:12Z,AIC640,"13.20687,77.714638",3050,175,90
1552785918,2019-03-17T01:25:18Z,AIC640,"13.20687,77.719551",3325,172,90
1552785929,2019-03-17T01:25:29Z,AIC640,"13.206757,77.728889",3875,165,90
1552785936,2019-03-17T01:25:36Z,AIC640,"13.206711,77.733955",4075,169,90
1552785942,2019-03-17T01:25:42Z,AIC640,"13.206665,77.738403",4225,176,90
1552785949,2019-03-17T01:25:49Z,AIC640,"13.206637,77.74456",4350,183,90
1552785961,2019-03-17T01:26:01Z,AIC640,"13.206528,77.755692",4575,199,90
1552785967,2019-03-17T01:26:07Z,AIC640,"13.206482,77.761086",4675,207,90
1552785975,2019-03-17T01:26:15Z,AIC640,"13.206405,77.770432",4950,218,90
1552785981,2019-03-17T01:26:21Z,AIC640,"13.206358,77.775589",5200,221,90
1552785994,2019-03-17T01:26:34Z,AIC640,"13.206253,77.790024",5800,226,90
1552786005,2019-03-17T01:26:45Z,AIC640,"13.206161,77.801765",6525,223,90
1552786027,2019-03-17T01:27:07Z,AIC640,"13.211792,77.824211",7675,220,56
1552786033,2019-03-17T01:27:13Z,AIC640,"13.215866,77.828903",7975,220,44
