Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552875249,2019-03-18T02:14:09Z,AIC640,"13.202191,77.712357",0,2,270
1552875277,2019-03-18T02:14:37Z,AIC640,"13.202316,77.711945",0,20,292
1552875283,2019-03-18T02:14:43Z,AIC640,"13.202602,77.711769",0,26,343
1552875294,2019-03-18T02:14:54Z,AIC640,"13.2033,77.711769",0,15,1
1552875301,2019-03-18T02:15:01Z,AIC640,"13.203797,77.711777",0,16,2
1552875309,2019-03-18T02:15:09Z,AIC640,"13.204554,77.711777",0,18,2
1552875315,2019-03-18T02:15:15Z,AIC640,"13.20496,77.711731",0,30,345
1552875321,2019-03-18T02:15:21Z,AIC640,"13.205171,77.711441",0,30,292
1552875333,2019-03-18T02:15:33Z,AIC640,"13.205217,77.710693",0,29,270
1552875343,2019-03-18T02:15:43Z,AIC640,"13.205229,77.710129",0,30,270
1552875351,2019-03-18T02:15:51Z,AIC640,"13.205246,77.709579",0,33,270
1552875358,2019-03-18T02:15:58Z,AIC640,"13.205246,77.709137",0,34,270
1552875366,2019-03-18T02:16:06Z,AIC640,"13.205257,77.708488",0,16,270
1552875373,2019-03-18T02:16:13Z,AIC640,"13.205257,77.708031",0,16,270
1552875384,2019-03-18T02:16:24Z,AIC640,"13.205269,77.70713",0,18,270
1552875394,2019-03-18T02:16:34Z,AIC640,"13.205276,77.706169",0,19,270
1552875403,2019-03-18T02:16:43Z,AIC640,"13.205276,77.70536",0,19,270
1552875410,2019-03-18T02:16:50Z,AIC640,"13.205287,77.70491",0,19,270
1552875421,2019-03-18T02:17:01Z,AIC640,"13.205287,77.70372",0,18,270
1552875439,2019-03-18T02:17:19Z,AIC640,"13.205303,77.702248",0,17,270
1552875447,2019-03-18T02:17:27Z,AIC640,"13.205311,77.701553",0,16,270
1552875454,2019-03-18T02:17:34Z,AIC640,"13.205315,77.701004",0,16,270
1552875461,2019-03-18T02:17:41Z,AIC640,"13.205315,77.700523",0,16,270
1552875470,2019-03-18T02:17:50Z,AIC640,"13.205326,77.699821",0,15,270
1552875476,2019-03-18T02:17:56Z,AIC640,"13.205326,77.699387",0,15,270
1552875485,2019-03-18T02:18:05Z,AIC640,"13.205334,77.69873",0,15,270
1552875512,2019-03-18T02:18:32Z,AIC640,"13.205349,77.696777",0,15,270
