Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552957648,2019-03-19T01:07:28Z,AIC640,"13.203553,77.710808",0,0,0
1552957711,2019-03-19T01:08:31Z,AIC640,"13.203323,77.7108",0,10,5
1552957731,2019-03-19T01:08:51Z,AIC640,"13.203106,77.710785",0,9,8
1552957750,2019-03-19T01:09:10Z,AIC640,"13.202889,77.710709",0,9,312
1552957898,2019-03-19T01:11:38Z,AIC640,"13.202785,77.710609",0,0,270
1552957981,2019-03-19T01:13:01Z,AIC640,"13.202785,77.71035",0,15,270
1552957994,2019-03-19T01:13:14Z,AIC640,"13.202785,77.709946",0,20,270
1552958001,2019-03-19T01:13:21Z,AIC640,"13.202785,77.709709",0,23,270
1552958008,2019-03-19T01:13:28Z,AIC640,"13.202785,77.709404",0,26,270
1552958033,2019-03-19T01:13:53Z,AIC640,"13.202808,77.707909",0,29,270
1552958041,2019-03-19T01:14:01Z,AIC640,"13.202808,77.707611",0,30,270
1552958047,2019-03-19T01:14:07Z,AIC640,"13.202808,77.707153",0,31,270
1552958058,2019-03-19T01:14:18Z,AIC640,"13.20282,77.706406",0,31,270
1552958064,2019-03-19T01:14:24Z,AIC640,"13.20282,77.706009",0,31,270
1552958073,2019-03-19T01:14:33Z,AIC640,"13.202831,77.705452",0,31,270
1552958081,2019-03-19T01:14:41Z,AIC640,"13.202831,77.704948",0,31,270
1552958088,2019-03-19T01:14:48Z,AIC640,"13.202831,77.704597",0,31,270
1552958094,2019-03-19T01:14:54Z,AIC640,"13.202878,77.704193",0,29,289
1552958102,2019-03-19T01:15:02Z,AIC640,"13.203209,77.703911",0,25,340
1552958111,2019-03-19T01:15:11Z,AIC640,"13.203542,77.703911",0,23,2
1552958121,2019-03-19T01:15:21Z,AIC640,"13.204065,77.703911",0,26,2
1552958132,2019-03-19T01:15:32Z,AIC640,"13.204559,77.703918",0,28,3
1552958140,2019-03-19T01:15:40Z,AIC640,"13.205066,77.703865",0,31,337
1552958148,2019-03-19T01:15:48Z,AIC640,"13.205303,77.703384",0,33,275
1552958157,2019-03-19T01:15:57Z,AIC640,"13.205303,77.702797",0,15,270
1552958165,2019-03-19T01:16:05Z,AIC640,"13.205303,77.702202",0,16,270
1552958171,2019-03-19T01:16:11Z,AIC640,"13.205315,77.701714",0,17,270
1552958178,2019-03-19T01:16:18Z,AIC640,"13.205322,77.700974",0,18,270
1552958185,2019-03-19T01:16:25Z,AIC640,"13.205326,77.700371",0,19,270
1552958191,2019-03-19T01:16:31Z,AIC640,"13.205322,77.699821",0,20,270
1552958199,2019-03-19T01:16:39Z,AIC640,"13.205334,77.699036",0,21,270
1552958218,2019-03-19T01:16:58Z,AIC640,"13.205357,77.696999",0,21,270
1552958234,2019-03-19T01:17:14Z,AIC640,"13.205369,77.695457",0,21,270
1552958240,2019-03-19T01:17:20Z,AIC640,"13.205372,77.694794",0,21,270
1552958252,2019-03-19T01:17:32Z,AIC640,"13.20538,77.693588",0,20,270
1552958258,2019-03-19T01:17:38Z,AIC640,"13.205392,77.693001",0,20,270
1552958265,2019-03-19T01:17:45Z,AIC640,"13.205395,77.692398",0,20,270
1552958271,2019-03-19T01:17:51Z,AIC640,"13.205403,77.691902",0,20,270
1552958277,2019-03-19T01:17:57Z,AIC640,"13.205406,77.691261",0,20,270
1552958294,2019-03-19T01:18:14Z,AIC640,"13.205415,77.690178",0,23,270
1552958361,2019-03-19T01:19:21Z,AIC640,"13.205427,77.688698",0,2,270
