Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553044516,2019-03-20T01:15:16Z,AIC640,"13.201401,77.711433",0,0,246
1553044652,2019-03-20T01:17:32Z,AIC640,"13.201664,77.711449",0,2,168
1553044675,2019-03-20T01:17:55Z,AIC640,"13.20187,77.711433",0,2,168
1553044701,2019-03-20T01:18:21Z,AIC640,"13.202086,77.711403",0,2,177
1553044731,2019-03-20T01:18:51Z,AIC640,"13.202316,77.711365",0,2,241
1553044809,2019-03-20T01:20:09Z,AIC640,"13.202385,77.71106",0,9,270
1553044838,2019-03-20T01:20:38Z,AIC640,"13.202385,77.710777",0,9,270
1553044916,2019-03-20T01:21:56Z,AIC640,"13.202385,77.71064",0,0,316
1553044959,2019-03-20T01:22:39Z,AIC640,"13.202389,77.710434",0,14,270
1553044966,2019-03-20T01:22:46Z,AIC640,"13.202389,77.710205",0,19,270
1553044972,2019-03-20T01:22:52Z,AIC640,"13.202385,77.709991",0,23,270
1553044984,2019-03-20T01:23:04Z,AIC640,"13.202389,77.70919",0,34,270
1553044990,2019-03-20T01:23:10Z,AIC640,"13.202401,77.708717",0,17,270
1553044996,2019-03-20T01:23:16Z,AIC640,"13.202401,77.708199",0,19,270
1553045003,2019-03-20T01:23:23Z,AIC640,"13.202408,77.707611",0,19,270
1553045009,2019-03-20T01:23:29Z,AIC640,"13.202413,77.707169",0,20,270
1553045015,2019-03-20T01:23:35Z,AIC640,"13.202413,77.706444",0,20,270
1553045025,2019-03-20T01:23:45Z,AIC640,"13.202431,77.705414",0,20,270
1553045041,2019-03-20T01:24:01Z,AIC640,"13.202576,77.704025",0,16,303
1553045048,2019-03-20T01:24:08Z,AIC640,"13.203064,77.703911",0,33,348
1553045054,2019-03-20T01:24:14Z,AIC640,"13.203367,77.703926",0,33,2
1553045060,2019-03-20T01:24:20Z,AIC640,"13.203815,77.703934",0,32,4
1553045069,2019-03-20T01:24:29Z,AIC640,"13.204319,77.703934",0,30,4
1553045075,2019-03-20T01:24:35Z,AIC640,"13.204685,77.703934",0,29,4
1553045081,2019-03-20T01:24:41Z,AIC640,"13.204996,77.703903",0,28,343
1553045090,2019-03-20T01:24:50Z,AIC640,"13.205292,77.703506",0,28,286
1553045096,2019-03-20T01:24:56Z,AIC640,"13.205303,77.703209",0,27,267
1553045103,2019-03-20T01:25:03Z,AIC640,"13.205303,77.70285",0,26,270
1553045109,2019-03-20T01:25:09Z,AIC640,"13.205315,77.702522",0,26,270
1553045116,2019-03-20T01:25:16Z,AIC640,"13.205315,77.702217",0,25,270
1553045122,2019-03-20T01:25:22Z,AIC640,"13.205311,77.701912",0,24,270
1553045135,2019-03-20T01:25:35Z,AIC640,"13.205311,77.70118",0,28,272
1553045143,2019-03-20T01:25:43Z,AIC640,"13.205326,77.700783",0,30,272
1553045151,2019-03-20T01:25:51Z,AIC640,"13.205326,77.700226",0,31,270
1553045158,2019-03-20T01:25:58Z,AIC640,"13.205334,77.699844",0,31,270
1553045168,2019-03-20T01:26:08Z,AIC640,"13.205338,77.699265",0,30,270
1553045175,2019-03-20T01:26:15Z,AIC640,"13.205345,77.698761",0,30,270
1553045183,2019-03-20T01:26:23Z,AIC640,"13.205349,77.698257",0,33,270
1553045193,2019-03-20T01:26:33Z,AIC640,"13.205345,77.697563",0,16,270
1553045204,2019-03-20T01:26:44Z,AIC640,"13.20536,77.696663",0,17,270
1553045221,2019-03-20T01:27:01Z,AIC640,"13.205372,77.69519",0,17,270
1553045227,2019-03-20T01:27:07Z,AIC640,"13.205369,77.694641",0,17,270
1553045233,2019-03-20T01:27:13Z,AIC640,"13.20538,77.69413",0,17,270
1553045239,2019-03-20T01:27:19Z,AIC640,"13.20538,77.693695",0,18,270
1553045246,2019-03-20T01:27:26Z,AIC640,"13.205383,77.693085",0,18,270
1553045258,2019-03-20T01:27:38Z,AIC640,"13.205406,77.692055",0,19,272
1553045269,2019-03-20T01:27:49Z,AIC640,"13.205406,77.690811",0,20,270
1553045293,2019-03-20T01:28:13Z,AIC640,"13.205427,77.688545",0,19,270
1553045313,2019-03-20T01:28:33Z,AIC640,"13.205441,77.686859",0,18,270
1553045398,2019-03-20T01:29:58Z,AIC640,"13.206334,77.686172",0,12,324
1553045417,2019-03-20T01:30:17Z,AIC640,"13.206757,77.686211",0,15,11
1553045429,2019-03-20T01:30:29Z,AIC640,"13.206974,77.686371",0,14,42
1553045444,2019-03-20T01:30:44Z,AIC640,"13.20715,77.687157",0,23,87
1553045457,2019-03-20T01:30:57Z,AIC640,"13.207126,77.690216",0,72,90
1553045464,2019-03-20T01:31:04Z,AIC640,"13.2071,77.692657",0,96,90
1553045470,2019-03-20T01:31:10Z,AIC640,"13.207077,77.695786",0,115,90
1553045481,2019-03-20T01:31:21Z,AIC640,"13.207009,77.703506",0,155,90
1553045528,2019-03-20T01:32:08Z,AIC640,"13.207581,77.743332",3925,197,89
1553045549,2019-03-20T01:32:29Z,AIC640,"13.207169,77.764542",4250,225,91
1553045560,2019-03-20T01:32:40Z,AIC640,"13.206777,77.778046",4625,234,91
1553045566,2019-03-20T01:32:46Z,AIC640,"13.206619,77.784431",4925,234,91
1553045573,2019-03-20T01:32:53Z,AIC640,"13.206497,77.791298",5250,232,90
1553045603,2019-03-20T01:33:23Z,AIC640,"13.213015,77.823967",6775,239,55
1553045609,2019-03-20T01:33:29Z,AIC640,"13.21767,77.829124",7125,239,43
1553045616,2019-03-20T01:33:36Z,AIC640,"13.223489,77.833313",7500,239,32
1553045622,2019-03-20T01:33:42Z,AIC640,"13.22937,77.836197",7750,244,23
