Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553130738,2019-03-21T01:12:18Z,AIC640,"13.203552,77.7108",0,0,264
1553130768,2019-03-21T01:12:48Z,AIC640,"13.203343,77.710808",0,2,11
1553130795,2019-03-21T01:13:15Z,AIC640,"13.203106,77.710747",0,2,5
1553130821,2019-03-21T01:13:41Z,AIC640,"13.202889,77.710709",0,2,306
1553130852,2019-03-21T01:14:12Z,AIC640,"13.203129,77.710762",0,2,270
1553130983,2019-03-21T01:16:23Z,AIC640,"13.202774,77.710762",0,12,270
1553130994,2019-03-21T01:16:34Z,AIC640,"13.202773,77.710442",0,19,270
1553131002,2019-03-21T01:16:42Z,AIC640,"13.202773,77.71019",0,23,270
1553131013,2019-03-21T01:16:53Z,AIC640,"13.202785,77.709564",0,29,270
1553131026,2019-03-21T01:17:06Z,AIC640,"13.202785,77.708755",0,15,270
1553131040,2019-03-21T01:17:20Z,AIC640,"13.202808,77.707458",0,19,270
1553131047,2019-03-21T01:17:27Z,AIC640,"13.202808,77.706924",0,19,270
1553131056,2019-03-21T01:17:36Z,AIC640,"13.20282,77.706062",0,20,270
1553131067,2019-03-21T01:17:47Z,AIC640,"13.20282,77.704903",0,20,270
1553131074,2019-03-21T01:17:54Z,AIC640,"13.202831,77.704369",0,17,272
1553131080,2019-03-21T01:18:00Z,AIC640,"13.203014,77.703979",0,16,309
1553131086,2019-03-21T01:18:06Z,AIC640,"13.203495,77.703911",0,34,353
1553131092,2019-03-21T01:18:12Z,AIC640,"13.203891,77.703911",0,34,2
1553131104,2019-03-21T01:18:24Z,AIC640,"13.20472,77.703934",0,33,2
1553131110,2019-03-21T01:18:30Z,AIC640,"13.205148,77.703819",0,34,329
1553131122,2019-03-21T01:18:42Z,AIC640,"13.205303,77.703041",0,33,270
1553131131,2019-03-21T01:18:51Z,AIC640,"13.205303,77.7024",0,34,270
1553131144,2019-03-21T01:19:04Z,AIC640,"13.205311,77.701363",0,20,270
1553131155,2019-03-21T01:19:15Z,AIC640,"13.205326,77.700272",0,24,270
1553131164,2019-03-21T01:19:24Z,AIC640,"13.205334,77.699135",0,26,270
1553131172,2019-03-21T01:19:32Z,AIC640,"13.205334,77.698166",0,25,270
1553131183,2019-03-21T01:19:43Z,AIC640,"13.205357,77.696793",0,25,270
1553131199,2019-03-21T01:19:59Z,AIC640,"13.20536,77.694901",0,24,270
1553131213,2019-03-21T01:20:13Z,AIC640,"13.205383,77.693161",0,24,270
1553131219,2019-03-21T01:20:19Z,AIC640,"13.205392,77.692497",0,24,270
