Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553217157,2019-03-22T01:12:37Z,AIC640,"13.20179,77.713318",0,9,182
1553217173,2019-03-22T01:12:53Z,AIC640,"13.201996,77.713364",0,9,180
1553217197,2019-03-22T01:13:17Z,AIC640,"13.202248,77.713333",0,9,230
1553217309,2019-03-22T01:15:09Z,AIC640,"13.202377,77.712837",0,2,270
1553217347,2019-03-22T01:15:47Z,AIC640,"13.202366,77.712601",0,2,270
1553217532,2019-03-22T01:18:52Z,AIC640,"13.202374,77.712311",0,14,270
1553217543,2019-03-22T01:19:03Z,AIC640,"13.202374,77.71196",0,19,270
1553217551,2019-03-22T01:19:11Z,AIC640,"13.202377,77.711723",0,22,270
1553217571,2019-03-22T01:19:31Z,AIC640,"13.202389,77.710602",0,31,270
1553217578,2019-03-22T01:19:38Z,AIC640,"13.202389,77.710175",0,34,270
1553217592,2019-03-22T01:19:52Z,AIC640,"13.202389,77.708961",0,18,270
1553217599,2019-03-22T01:19:59Z,AIC640,"13.202401,77.708397",0,18,270
1553217609,2019-03-22T01:20:09Z,AIC640,"13.202408,77.707565",0,19,270
1553217618,2019-03-22T01:20:18Z,AIC640,"13.202419,77.706703",0,19,270
1553217635,2019-03-22T01:20:35Z,AIC640,"13.202419,77.704994",0,18,270
1553217645,2019-03-22T01:20:45Z,AIC640,"13.202442,77.704308",0,33,278
1553217653,2019-03-22T01:20:53Z,AIC640,"13.202728,77.703941",0,28,329
1553217661,2019-03-22T01:21:01Z,AIC640,"13.203006,77.703903",0,26,357
1553217668,2019-03-22T01:21:08Z,AIC640,"13.203402,77.703903",0,24,357
1553217675,2019-03-22T01:21:15Z,AIC640,"13.203781,77.703911",0,24,3
1553217682,2019-03-22T01:21:22Z,AIC640,"13.204056,77.703911",0,25,3
1553217693,2019-03-22T01:21:33Z,AIC640,"13.204636,77.703911",0,25,3
1553217701,2019-03-22T01:21:41Z,AIC640,"13.204938,77.703888",0,25,348
1553217708,2019-03-22T01:21:48Z,AIC640,"13.205206,77.703682",0,26,309
1553217715,2019-03-22T01:21:55Z,AIC640,"13.205298,77.703308",0,27,272
1553217721,2019-03-22T01:22:01Z,AIC640,"13.205311,77.702965",0,28,270
1553217731,2019-03-22T01:22:11Z,AIC640,"13.205311,77.702408",0,29,270
1553217737,2019-03-22T01:22:17Z,AIC640,"13.205315,77.702003",0,31,270
1553217745,2019-03-22T01:22:25Z,AIC640,"13.205311,77.701477",0,33,270
1553217751,2019-03-22T01:22:31Z,AIC640,"13.205322,77.700996",0,15,270
1553217763,2019-03-22T01:22:43Z,AIC640,"13.205334,77.700134",0,16,272
1553217770,2019-03-22T01:22:50Z,AIC640,"13.205326,77.699669",0,17,270
1553217778,2019-03-22T01:22:58Z,AIC640,"13.205338,77.698898",0,16,270
1553217806,2019-03-22T01:23:26Z,AIC640,"13.205357,77.696815",0,34,270
1553217819,2019-03-22T01:23:39Z,AIC640,"13.205369,77.695961",0,34,270
1553217831,2019-03-22T01:23:51Z,AIC640,"13.20536,77.695244",0,27,270
1553217839,2019-03-22T01:23:59Z,AIC640,"13.205369,77.694832",0,24,270
1553217846,2019-03-22T01:24:06Z,AIC640,"13.205369,77.69458",0,21,272
1553217859,2019-03-22T01:24:19Z,AIC640,"13.205578,77.694221",0,17,315
1553217867,2019-03-22T01:24:27Z,AIC640,"13.205822,77.694183",0,15,351
