Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551879631,2019-03-06T13:40:31Z,IGO566,"13.201595,77.709587",0,0,180
1551880249,2019-03-06T13:50:49Z,IGO566,"13.201595,77.709579",0,0,38
1551880985,2019-03-06T14:03:05Z,IGO566,"13.201889,77.709572",0,9,199
1551881009,2019-03-06T14:03:29Z,IGO566,"13.20211,77.709671",0,2,180
1551881036,2019-03-06T14:03:56Z,IGO566,"13.202319,77.709694",0,2,115
1551881111,2019-03-06T14:05:11Z,IGO566,"13.202385,77.709579",0,0,266
1551881302,2019-03-06T14:08:22Z,IGO566,"13.202377,77.709839",0,15,90
1551881308,2019-03-06T14:08:28Z,IGO566,"13.202377,77.71006",0,18,90
1551881322,2019-03-06T14:08:42Z,IGO566,"13.202377,77.710487",0,21,90
1551881329,2019-03-06T14:08:49Z,IGO566,"13.202374,77.710846",0,24,90
1551881336,2019-03-06T14:08:56Z,IGO566,"13.202374,77.711128",0,20,90
1551881346,2019-03-06T14:09:06Z,IGO566,"13.202419,77.711494",0,24,73
1551881352,2019-03-06T14:09:12Z,IGO566,"13.202634,77.711708",0,23,33
1551881361,2019-03-06T14:09:21Z,IGO566,"13.202991,77.711769",0,25,2
1551881371,2019-03-06T14:09:31Z,IGO566,"13.203392,77.711769",0,13,2
1551881381,2019-03-06T14:09:41Z,IGO566,"13.2036,77.711769",0,14,2
1551881399,2019-03-06T14:09:59Z,IGO566,"13.204041,77.711769",0,19,2
1551881405,2019-03-06T14:10:05Z,IGO566,"13.204285,77.711769",0,22,2
1551881411,2019-03-06T14:10:11Z,IGO566,"13.204514,77.711777",0,20,3
1551881422,2019-03-06T14:10:22Z,IGO566,"13.204903,77.711777",0,21,3
1551881429,2019-03-06T14:10:29Z,IGO566,"13.205124,77.711777",0,16,3
1551881441,2019-03-06T14:10:41Z,IGO566,"13.205392,77.711777",0,15,3
1551881454,2019-03-06T14:10:54Z,IGO566,"13.205738,77.711777",0,12,3
1551881813,2019-03-06T14:16:53Z,IGO566,"13.205962,77.711777",0,2,180
1551881824,2019-03-06T14:17:04Z,IGO566,"13.206173,77.711792",0,19,11
1551881831,2019-03-06T14:17:11Z,IGO566,"13.20639,77.711777",0,21,354
1551881837,2019-03-06T14:17:17Z,IGO566,"13.206631,77.7117",0,21,337
1551881846,2019-03-06T14:17:26Z,IGO566,"13.206859,77.711479",0,17,309
1551881858,2019-03-06T14:17:38Z,IGO566,"13.206951,77.711166",0,20,278
1551881864,2019-03-06T14:17:44Z,IGO566,"13.206951,77.710838",0,29,272
1551881870,2019-03-06T14:17:50Z,IGO566,"13.206963,77.710152",0,26,270
1551881876,2019-03-06T14:17:56Z,IGO566,"13.206963,77.708847",0,55,270
1551881886,2019-03-06T14:18:06Z,IGO566,"13.207008,77.704559",0,100,270
1551881894,2019-03-06T14:18:14Z,IGO566,"13.207054,77.699501",0,135,270
1551881907,2019-03-06T14:18:27Z,IGO566,"13.207056,77.69059",3175,162,269
1551881913,2019-03-06T14:18:33Z,IGO566,"13.207009,77.685722",3425,160,268
1551881919,2019-03-06T14:18:39Z,IGO566,"13.20687,77.681053",3675,159,267
1551881926,2019-03-06T14:18:46Z,IGO566,"13.206757,77.676987",3950,157,268
1551881950,2019-03-06T14:19:10Z,IGO566,"13.209803,77.658447",4500,176,282
1551881959,2019-03-06T14:19:19Z,IGO566,"13.211898,77.649826",4725,191,284
1551881974,2019-03-06T14:19:34Z,IGO566,"13.215546,77.636169",5025,211,285
1551881986,2019-03-06T14:19:46Z,IGO566,"13.218973,77.623512",5325,229,285
1551881998,2019-03-06T14:19:58Z,IGO566,"13.222325,77.610603",5725,241,284
1551882011,2019-03-06T14:20:11Z,IGO566,"13.22699,77.595818",6200,251,292
1551882019,2019-03-06T14:20:19Z,IGO566,"13.232666,77.58725",6600,254,308
1551882025,2019-03-06T14:20:25Z,IGO566,"13.238113,77.582138",6875,257,319
1551882031,2019-03-06T14:20:31Z,IGO566,"13.243833,77.578461",7125,260,328
1551882038,2019-03-06T14:20:38Z,IGO566,"13.252072,77.575424",7425,262,341
1551882045,2019-03-06T14:20:45Z,IGO566,"13.258403,77.574463",7700,264,351
1551882065,2019-03-06T14:21:05Z,IGO566,"13.283867,77.579376",8825,266,15
1551882071,2019-03-06T14:21:11Z,IGO566,"13.291595,77.581543",9025,271,15
1551882089,2019-03-06T14:21:29Z,IGO566,"13.314219,77.58728",9450,293,13
1551882102,2019-03-06T14:21:42Z,IGO566,"13.332189,77.591522",9725,306,13
1551882114,2019-03-06T14:21:54Z,IGO566,"13.348807,77.595375",10000,325,12
1551882129,2019-03-06T14:22:09Z,IGO566,"13.373759,77.601158",10375,343,12
1551882140,2019-03-06T14:22:20Z,IGO566,"13.390053,77.604919",10550,356,12
1551882157,2019-03-06T14:22:37Z,IGO566,"13.417612,77.611519",10925,371,13
1551882168,2019-03-06T14:22:48Z,IGO566,"13.43779,77.616371",11225,379,13
1551882180,2019-03-06T14:23:00Z,IGO566,"13.458435,77.621391",11500,381,13
1551882199,2019-03-06T14:23:19Z,IGO566,"13.491486,77.629158",12125,386,12
1551882231,2019-03-06T14:23:51Z,IGO566,"13.549576,77.620728",13925,382,335
1551882237,2019-03-06T14:23:57Z,IGO566,"13.557408,77.616676",14300,379,333
1551882275,2019-03-06T14:24:35Z,IGO566,"13.614388,77.587524",15625,390,333
1551882308,2019-03-06T14:25:08Z,IGO566,"13.667679,77.560875",17525,380,333
1551882337,2019-03-06T14:25:37Z,IGO566,"13.715965,77.536591",18650,384,333
1551882400,2019-03-06T14:26:40Z,IGO566,"13.821639,77.483055",20350,409,333
1551882462,2019-03-06T14:27:42Z,IGO566,"13.930758,77.427689",22125,424,333
1551882524,2019-03-06T14:28:44Z,IGO566,"14.035309,77.374626",23900,430,333
1551882588,2019-03-06T14:29:48Z,IGO566,"14.15007,77.31633",26175,423,333
1551882647,2019-03-06T14:30:47Z,IGO566,"14.255785,77.262558",27600,431,333
1551882712,2019-03-06T14:31:52Z,IGO566,"14.371994,77.203438",28975,439,333
1551882774,2019-03-06T14:32:54Z,IGO566,"14.487988,77.144264",30350,443,333
1551882807,2019-03-06T14:33:27Z,IGO566,"14.547668,77.108315",31000,446,323
1551882814,2019-03-06T14:33:34Z,IGO566,"14.556519,77.101242",31125,446,322
1551882873,2019-03-06T14:34:33Z,IGO566,"14.656952,77.021454",32425,448,322
1551882913,2019-03-06T14:35:13Z,IGO566,"14.72081,76.971207",33275,445,322
1551883005,2019-03-06T14:36:45Z,IGO566,"14.86702,76.855919",35350,433,322
1551883065,2019-03-06T14:37:45Z,IGO566,"14.964497,76.77874",36000,434,322
1551883130,2019-03-06T14:38:50Z,IGO566,"15.069031,76.696037",36000,432,322
1551883187,2019-03-06T14:39:47Z,IGO566,"15.160034,76.623856",36000,433,322
