Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551974452,2019-03-07T16:00:52Z,IGO566,"13.202454,77.701149",0,0,90
1551974668,2019-03-07T16:04:28Z,IGO566,"13.202459,77.701454",0,18,90
1551974685,2019-03-07T16:04:45Z,IGO566,"13.202447,77.702141",0,25,92
1551974694,2019-03-07T16:04:54Z,IGO566,"13.202447,77.70253",0,23,92
1551974703,2019-03-07T16:05:03Z,IGO566,"13.202435,77.703033",0,29,90
1551974712,2019-03-07T16:05:12Z,IGO566,"13.202435,77.703621",0,34,90
1551974718,2019-03-07T16:05:18Z,IGO566,"13.202431,77.703987",0,31,90
1551974728,2019-03-07T16:05:28Z,IGO566,"13.202431,77.70462",0,29,90
1551974743,2019-03-07T16:05:43Z,IGO566,"13.202419,77.70565",0,16,90
1551974749,2019-03-07T16:05:49Z,IGO566,"13.202419,77.706108",0,33,90
1551974756,2019-03-07T16:05:56Z,IGO566,"13.202408,77.706406",0,25,92
1551974767,2019-03-07T16:06:07Z,IGO566,"13.202408,77.707047",0,28,90
1551974774,2019-03-07T16:06:14Z,IGO566,"13.202401,77.707397",0,31,90
1551974788,2019-03-07T16:06:28Z,IGO566,"13.202401,77.708488",0,16,90
1551974795,2019-03-07T16:06:35Z,IGO566,"13.202396,77.709023",0,18,90
1551974807,2019-03-07T16:06:47Z,IGO566,"13.202374,77.710014",0,17,90
1551974819,2019-03-07T16:06:59Z,IGO566,"13.202377,77.710892",0,30,90
1551974830,2019-03-07T16:07:10Z,IGO566,"13.202389,77.711403",0,26,84
1551974837,2019-03-07T16:07:17Z,IGO566,"13.202637,77.711731",0,25,33
1551974843,2019-03-07T16:07:23Z,IGO566,"13.202948,77.711769",0,30,6
1551974852,2019-03-07T16:07:32Z,IGO566,"13.203484,77.711769",0,28,6
1551974859,2019-03-07T16:07:39Z,IGO566,"13.203797,77.711769",0,26,6
1551974865,2019-03-07T16:07:45Z,IGO566,"13.204135,77.711769",0,27,6
1551974877,2019-03-07T16:07:57Z,IGO566,"13.204728,77.711777",0,25,6
1551974883,2019-03-07T16:08:03Z,IGO566,"13.204971,77.711815",0,21,16
1551974892,2019-03-07T16:08:12Z,IGO566,"13.205212,77.712135",0,24,73
1551974899,2019-03-07T16:08:19Z,IGO566,"13.2052,77.712395",0,26,92
1551974908,2019-03-07T16:08:28Z,IGO566,"13.205212,77.712944",0,30,90
1551974916,2019-03-07T16:08:36Z,IGO566,"13.2052,77.713577",0,15,90
1551974923,2019-03-07T16:08:43Z,IGO566,"13.2052,77.71402",0,17,90
1551974932,2019-03-07T16:08:52Z,IGO566,"13.205189,77.714943",0,19,90
1551974940,2019-03-07T16:09:00Z,IGO566,"13.205182,77.715813",0,22,90
1551974952,2019-03-07T16:09:12Z,IGO566,"13.205177,77.716743",0,29,90
1551974959,2019-03-07T16:09:19Z,IGO566,"13.205171,77.717125",0,29,90
1551974971,2019-03-07T16:09:31Z,IGO566,"13.205166,77.717911",0,15,90
1551974988,2019-03-07T16:09:48Z,IGO566,"13.205159,77.718559",0,13,90
1551975087,2019-03-07T16:11:27Z,IGO566,"13.205143,77.719093",0,19,90
1551975098,2019-03-07T16:11:38Z,IGO566,"13.205159,77.719536",0,21,90
1551975105,2019-03-07T16:11:45Z,IGO566,"13.205154,77.719749",0,14,90
1551975213,2019-03-07T16:13:33Z,IGO566,"13.205148,77.720032",0,17,90
1551975225,2019-03-07T16:13:45Z,IGO566,"13.205143,77.720375",0,15,90
1551975238,2019-03-07T16:13:58Z,IGO566,"13.205143,77.720695",0,18,90
1551975247,2019-03-07T16:14:07Z,IGO566,"13.205143,77.720978",0,18,90
1551975256,2019-03-07T16:14:16Z,IGO566,"13.205135,77.721245",0,12,90
1551975427,2019-03-07T16:17:07Z,IGO566,"13.205132,77.721428",0,15,90
1551975439,2019-03-07T16:17:19Z,IGO566,"13.205135,77.721779",0,20,92
1551975763,2019-03-07T16:22:43Z,IGO566,"13.205132,77.722221",0,15,90
1551975772,2019-03-07T16:22:52Z,IGO566,"13.205159,77.722466",0,21,78
1551975785,2019-03-07T16:23:05Z,IGO566,"13.205463,77.722794",0,17,33
1551975794,2019-03-07T16:23:14Z,IGO566,"13.205692,77.722839",0,14,8
1551975926,2019-03-07T16:25:26Z,IGO566,"13.206036,77.722839",0,20,2
1551975936,2019-03-07T16:25:36Z,IGO566,"13.20639,77.722794",0,21,345
1551975943,2019-03-07T16:25:43Z,IGO566,"13.206649,77.722649",0,21,326
1551975954,2019-03-07T16:25:54Z,IGO566,"13.206823,77.722404",0,14,303
1551975989,2019-03-07T16:26:29Z,IGO566,"13.206848,77.721489",0,31,270
1551976006,2019-03-07T16:26:46Z,IGO566,"13.206893,77.716827",0,90,270
1551976012,2019-03-07T16:26:52Z,IGO566,"13.206917,77.713646",0,110,270
1551976019,2019-03-07T16:26:59Z,IGO566,"13.206951,77.709778",0,135,270
