Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552055841,2019-03-08T14:37:21Z,IGO566,"13.201996,77.701927",0,9,196
1552055871,2019-03-08T14:37:51Z,IGO566,"13.202308,77.702049",0,2,143
1552055951,2019-03-08T14:39:11Z,IGO566,"13.202454,77.701897",0,0,232
1552056231,2019-03-08T14:43:51Z,IGO566,"13.202459,77.701904",0,0,124
1552056275,2019-03-08T14:44:35Z,IGO566,"13.202447,77.702675",0,22,90
1552056284,2019-03-08T14:44:44Z,IGO566,"13.202459,77.703056",0,22,90
1552056297,2019-03-08T14:44:57Z,IGO566,"13.202465,77.703575",0,20,87
1552056305,2019-03-08T14:45:05Z,IGO566,"13.202602,77.703835",0,21,50
1552056315,2019-03-08T14:45:15Z,IGO566,"13.202913,77.703941",0,22,5
1552056323,2019-03-08T14:45:23Z,IGO566,"13.203243,77.703918",0,20,359
1552056329,2019-03-08T14:45:29Z,IGO566,"13.203484,77.703926",0,20,2
1552056337,2019-03-08T14:45:37Z,IGO566,"13.203704,77.703911",0,20,353
1552056349,2019-03-08T14:45:49Z,IGO566,"13.204193,77.703918",0,21,2
1552056356,2019-03-08T14:45:56Z,IGO566,"13.204502,77.703934",0,20,4
1552056372,2019-03-08T14:46:12Z,IGO566,"13.205063,77.703979",0,21,14
1552056381,2019-03-08T14:46:21Z,IGO566,"13.205276,77.704262",0,25,73
1552056388,2019-03-08T14:46:28Z,IGO566,"13.205287,77.704628",0,28,90
1552056400,2019-03-08T14:46:40Z,IGO566,"13.205276,77.705429",0,15,90
1552056407,2019-03-08T14:46:47Z,IGO566,"13.205276,77.705902",0,17,90
1552056418,2019-03-08T14:46:58Z,IGO566,"13.205269,77.707031",0,18,90
1552056436,2019-03-08T14:47:16Z,IGO566,"13.205257,77.708611",0,20,90
1552056446,2019-03-08T14:47:26Z,IGO566,"13.205246,77.709511",0,18,90
1552056453,2019-03-08T14:47:33Z,IGO566,"13.205246,77.710052",0,18,90
1552056459,2019-03-08T14:47:39Z,IGO566,"13.20524,77.710579",0,20,90
1552056468,2019-03-08T14:47:48Z,IGO566,"13.205229,77.711464",0,20,90
1552056480,2019-03-08T14:48:00Z,IGO566,"13.205229,77.712212",0,27,90
1552056491,2019-03-08T14:48:11Z,IGO566,"13.205217,77.713043",0,15,90
1552056507,2019-03-08T14:48:27Z,IGO566,"13.2052,77.714279",0,19,90
1552056521,2019-03-08T14:48:41Z,IGO566,"13.205189,77.715782",0,17,90
1552056528,2019-03-08T14:48:48Z,IGO566,"13.205182,77.716141",0,30,92
1552056534,2019-03-08T14:48:54Z,IGO566,"13.205189,77.716476",0,28,90
1552056540,2019-03-08T14:49:00Z,IGO566,"13.205182,77.71685",0,31,90
1552056556,2019-03-08T14:49:16Z,IGO566,"13.205166,77.71785",0,30,90
1552056568,2019-03-08T14:49:28Z,IGO566,"13.205159,77.718819",0,16,90
1552056576,2019-03-08T14:49:36Z,IGO566,"13.205159,77.719368",0,17,90
1552056582,2019-03-08T14:49:42Z,IGO566,"13.205159,77.719818",0,33,90
1552056595,2019-03-08T14:49:55Z,IGO566,"13.205148,77.720505",0,22,90
1552056606,2019-03-08T14:50:06Z,IGO566,"13.205148,77.720993",0,28,90
1552056612,2019-03-08T14:50:12Z,IGO566,"13.205135,77.721428",0,28,90
1552056618,2019-03-08T14:50:18Z,IGO566,"13.205135,77.721718",0,22,90
1552056630,2019-03-08T14:50:30Z,IGO566,"13.205135,77.722023",0,10,90
1552056755,2019-03-08T14:52:35Z,IGO566,"13.205132,77.722244",0,16,90
1552056768,2019-03-08T14:52:48Z,IGO566,"13.205194,77.722588",0,20,67
1552056777,2019-03-08T14:52:57Z,IGO566,"13.205441,77.722801",0,17,30
1552056790,2019-03-08T14:53:10Z,IGO566,"13.205647,77.722839",0,12,11
1552056801,2019-03-08T14:53:21Z,IGO566,"13.205898,77.722839",0,22,2
1552056816,2019-03-08T14:53:36Z,IGO566,"13.206497,77.722778",0,23,343
1552056825,2019-03-08T14:53:45Z,IGO566,"13.206722,77.722565",0,19,309
1552056842,2019-03-08T14:54:02Z,IGO566,"13.206848,77.722107",0,9,275
1552056886,2019-03-08T14:54:46Z,IGO566,"13.20687,77.721176",0,29,270
1552056892,2019-03-08T14:54:52Z,IGO566,"13.206882,77.719788",0,59,270
1552056899,2019-03-08T14:54:59Z,IGO566,"13.206904,77.717659",0,82,270
1552056905,2019-03-08T14:55:05Z,IGO566,"13.206917,77.714455",0,110,270
1552056911,2019-03-08T14:55:11Z,IGO566,"13.206963,77.710907",0,130,270
1552056917,2019-03-08T14:55:17Z,IGO566,"13.206998,77.705757",0,155,270
1552056926,2019-03-08T14:55:26Z,IGO566,"13.207056,77.69912",3150,166,270
1552056947,2019-03-08T14:55:47Z,IGO566,"13.206497,77.682884",3975,161,270
1552056959,2019-03-08T14:55:59Z,IGO566,"13.207848,77.67411",4325,164,283
1552056968,2019-03-08T14:56:08Z,IGO566,"13.209896,77.666687",4550,172,285
1552056975,2019-03-08T14:56:15Z,IGO566,"13.211334,77.661453",4675,179,285
1552056986,2019-03-08T14:56:26Z,IGO566,"13.213945,77.651703",4950,195,285
1552057010,2019-03-08T14:56:50Z,IGO566,"13.219672,77.628769",5400,217,284
1552057023,2019-03-08T14:57:03Z,IGO566,"13.223282,77.612823",5725,254,282
1552057034,2019-03-08T14:57:14Z,IGO566,"13.226888,77.599037",6025,268,287
1552057043,2019-03-08T14:57:23Z,IGO566,"13.232574,77.58815",6375,275,304
1552057050,2019-03-08T14:57:30Z,IGO566,"13.23806,77.582367",6625,276,316
1552057059,2019-03-08T14:57:39Z,IGO566,"13.247818,77.576736",7075,277,336
1552057065,2019-03-08T14:57:45Z,IGO566,"13.255554,77.574745",7400,278,347
1552057071,2019-03-08T14:57:51Z,IGO566,"13.263757,77.574318",7675,279,358
1552057093,2019-03-08T14:58:13Z,IGO566,"13.290384,77.581207",8650,286,18
1552057101,2019-03-08T14:58:21Z,IGO566,"13.302429,77.585213",8900,291,17
1552057112,2019-03-08T14:58:32Z,IGO566,"13.315933,77.589142",9125,291,15
1552057125,2019-03-08T14:58:45Z,IGO566,"13.334015,77.593597",9450,296,12
1552057136,2019-03-08T14:58:56Z,IGO566,"13.349213,77.596954",9725,300,11
1552057147,2019-03-08T14:59:07Z,IGO566,"13.364309,77.600143",9925,302,11
1552057165,2019-03-08T14:59:25Z,IGO566,"13.387539,77.605156",10350,307,12
1552057175,2019-03-08T14:59:35Z,IGO566,"13.401877,77.608337",10575,320,12
1552057188,2019-03-08T14:59:48Z,IGO566,"13.423553,77.613342",10875,339,12
1552057208,2019-03-08T15:00:08Z,IGO566,"13.451921,77.620094",11325,357,13
1552057218,2019-03-08T15:00:18Z,IGO566,"13.470245,77.624565",11800,360,13
1552057232,2019-03-08T15:00:32Z,IGO566,"13.492142,77.629921",12300,367,13
1552057267,2019-03-08T15:01:07Z,IGO566,"13.55266,77.623466",13250,361,334
1552057324,2019-03-08T15:02:04Z,IGO566,"13.636873,77.580002",14275,359,333
1552057356,2019-03-08T15:02:36Z,IGO566,"13.685257,77.555473",15600,364,333
1552057391,2019-03-08T15:03:11Z,IGO566,"13.736847,77.529289",16925,373,333
1552057424,2019-03-08T15:03:44Z,IGO566,"13.789948,77.502197",18000,387,333
1552057483,2019-03-08T15:04:43Z,IGO566,"13.888488,77.451782",19825,406,333
1552057546,2019-03-08T15:05:46Z,IGO566,"13.99704,77.396317",21850,418,333
1552057602,2019-03-08T15:06:42Z,IGO566,"14.08992,77.341713",23375,430,323
1552057661,2019-03-08T15:07:41Z,IGO566,"14.189448,77.268196",24725,450,324
1552057725,2019-03-08T15:08:45Z,IGO566,"14.299498,77.187386",26450,459,324
1552057789,2019-03-08T15:09:49Z,IGO566,"14.408802,77.106918",28225,457,324
1552057847,2019-03-08T15:10:47Z,IGO566,"14.509094,77.032913",29725,456,324
1552057913,2019-03-08T15:11:53Z,IGO566,"14.623398,76.948761",30000,460,324
1552057975,2019-03-08T15:12:55Z,IGO566,"14.73206,76.868256",30000,461,324
1552058035,2019-03-08T15:13:55Z,IGO566,"14.837687,76.78997",30975,465,324
1552058099,2019-03-08T15:14:59Z,IGO566,"14.950252,76.706688",32200,467,324
1552058162,2019-03-08T15:16:02Z,IGO566,"15.058858,76.626205",33625,462,324
1552058223,2019-03-08T15:17:03Z,IGO566,"15.165344,76.547096",35100,451,324
1552058286,2019-03-08T15:18:06Z,IGO566,"15.271043,76.468521",36000,454,324
1552058348,2019-03-08T15:19:08Z,IGO566,"15.378983,76.388084",36000,456,324
1552058410,2019-03-08T15:20:10Z,IGO566,"15.481459,76.311768",36000,454,324
1552058473,2019-03-08T15:21:13Z,IGO566,"15.590469,76.23037",36000,454,324
1552058535,2019-03-08T15:22:15Z,IGO566,"15.698822,76.149376",36000,454,324
1552058596,2019-03-08T15:23:16Z,IGO566,"15.800993,76.072868",36025,454,324
1552058660,2019-03-08T15:24:20Z,IGO566,"15.910995,75.990311",36000,455,323
1552058723,2019-03-08T15:25:23Z,IGO566,"16.018387,75.909744",36000,455,324
1552058787,2019-03-08T15:26:27Z,IGO566,"16.126373,75.828506",36000,455,324
1552058846,2019-03-08T15:27:26Z,IGO566,"16.227411,75.752495",36000,453,324
1552058912,2019-03-08T15:28:32Z,IGO566,"16.336948,75.669907",36000,453,323
1552058975,2019-03-08T15:29:35Z,IGO566,"16.444532,75.58873",36000,451,323
1552059036,2019-03-08T15:30:36Z,IGO566,"16.551315,75.507927",35975,452,323
1552059101,2019-03-08T15:31:41Z,IGO566,"16.647583,75.411797",36025,448,310
1552059164,2019-03-08T15:32:44Z,IGO566,"16.731199,75.301567",36025,446,308
1552059229,2019-03-08T15:33:49Z,IGO566,"16.812016,75.194847",36000,445,308
1552059289,2019-03-08T15:34:49Z,IGO566,"16.887848,75.094299",36000,444,308
1552059351,2019-03-08T15:35:51Z,IGO566,"16.968384,74.987427",36000,441,308
1552059415,2019-03-08T15:36:55Z,IGO566,"17.047802,74.88208",35975,440,307
1552059479,2019-03-08T15:37:59Z,IGO566,"17.127777,74.775696",35975,439,307
1552059539,2019-03-08T15:38:59Z,IGO566,"17.2031,74.675003",36000,438,307
