Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552144739,2019-03-09T15:18:59Z,IGO566,"13.201687,77.704666",0,0,180
1552144784,2019-03-09T15:19:44Z,IGO566,"13.201923,77.704659",0,9,168
1552144805,2019-03-09T15:20:05Z,IGO566,"13.202156,77.704575",0,9,177
1552144829,2019-03-09T15:20:29Z,IGO566,"13.202377,77.704552",0,9,244
1552144956,2019-03-09T15:22:36Z,IGO566,"13.202447,77.704399",0,13,270
1552144970,2019-03-09T15:22:50Z,IGO566,"13.202447,77.70401",0,16,270
1552144989,2019-03-09T15:23:09Z,IGO566,"13.202459,77.703491",0,16,270
1552144998,2019-03-09T15:23:18Z,IGO566,"13.202465,77.703224",0,18,270
1552145005,2019-03-09T15:23:25Z,IGO566,"13.202465,77.702988",0,22,270
1552145011,2019-03-09T15:23:31Z,IGO566,"13.202459,77.702675",0,26,270
1552145018,2019-03-09T15:23:38Z,IGO566,"13.202465,77.702164",0,31,270
1552145026,2019-03-09T15:23:46Z,IGO566,"13.202477,77.701729",0,33,270
1552145032,2019-03-09T15:23:52Z,IGO566,"13.202477,77.701279",0,15,270
1552145038,2019-03-09T15:23:58Z,IGO566,"13.202477,77.700806",0,15,270
1552145045,2019-03-09T15:24:05Z,IGO566,"13.202477,77.700333",0,16,270
1552145056,2019-03-09T15:24:16Z,IGO566,"13.202488,77.699364",0,17,270
1552145063,2019-03-09T15:24:23Z,IGO566,"13.202499,77.698769",0,18,270
1552145073,2019-03-09T15:24:33Z,IGO566,"13.202506,77.697845",0,19,270
1552145079,2019-03-09T15:24:39Z,IGO566,"13.202506,77.697205",0,19,270
1552145087,2019-03-09T15:24:47Z,IGO566,"13.202511,77.69651",0,20,270
1552145093,2019-03-09T15:24:53Z,IGO566,"13.202522,77.695908",0,21,270
1552145100,2019-03-09T15:25:00Z,IGO566,"13.202522,77.695274",0,21,270
1552145112,2019-03-09T15:25:12Z,IGO566,"13.202576,77.694084",0,18,281
1552145119,2019-03-09T15:25:19Z,IGO566,"13.202925,77.693527",0,15,320
1552145125,2019-03-09T15:25:25Z,IGO566,"13.203274,77.693375",0,15,340
1552145133,2019-03-09T15:25:33Z,IGO566,"13.203856,77.693336",0,16,354
1552145139,2019-03-09T15:25:39Z,IGO566,"13.204332,77.693336",0,16,359
1552145146,2019-03-09T15:25:46Z,IGO566,"13.204799,77.693352",0,16,1
1552145153,2019-03-09T15:25:53Z,IGO566,"13.205338,77.693146",0,32,312
1552145159,2019-03-09T15:25:59Z,IGO566,"13.205406,77.69278",0,31,278
1552145166,2019-03-09T15:26:06Z,IGO566,"13.205403,77.692337",0,33,270
1552145172,2019-03-09T15:26:12Z,IGO566,"13.205406,77.691925",0,34,270
1552145178,2019-03-09T15:26:18Z,IGO566,"13.205415,77.691521",0,15,270
1552145193,2019-03-09T15:26:33Z,IGO566,"13.205427,77.690315",0,17,270
1552145205,2019-03-09T15:26:45Z,IGO566,"13.205427,77.689255",0,18,270
1552145215,2019-03-09T15:26:55Z,IGO566,"13.205441,77.688385",0,19,270
1552145226,2019-03-09T15:27:06Z,IGO566,"13.205439,77.687492",0,19,270
1552145233,2019-03-09T15:27:13Z,IGO566,"13.205462,77.686722",0,17,275
1552145239,2019-03-09T15:27:19Z,IGO566,"13.205635,77.686371",0,33,303
1552145245,2019-03-09T15:27:25Z,IGO566,"13.206009,77.68618",0,32,345
1552145251,2019-03-09T15:27:31Z,IGO566,"13.206334,77.68618",0,31,358
1552145257,2019-03-09T15:27:37Z,IGO566,"13.206707,77.686195",0,30,2
1552145263,2019-03-09T15:27:43Z,IGO566,"13.207054,77.686295",0,26,22
1552145269,2019-03-09T15:27:49Z,IGO566,"13.207169,77.686554",0,26,70
1552145275,2019-03-09T15:27:55Z,IGO566,"13.207172,77.686913",0,28,90
1552145282,2019-03-09T15:28:02Z,IGO566,"13.207161,77.687363",0,17,92
1552145290,2019-03-09T15:28:10Z,IGO566,"13.207146,77.688705",0,44,90
1552145297,2019-03-09T15:28:17Z,IGO566,"13.207123,77.691177",0,82,90
1552145333,2019-03-09T15:28:53Z,IGO566,"13.206985,77.716721",3200,175,90
1552145340,2019-03-09T15:29:00Z,IGO566,"13.207031,77.722023",3425,177,89
1552145346,2019-03-09T15:29:06Z,IGO566,"13.207195,77.727257",3775,172,88
1552145352,2019-03-09T15:29:12Z,IGO566,"13.207289,77.731789",4025,170,88
1552145359,2019-03-09T15:29:19Z,IGO566,"13.207352,77.737175",4150,177,89
1552145383,2019-03-09T15:29:43Z,IGO566,"13.207056,77.759735",4675,210,91
1552145389,2019-03-09T15:29:49Z,IGO566,"13.206894,77.765778",4850,216,91
1552145407,2019-03-09T15:30:07Z,IGO566,"13.206436,77.785995",5575,232,90
1552145419,2019-03-09T15:30:19Z,IGO566,"13.206311,77.799156",6075,238,89
1552145429,2019-03-09T15:30:29Z,IGO566,"13.207754,77.809799",6525,240,77
1552145435,2019-03-09T15:30:35Z,IGO566,"13.210129,77.816261",6800,242,67
1552145441,2019-03-09T15:30:41Z,IGO566,"13.213945,77.822617",7150,242,56
1552145447,2019-03-09T15:30:47Z,IGO566,"13.218461,77.827675",7450,241,46
1552145453,2019-03-09T15:30:53Z,IGO566,"13.22374,77.831787",7775,242,35
1552145460,2019-03-09T15:31:00Z,IGO566,"13.230239,77.835144",8125,241,23
1552145469,2019-03-09T15:31:09Z,IGO566,"13.239899,77.837616",8625,242,10
1552145494,2019-03-09T15:31:34Z,IGO566,"13.269608,77.834488",9950,246,351
1552145501,2019-03-09T15:31:41Z,IGO566,"13.277069,77.833305",10250,248,351
1552145514,2019-03-09T15:31:54Z,IGO566,"13.292014,77.831146",10875,252,352
1552145526,2019-03-09T15:32:06Z,IGO566,"13.305747,77.829269",11450,257,352
1552145538,2019-03-09T15:32:18Z,IGO566,"13.321289,77.82724",11775,272,352
1552145550,2019-03-09T15:32:30Z,IGO566,"13.336853,77.825157",12000,289,352
1552145568,2019-03-09T15:32:48Z,IGO566,"13.361889,77.819534",12325,316,339
1552145574,2019-03-09T15:32:54Z,IGO566,"13.370407,77.815643",12450,324,335
1552145580,2019-03-09T15:33:00Z,IGO566,"13.378834,77.811584",12575,332,334
1552145587,2019-03-09T15:33:07Z,IGO566,"13.387573,77.807259",12750,337,334
1552145596,2019-03-09T15:33:16Z,IGO566,"13.400208,77.800964",13200,339,333
1552145627,2019-03-09T15:33:47Z,IGO566,"13.443283,77.779747",14900,337,334
1552145659,2019-03-09T15:34:19Z,IGO566,"13.491257,77.756592",15700,362,334
1552145697,2019-03-09T15:34:57Z,IGO566,"13.551315,77.727707",16875,378,334
1552145730,2019-03-09T15:35:30Z,IGO566,"13.606149,77.701477",17750,397,334
1552145765,2019-03-09T15:36:05Z,IGO566,"13.662244,77.674446",18875,406,334
1552145829,2019-03-09T15:37:09Z,IGO566,"13.773102,77.62101",20875,422,334
1552145888,2019-03-09T15:38:08Z,IGO566,"13.884345,77.567383",22500,443,334
1552145942,2019-03-09T15:39:02Z,IGO566,"13.980754,77.515579",24075,451,324
1552145949,2019-03-09T15:39:09Z,IGO566,"13.994627,77.504784",24300,451,322
1552145957,2019-03-09T15:39:17Z,IGO566,"14.00473,77.496895",24525,450,322
1552146019,2019-03-09T15:40:19Z,IGO566,"14.111054,77.41468",26425,453,323
1552146083,2019-03-09T15:41:23Z,IGO566,"14.218369,77.332146",27950,459,323
1552146143,2019-03-09T15:42:23Z,IGO566,"14.322587,77.251808",29175,465,323
