Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552226861,2019-03-10T14:07:41Z,IGO566,"13.201687,77.694458",0,0,313
1552227348,2019-03-10T14:15:48Z,IGO566,"13.201687,77.694458",0,0,180
1552227581,2019-03-10T14:19:41Z,IGO566,"13.201691,77.694458",0,0,180
1552227626,2019-03-10T14:20:26Z,IGO566,"13.201691,77.694458",0,0,180
1552228112,2019-03-10T14:28:32Z,IGO566,"13.201691,77.694458",0,0,180
1552228297,2019-03-10T14:31:37Z,IGO566,"13.201698,77.694458",0,0,316
1552228517,2019-03-10T14:35:17Z,IGO566,"13.201691,77.694466",0,0,225
1552228576,2019-03-10T14:36:16Z,IGO566,"13.201698,77.694458",0,0,241
1552228845,2019-03-10T14:40:45Z,IGO566,"13.201904,77.694458",0,9,168
1552228869,2019-03-10T14:41:09Z,IGO566,"13.202145,77.694412",0,9,171
1552228893,2019-03-10T14:41:33Z,IGO566,"13.202366,77.694328",0,9,222
1552229284,2019-03-10T14:48:04Z,IGO566,"13.202522,77.694534",0,0,70
1552229311,2019-03-10T14:48:31Z,IGO566,"13.202518,77.694237",0,13,270
1552229328,2019-03-10T14:48:48Z,IGO566,"13.202529,77.69381",0,18,272
1552229334,2019-03-10T14:48:54Z,IGO566,"13.202568,77.693596",0,18,286
1552229351,2019-03-10T14:49:11Z,IGO566,"13.203026,77.693336",0,17,351
1552229358,2019-03-10T14:49:18Z,IGO566,"13.203251,77.693336",0,19,357
1552229370,2019-03-10T14:49:30Z,IGO566,"13.203678,77.693336",0,22,357
1552229384,2019-03-10T14:49:44Z,IGO566,"13.204227,77.693336",0,12,357
1552229555,2019-03-10T14:52:35Z,IGO566,"13.204694,77.693352",0,12,1
1552229577,2019-03-10T14:52:57Z,IGO566,"13.205159,77.693275",0,12,340
1552229594,2019-03-10T14:53:14Z,IGO566,"13.205345,77.693039",0,12,300
1552229603,2019-03-10T14:53:23Z,IGO566,"13.205383,77.692825",0,16,281
1552229611,2019-03-10T14:53:31Z,IGO566,"13.205392,77.692612",0,20,272
1552229617,2019-03-10T14:53:37Z,IGO566,"13.205392,77.692398",0,21,270
1552229624,2019-03-10T14:53:44Z,IGO566,"13.205395,77.692078",0,23,270
1552229660,2019-03-10T14:54:20Z,IGO566,"13.205415,77.690063",0,29,270
1552229685,2019-03-10T14:54:45Z,IGO566,"13.205427,77.688469",0,32,270
1552229692,2019-03-10T14:54:52Z,IGO566,"13.205427,77.688034",0,26,270
1552229703,2019-03-10T14:55:03Z,IGO566,"13.205427,77.687546",0,23,270
1552229729,2019-03-10T14:55:29Z,IGO566,"13.205532,77.686409",0,18,295
1552229738,2019-03-10T14:55:38Z,IGO566,"13.205752,77.686218",0,19,329
1552229750,2019-03-10T14:55:50Z,IGO566,"13.206036,77.686188",0,10,354
1552229892,2019-03-10T14:58:12Z,IGO566,"13.206218,77.68618",0,13,357
1552229908,2019-03-10T14:58:28Z,IGO566,"13.206676,77.686211",0,17,11
1552229921,2019-03-10T14:58:41Z,IGO566,"13.207043,77.68647",0,21,47
1552229930,2019-03-10T14:58:50Z,IGO566,"13.207161,77.686806",0,24,78
1552229939,2019-03-10T14:58:59Z,IGO566,"13.207157,77.687454",0,16,90
1552229947,2019-03-10T14:59:07Z,IGO566,"13.20715,77.688385",0,37,90
1552229956,2019-03-10T14:59:16Z,IGO566,"13.207126,77.691582",0,84,90
1552229963,2019-03-10T14:59:23Z,IGO566,"13.207088,77.69529",0,110,90
1552229974,2019-03-10T14:59:34Z,IGO566,"13.207021,77.702179",0,150,90
1552230026,2019-03-10T15:00:26Z,IGO566,"13.206311,77.745667",4475,193,92
1552230033,2019-03-10T15:00:33Z,IGO566,"13.206116,77.751709",4600,202,91
1552230039,2019-03-10T15:00:39Z,IGO566,"13.205939,77.757812",4750,210,91
1552230045,2019-03-10T15:00:45Z,IGO566,"13.205841,77.763359",4950,216,91
1552230051,2019-03-10T15:00:51Z,IGO566,"13.20575,77.769852",5175,223,90
1552230063,2019-03-10T15:01:03Z,IGO566,"13.20575,77.78363",5625,235,90
1552230090,2019-03-10T15:01:30Z,IGO566,"13.207894,77.813805",6875,250,74
1552230097,2019-03-10T15:01:37Z,IGO566,"13.211197,77.820847",7225,250,63
1552230103,2019-03-10T15:01:43Z,IGO566,"13.215714,77.826958",7525,254,50
1552230112,2019-03-10T15:01:52Z,IGO566,"13.224564,77.833778",8000,254,32
1552230118,2019-03-10T15:01:58Z,IGO566,"13.230379,77.836304",8375,252,20
1552230126,2019-03-10T15:02:06Z,IGO566,"13.241364,77.838371",8725,258,6
1552230151,2019-03-10T15:02:31Z,IGO566,"13.272079,77.83477",9800,275,351
1552230158,2019-03-10T15:02:38Z,IGO566,"13.279677,77.833557",10125,275,351
1552230170,2019-03-10T15:02:50Z,IGO566,"13.294647,77.831177",10775,277,351
1552230181,2019-03-10T15:03:01Z,IGO566,"13.310532,77.828804",11400,279,351
1552230193,2019-03-10T15:03:13Z,IGO566,"13.325912,77.825966",12050,279,347
1552230200,2019-03-10T15:03:20Z,IGO566,"13.333466,77.823074",12375,278,337
1552230206,2019-03-10T15:03:26Z,IGO566,"13.341126,77.819054",12600,281,332
1552230214,2019-03-10T15:03:34Z,IGO566,"13.350815,77.81356",12825,292,330
1552230222,2019-03-10T15:03:42Z,IGO566,"13.359009,77.808731",12950,301,330
1552230257,2019-03-10T15:04:17Z,IGO566,"13.406799,77.780075",13700,347,329
1552230291,2019-03-10T15:04:51Z,IGO566,"13.454575,77.752075",15125,357,330
1552230321,2019-03-10T15:05:21Z,IGO566,"13.499032,77.726341",16650,355,330
1552230354,2019-03-10T15:05:54Z,IGO566,"13.544559,77.700081",18300,347,330
1552230416,2019-03-10T15:06:56Z,IGO566,"13.63298,77.648903",20350,367,330
1552230477,2019-03-10T15:07:57Z,IGO566,"13.726579,77.594849",22275,385,330
1552230540,2019-03-10T15:09:00Z,IGO566,"13.825195,77.537529",24350,399,330
1552230602,2019-03-10T15:10:02Z,IGO566,"13.930431,77.476547",26225,414,330
1552230665,2019-03-10T15:11:05Z,IGO566,"14.031738,77.417671",28175,412,330
1552230727,2019-03-10T15:12:07Z,IGO566,"14.136246,77.351944",29575,425,323
1552230788,2019-03-10T15:13:08Z,IGO566,"14.2332,77.27845",30900,435,323
1552230851,2019-03-10T15:14:11Z,IGO566,"14.334686,77.202065",32700,427,323
1552230915,2019-03-10T15:15:15Z,IGO566,"14.437775,77.124168",33550,441,323
1552230977,2019-03-10T15:16:17Z,IGO566,"14.541244,77.045914",33825,467,323
1552231038,2019-03-10T15:17:18Z,IGO566,"14.654526,76.96032",34425,483,323
