Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552312992,2019-03-11T14:03:12Z,IGO566,"13.201679,77.704659",0,0,65
1552313281,2019-03-11T14:08:01Z,IGO566,"13.201939,77.704666",0,11,157
1552313306,2019-03-11T14:08:26Z,IGO566,"13.202236,77.704521",0,10,199
1552313325,2019-03-11T14:08:45Z,IGO566,"13.202442,77.704567",0,2,267
1552313420,2019-03-11T14:10:20Z,IGO566,"13.202447,77.704651",0,0,87
1552313597,2019-03-11T14:13:17Z,IGO566,"13.202465,77.704323",0,14,275
1552313605,2019-03-11T14:13:25Z,IGO566,"13.202564,77.704094",0,16,298
1552313617,2019-03-11T14:13:37Z,IGO566,"13.202808,77.703941",0,15,334
1552313627,2019-03-11T14:13:47Z,IGO566,"13.203064,77.703926",0,16,354
1552313636,2019-03-11T14:13:56Z,IGO566,"13.203358,77.703934",0,18,2
1552313646,2019-03-11T14:14:06Z,IGO566,"13.20369,77.703934",0,22,3
1552313655,2019-03-11T14:14:15Z,IGO566,"13.204102,77.703934",0,25,2
1552313666,2019-03-11T14:14:26Z,IGO566,"13.20467,77.703941",0,24,3
1552313672,2019-03-11T14:14:32Z,IGO566,"13.204937,77.703918",0,24,354
1552313678,2019-03-11T14:14:38Z,IGO566,"13.2052,77.703751",0,25,320
1552313706,2019-03-11T14:15:06Z,IGO566,"13.205322,77.702324",0,29,270
1552313712,2019-03-11T14:15:12Z,IGO566,"13.205322,77.701904",0,30,270
1552313718,2019-03-11T14:15:18Z,IGO566,"13.205322,77.701515",0,31,270
1552313730,2019-03-11T14:15:30Z,IGO566,"13.205326,77.700745",0,32,270
1552313737,2019-03-11T14:15:37Z,IGO566,"13.205334,77.700348",0,33,270
1552313750,2019-03-11T14:15:50Z,IGO566,"13.205349,77.699364",0,15,270
1552313764,2019-03-11T14:16:04Z,IGO566,"13.205349,77.698318",0,16,270
1552313776,2019-03-11T14:16:16Z,IGO566,"13.205357,77.697334",0,17,270
1552313783,2019-03-11T14:16:23Z,IGO566,"13.205369,77.696808",0,18,270
1552313790,2019-03-11T14:16:30Z,IGO566,"13.205372,77.696121",0,18,270
1552313797,2019-03-11T14:16:37Z,IGO566,"13.205369,77.695419",0,19,270
1552313803,2019-03-11T14:16:43Z,IGO566,"13.205383,77.694862",0,20,270
1552313809,2019-03-11T14:16:49Z,IGO566,"13.205383,77.694244",0,20,270
1552313815,2019-03-11T14:16:55Z,IGO566,"13.205395,77.69368",0,21,270
1552313822,2019-03-11T14:17:02Z,IGO566,"13.205392,77.693062",0,22,270
1552313828,2019-03-11T14:17:08Z,IGO566,"13.205406,77.692307",0,22,270
1552313837,2019-03-11T14:17:17Z,IGO566,"13.205406,77.691193",0,24,270
1552313847,2019-03-11T14:17:27Z,IGO566,"13.205418,77.690079",0,25,270
1552313855,2019-03-11T14:17:35Z,IGO566,"13.205427,77.689072",0,26,270
1552313861,2019-03-11T14:17:41Z,IGO566,"13.205441,77.688362",0,26,270
1552313871,2019-03-11T14:17:51Z,IGO566,"13.205452,77.687057",0,23,270
1552313878,2019-03-11T14:17:58Z,IGO566,"13.205508,77.686531",0,30,284
