Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552406814,2019-03-12T16:06:54Z,IGO566,"13.201675,77.703125",0,0,246
1552406846,2019-03-12T16:07:26Z,IGO566,"13.201881,77.703117",0,2,194
1552406901,2019-03-12T16:08:21Z,IGO566,"13.202285,77.703255",0,2,151
1552406988,2019-03-12T16:09:48Z,IGO566,"13.202447,77.70314",0,0,271
1552407128,2019-03-12T16:12:08Z,IGO566,"13.202482,77.703674",0,18,75
1552407136,2019-03-12T16:12:16Z,IGO566,"13.202671,77.703918",0,20,36
1552407147,2019-03-12T16:12:27Z,IGO566,"13.203006,77.703972",0,20,357
1552407158,2019-03-12T16:12:38Z,IGO566,"13.20339,77.703926",0,16,354
1552407176,2019-03-12T16:12:56Z,IGO566,"13.203786,77.703911",0,14,354
1552407188,2019-03-12T16:13:08Z,IGO566,"13.204007,77.703911",0,13,353
1552407201,2019-03-12T16:13:21Z,IGO566,"13.204251,77.703926",0,14,14
1552407212,2019-03-12T16:13:32Z,IGO566,"13.204502,77.703934",0,15,6
1552407226,2019-03-12T16:13:46Z,IGO566,"13.204823,77.703918",0,17,354
1552407237,2019-03-12T16:13:57Z,IGO566,"13.205143,77.703766",0,20,320
1552407250,2019-03-12T16:14:10Z,IGO566,"13.205292,77.703293",0,23,275
1552407256,2019-03-12T16:14:16Z,IGO566,"13.205303,77.702995",0,23,272
1552407264,2019-03-12T16:14:24Z,IGO566,"13.205303,77.702652",0,22,270
1552407274,2019-03-12T16:14:34Z,IGO566,"13.205303,77.702271",0,20,270
1552407286,2019-03-12T16:14:46Z,IGO566,"13.205311,77.701889",0,17,270
1552407299,2019-03-12T16:14:59Z,IGO566,"13.205311,77.701538",0,14,270
1552407310,2019-03-12T16:15:10Z,IGO566,"13.205311,77.701279",0,14,270
1552407326,2019-03-12T16:15:26Z,IGO566,"13.205322,77.700806",0,18,270
1552407334,2019-03-12T16:15:34Z,IGO566,"13.205322,77.700577",0,20,270
1552407341,2019-03-12T16:15:41Z,IGO566,"13.205315,77.700317",0,22,270
1552407355,2019-03-12T16:15:55Z,IGO566,"13.205326,77.699692",0,23,270
1552407362,2019-03-12T16:16:02Z,IGO566,"13.205326,77.699341",0,25,270
1552407370,2019-03-12T16:16:10Z,IGO566,"13.205334,77.698975",0,26,270
1552407376,2019-03-12T16:16:16Z,IGO566,"13.205334,77.698624",0,27,270
1552407385,2019-03-12T16:16:25Z,IGO566,"13.205345,77.698166",0,28,270
1552407407,2019-03-12T16:16:47Z,IGO566,"13.205349,77.696815",0,33,270
1552407414,2019-03-12T16:16:54Z,IGO566,"13.20536,77.696281",0,34,270
1552407437,2019-03-12T16:17:17Z,IGO566,"13.205372,77.694496",0,17,270
1552407446,2019-03-12T16:17:26Z,IGO566,"13.205372,77.693687",0,18,270
1552407454,2019-03-12T16:17:34Z,IGO566,"13.205383,77.693123",0,18,270
1552407464,2019-03-12T16:17:44Z,IGO566,"13.205392,77.69207",0,19,270
1552407474,2019-03-12T16:17:54Z,IGO566,"13.205403,77.691048",0,20,270
1552407482,2019-03-12T16:18:02Z,IGO566,"13.205415,77.690315",0,21,270
1552407522,2019-03-12T16:18:42Z,IGO566,"13.205485,77.686531",0,28,284
1552407528,2019-03-12T16:18:48Z,IGO566,"13.205613,77.686325",0,24,309
1552407542,2019-03-12T16:19:02Z,IGO566,"13.206218,77.686172",0,22,355
1552407560,2019-03-12T16:19:20Z,IGO566,"13.206882,77.686302",0,21,28
1552407568,2019-03-12T16:19:28Z,IGO566,"13.207079,77.686516",0,21,56
1552407575,2019-03-12T16:19:35Z,IGO566,"13.20715,77.686745",0,22,78
1552407582,2019-03-12T16:19:42Z,IGO566,"13.207157,77.687241",0,32,90
1552407591,2019-03-12T16:19:51Z,IGO566,"13.207137,77.688469",0,39,90
1552407598,2019-03-12T16:19:58Z,IGO566,"13.207123,77.689964",0,63,90
1552407608,2019-03-12T16:20:08Z,IGO566,"13.207077,77.695061",0,110,90
1552407614,2019-03-12T16:20:14Z,IGO566,"13.207043,77.698784",0,130,90
1552407622,2019-03-12T16:20:22Z,IGO566,"13.20702,77.703728",0,155,90
1552407628,2019-03-12T16:20:28Z,IGO566,"13.206985,77.708809",2875,176,90
1552407634,2019-03-12T16:20:34Z,IGO566,"13.206985,77.714447",3175,172,90
1552407659,2019-03-12T16:20:59Z,IGO566,"13.207123,77.73381",4025,176,90
1552407665,2019-03-12T16:21:05Z,IGO566,"13.207077,77.739166",4150,183,90
1552407677,2019-03-12T16:21:17Z,IGO566,"13.206823,77.75",4400,199,91
1552407683,2019-03-12T16:21:23Z,IGO566,"13.206684,77.756073",4550,208,91
1552407689,2019-03-12T16:21:29Z,IGO566,"13.206497,77.762337",4750,215,91
1552407695,2019-03-12T16:21:35Z,IGO566,"13.20639,77.768005",4950,221,91
1552407701,2019-03-12T16:21:41Z,IGO566,"13.206299,77.774963",5125,231,91
1552407730,2019-03-12T16:22:10Z,IGO566,"13.211106,77.809708",6475,254,66
1552407737,2019-03-12T16:22:17Z,IGO566,"13.214924,77.816208",6825,258,57
1552407744,2019-03-12T16:22:24Z,IGO566,"13.219253,77.82151",7175,260,48
1552407753,2019-03-12T16:22:33Z,IGO566,"13.228134,77.828804",7750,260,34
1552407762,2019-03-12T16:22:42Z,IGO566,"13.238525,77.833847",8225,264,22
1552407771,2019-03-12T16:22:51Z,IGO566,"13.249237,77.836334",8625,271,9
1552407777,2019-03-12T16:22:57Z,IGO566,"13.257248,77.836716",8775,279,1
1552407797,2019-03-12T16:23:17Z,IGO566,"13.286636,77.832787",9025,317,351
1552407803,2019-03-12T16:23:23Z,IGO566,"13.295691,77.831337",9025,330,351
1552407815,2019-03-12T16:23:35Z,IGO566,"13.314034,77.828545",9175,349,351
1552407827,2019-03-12T16:23:47Z,IGO566,"13.334885,77.825493",9400,364,351
1552407839,2019-03-12T16:23:59Z,IGO566,"13.354813,77.82267",9550,367,352
1552407852,2019-03-12T16:24:12Z,IGO566,"13.37511,77.819824",9725,367,352
1552407867,2019-03-12T16:24:27Z,IGO566,"13.400853,77.816353",9950,368,352
1552407880,2019-03-12T16:24:40Z,IGO566,"13.422873,77.81337",10000,368,352
1552407891,2019-03-12T16:24:51Z,IGO566,"13.442145,77.810768",10175,368,352
1552407904,2019-03-12T16:25:04Z,IGO566,"13.464257,77.807777",10350,369,352
1552407915,2019-03-12T16:25:15Z,IGO566,"13.482971,77.804932",10550,371,350
1552407925,2019-03-12T16:25:25Z,IGO566,"13.499725,77.799538",10700,373,339
1552407931,2019-03-12T16:25:31Z,IGO566,"13.508972,77.794708",10775,373,332
1552407937,2019-03-12T16:25:37Z,IGO566,"13.516954,77.789658",10900,373,328
1552407943,2019-03-12T16:25:43Z,IGO566,"13.524821,77.784409",10950,373,326
1552407949,2019-03-12T16:25:49Z,IGO566,"13.535248,77.777382",10975,374,326
1552407966,2019-03-12T16:26:06Z,IGO566,"13.560481,77.760605",11300,379,327
1552407979,2019-03-12T16:26:19Z,IGO566,"13.580498,77.747498",11975,381,327
1552407991,2019-03-12T16:26:31Z,IGO566,"13.597366,77.736603",12475,384,327
1552408033,2019-03-12T16:27:13Z,IGO566,"13.661918,77.694977",14225,398,327
1552408068,2019-03-12T16:27:48Z,IGO566,"13.71429,77.661194",16050,390,327
1552408099,2019-03-12T16:28:19Z,IGO566,"13.766055,77.627754",17125,403,327
1552408132,2019-03-12T16:28:52Z,IGO566,"13.817915,77.594215",18500,404,327
1552408192,2019-03-12T16:29:52Z,IGO566,"13.91272,77.532837",21275,396,327
1552408253,2019-03-12T16:30:53Z,IGO566,"14.00715,77.471733",23825,391,327
1552408317,2019-03-12T16:31:57Z,IGO566,"14.104568,77.408485",25775,398,327
1552408379,2019-03-12T16:32:59Z,IGO566,"14.201225,77.345825",28375,381,327
1552408442,2019-03-12T16:34:02Z,IGO566,"14.29689,77.283615",29625,395,327
1552408503,2019-03-12T16:35:03Z,IGO566,"14.390135,77.223",31100,396,327
1552408566,2019-03-12T16:36:06Z,IGO566,"14.490326,77.157738",32025,413,327
1552408629,2019-03-12T16:37:09Z,IGO566,"14.59571,77.090584",32950,426,333
1552408638,2019-03-12T16:37:18Z,IGO566,"14.611444,77.083694",33075,429,337
1552408647,2019-03-12T16:37:27Z,IGO566,"14.628808,77.077431",33225,431,341
1552408656,2019-03-12T16:37:36Z,IGO566,"14.645055,77.071693",33375,431,340
1552408717,2019-03-12T16:38:37Z,IGO566,"14.760737,77.029388",34275,437,340
1552408779,2019-03-12T16:39:39Z,IGO566,"14.882721,76.984383",34950,449,340
1552408842,2019-03-12T16:40:42Z,IGO566,"15.006592,76.938942",36000,440,340
1552408907,2019-03-12T16:41:47Z,IGO566,"15.128494,76.894127",36000,439,340
1552408949,2019-03-12T16:42:29Z,IGO566,"15.207001,76.861267",36000,436,329
1552408955,2019-03-12T16:42:35Z,IGO566,"15.217601,76.853683",36000,434,324
1552408964,2019-03-12T16:42:44Z,IGO566,"15.231812,76.840935",36000,433,317
1552408972,2019-03-12T16:42:52Z,IGO566,"15.243716,76.828667",36000,432,314
1552409039,2019-03-12T16:43:59Z,IGO566,"15.338196,76.73468",35975,429,316
1552409101,2019-03-12T16:45:01Z,IGO566,"15.429692,76.644012",35950,429,316
1552409165,2019-03-12T16:46:05Z,IGO566,"15.520329,76.55381",36000,430,316
1552409229,2019-03-12T16:47:09Z,IGO566,"15.612317,76.462341",36025,432,315
