Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552486981,2019-03-13T14:23:01Z,IGO566,"13.201664,77.704651",0,0,180
1552487056,2019-03-13T14:24:16Z,IGO566,"13.201881,77.704666",0,10,165
1552487072,2019-03-13T14:24:32Z,IGO566,"13.202086,77.704597",0,9,168
1552487092,2019-03-13T14:24:52Z,IGO566,"13.202308,77.704506",0,10,233
1552487151,2019-03-13T14:25:51Z,IGO566,"13.201807,77.704659",0,0,305
1552487186,2019-03-13T14:26:26Z,IGO566,"13.202431,77.704643",0,0,124
1552487402,2019-03-13T14:30:02Z,IGO566,"13.202435,77.704369",0,2,270
1552487431,2019-03-13T14:30:31Z,IGO566,"13.202534,77.704025",0,12,298
1552487447,2019-03-13T14:30:47Z,IGO566,"13.20282,77.703911",0,16,345
1552487461,2019-03-13T14:31:01Z,IGO566,"13.203238,77.703911",0,21,357
1552487468,2019-03-13T14:31:08Z,IGO566,"13.203565,77.703911",0,23,358
1552487474,2019-03-13T14:31:14Z,IGO566,"13.203867,77.703911",0,24,358
1552487483,2019-03-13T14:31:23Z,IGO566,"13.20425,77.703918",0,24,2
1552487491,2019-03-13T14:31:31Z,IGO566,"13.204617,77.703918",0,24,2
1552487499,2019-03-13T14:31:39Z,IGO566,"13.204938,77.703926",0,22,2
1552487507,2019-03-13T14:31:47Z,IGO566,"13.205229,77.703758",0,23,312
1552487513,2019-03-13T14:31:53Z,IGO566,"13.205292,77.703484",0,23,278
1552487532,2019-03-13T14:32:12Z,IGO566,"13.205311,77.702637",0,26,270
1552487538,2019-03-13T14:32:18Z,IGO566,"13.205311,77.702301",0,26,270
1552487547,2019-03-13T14:32:27Z,IGO566,"13.205311,77.701851",0,27,270
1552487553,2019-03-13T14:32:33Z,IGO566,"13.205315,77.70153",0,28,270
1552487560,2019-03-13T14:32:40Z,IGO566,"13.205315,77.701057",0,29,270
1552487569,2019-03-13T14:32:49Z,IGO566,"13.205315,77.700592",0,30,270
1552487581,2019-03-13T14:33:01Z,IGO566,"13.205334,77.699867",0,31,270
1552487599,2019-03-13T14:33:19Z,IGO566,"13.205334,77.698662",0,34,270
1552487616,2019-03-13T14:33:36Z,IGO566,"13.205345,77.697243",0,16,270
1552487623,2019-03-13T14:33:43Z,IGO566,"13.205357,77.696785",0,18,270
1552487629,2019-03-13T14:33:49Z,IGO566,"13.205369,77.696251",0,19,270
1552487640,2019-03-13T14:34:00Z,IGO566,"13.205372,77.694885",0,23,270
1552487647,2019-03-13T14:34:07Z,IGO566,"13.205369,77.694298",0,23,270
1552487653,2019-03-13T14:34:13Z,IGO566,"13.20538,77.693588",0,24,270
1552487659,2019-03-13T14:34:19Z,IGO566,"13.205383,77.692871",0,25,270
1552487665,2019-03-13T14:34:25Z,IGO566,"13.205392,77.692062",0,25,270
1552487674,2019-03-13T14:34:34Z,IGO566,"13.205403,77.691032",0,26,270
1552487680,2019-03-13T14:34:40Z,IGO566,"13.205415,77.690132",0,26,270
1552487697,2019-03-13T14:34:57Z,IGO566,"13.205427,77.688217",0,25,270
1552487704,2019-03-13T14:35:04Z,IGO566,"13.205427,77.687431",0,16,270
1552487724,2019-03-13T14:35:24Z,IGO566,"13.205636,77.686279",0,27,315
1552487734,2019-03-13T14:35:34Z,IGO566,"13.206101,77.686172",0,26,357
1552487754,2019-03-13T14:35:54Z,IGO566,"13.206997,77.686424",0,31,42
