Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552577687,2019-03-14T15:34:47Z,IGO566,"13.201889,77.699661",0,10,165
1552577705,2019-03-14T15:35:05Z,IGO566,"13.202133,77.6996",0,9,168
1552577741,2019-03-14T15:35:41Z,IGO566,"13.202419,77.699516",0,2,247
1552577754,2019-03-14T15:35:54Z,IGO566,"13.202065,77.699623",0,2,270
1552577998,2019-03-14T15:39:58Z,IGO566,"13.202482,77.699471",0,15,270
1552578008,2019-03-14T15:40:08Z,IGO566,"13.202482,77.699165",0,18,270
1552578019,2019-03-14T15:40:19Z,IGO566,"13.202494,77.698814",0,20,270
1552578031,2019-03-14T15:40:31Z,IGO566,"13.202494,77.698334",0,23,270
1552578039,2019-03-14T15:40:39Z,IGO566,"13.202506,77.697914",0,26,270
1552578058,2019-03-14T15:40:58Z,IGO566,"13.202506,77.696815",0,31,270
1552578064,2019-03-14T15:41:04Z,IGO566,"13.202511,77.696487",0,32,270
1552578070,2019-03-14T15:41:10Z,IGO566,"13.202518,77.696045",0,34,270
1552578076,2019-03-14T15:41:16Z,IGO566,"13.202518,77.695602",0,15,270
1552578083,2019-03-14T15:41:23Z,IGO566,"13.202518,77.695107",0,16,270
1552578095,2019-03-14T15:41:35Z,IGO566,"13.202534,77.694191",0,17,270
1552578108,2019-03-14T15:41:48Z,IGO566,"13.202576,77.69355",0,19,295
1552578135,2019-03-14T15:42:15Z,IGO566,"13.20339,77.693336",0,21,311
1552578151,2019-03-14T15:42:31Z,IGO566,"13.204077,77.693336",0,24,311
1552578162,2019-03-14T15:42:42Z,IGO566,"13.204589,77.693352",0,25,1
1552578168,2019-03-14T15:42:48Z,IGO566,"13.204823,77.693344",0,24,356
1552578174,2019-03-14T15:42:54Z,IGO566,"13.205077,77.693321",0,21,351
1552578188,2019-03-14T15:43:08Z,IGO566,"13.205383,77.692894",0,21,278
1552578195,2019-03-14T15:43:15Z,IGO566,"13.205392,77.692635",0,21,270
1552578201,2019-03-14T15:43:21Z,IGO566,"13.205392,77.692383",0,23,270
1552578207,2019-03-14T15:43:27Z,IGO566,"13.205403,77.69207",0,25,270
1552578216,2019-03-14T15:43:36Z,IGO566,"13.205403,77.691628",0,27,270
1552578222,2019-03-14T15:43:42Z,IGO566,"13.205403,77.691299",0,29,270
1552578234,2019-03-14T15:43:54Z,IGO566,"13.205415,77.690506",0,32,270
1552578259,2019-03-14T15:44:19Z,IGO566,"13.205427,77.688744",0,16,270
1552578296,2019-03-14T15:44:56Z,IGO566,"13.205462,77.686546",0,18,278
1552578311,2019-03-14T15:45:11Z,IGO566,"13.205764,77.686203",0,19,329
1552578320,2019-03-14T15:45:20Z,IGO566,"13.206024,77.686172",0,16,357
1552578528,2019-03-14T15:48:48Z,IGO566,"13.206323,77.68618",0,19,358
1552578537,2019-03-14T15:48:57Z,IGO566,"13.206614,77.686203",0,22,5
1552578549,2019-03-14T15:49:09Z,IGO566,"13.207043,77.686447",0,22,50
1552578572,2019-03-14T15:49:32Z,IGO566,"13.20715,77.688652",0,45,90
1552578582,2019-03-14T15:49:42Z,IGO566,"13.207126,77.69194",0,88,90
1552578589,2019-03-14T15:49:49Z,IGO566,"13.207077,77.696381",0,120,90
1552578595,2019-03-14T15:49:55Z,IGO566,"13.207043,77.700211",0,140,90
1552578601,2019-03-14T15:50:01Z,IGO566,"13.207021,77.704613",0,160,90
1552578613,2019-03-14T15:50:13Z,IGO566,"13.20694,77.715675",3025,186,90
1552578635,2019-03-14T15:50:35Z,IGO566,"13.207397,77.732956",4050,173,88
1552578665,2019-03-14T15:51:05Z,IGO566,"13.207195,77.760605",4775,204,91
1552578671,2019-03-14T15:51:11Z,IGO566,"13.207031,77.765633",4875,213,91
1552578677,2019-03-14T15:51:17Z,IGO566,"13.206777,77.772408",5000,226,92
1552578689,2019-03-14T15:51:29Z,IGO566,"13.206405,77.787109",5325,244,91
1552578713,2019-03-14T15:51:53Z,IGO566,"13.212688,77.814331",6325,268,62
1552578722,2019-03-14T15:52:02Z,IGO566,"13.219299,77.823051",6800,272,49
1552578731,2019-03-14T15:52:11Z,IGO566,"13.228749,77.831055",7275,277,35
1552578737,2019-03-14T15:52:17Z,IGO566,"13.235313,77.834808",7575,279,27
1552578743,2019-03-14T15:52:23Z,IGO566,"13.242296,77.837654",7950,280,21
1552578750,2019-03-14T15:52:30Z,IGO566,"13.250473,77.8396",8275,282,11
1552578756,2019-03-14T15:52:36Z,IGO566,"13.257614,77.840027",8525,284,3
1552578776,2019-03-14T15:52:56Z,IGO566,"13.286453,77.831223",9125,316,334
1552578782,2019-03-14T15:53:02Z,IGO566,"13.294993,77.826714",9275,324,332
1552578797,2019-03-14T15:53:17Z,IGO566,"13.315197,77.815056",9600,344,330
1552578809,2019-03-14T15:53:29Z,IGO566,"13.333119,77.804306",9800,360,329
1552578820,2019-03-14T15:53:40Z,IGO566,"13.350623,77.793854",10000,375,329
1552578835,2019-03-14T15:53:55Z,IGO566,"13.370407,77.782211",10200,388,330
1552578847,2019-03-14T15:54:07Z,IGO566,"13.388626,77.771698",10475,398,330
1552578859,2019-03-14T15:54:19Z,IGO566,"13.409912,77.759529",10875,406,330
1552578872,2019-03-14T15:54:32Z,IGO566,"13.428412,77.749039",11500,405,331
