Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552658997,2019-03-15T14:09:57Z,IGO566,"13.201668,77.705864",0,0,180
1552659053,2019-03-15T14:10:53Z,IGO566,"13.20187,77.705872",0,2,157
1552659080,2019-03-15T14:11:20Z,IGO566,"13.20211,77.70578",0,9,180
1552659109,2019-03-15T14:11:49Z,IGO566,"13.202374,77.70578",0,2,253
1552659226,2019-03-15T14:13:46Z,IGO566,"13.202419,77.70591",0,0,116
1552659254,2019-03-15T14:14:14Z,IGO566,"13.202431,77.705597",0,15,270
1552659266,2019-03-15T14:14:26Z,IGO566,"13.202435,77.705223",0,19,270
1552659272,2019-03-15T14:14:32Z,IGO566,"13.202435,77.704964",0,23,270
1552659314,2019-03-15T14:15:14Z,IGO566,"13.202465,77.70224",0,17,270
1552659324,2019-03-15T14:15:24Z,IGO566,"13.202465,77.701431",0,18,270
1552659333,2019-03-15T14:15:33Z,IGO566,"13.202471,77.700706",0,18,270
1552659339,2019-03-15T14:15:39Z,IGO566,"13.202482,77.700096",0,18,270
1552659345,2019-03-15T14:15:45Z,IGO566,"13.202482,77.699615",0,18,270
1552659356,2019-03-15T14:15:56Z,IGO566,"13.202494,77.698555",0,18,270
1552659364,2019-03-15T14:16:04Z,IGO566,"13.202506,77.69796",0,18,270
1552659375,2019-03-15T14:16:15Z,IGO566,"13.202506,77.696869",0,19,270
1552659381,2019-03-15T14:16:21Z,IGO566,"13.202511,77.69632",0,19,270
1552659390,2019-03-15T14:16:30Z,IGO566,"13.202522,77.695457",0,19,270
1552659397,2019-03-15T14:16:37Z,IGO566,"13.202518,77.694962",0,18,270
1552659406,2019-03-15T14:16:46Z,IGO566,"13.202529,77.694107",0,18,270
1552659415,2019-03-15T14:16:55Z,IGO566,"13.20266,77.693489",0,31,303
1552659421,2019-03-15T14:17:01Z,IGO566,"13.202957,77.693336",0,29,348
1552659442,2019-03-15T14:17:22Z,IGO566,"13.204054,77.693336",0,27,348
1552659457,2019-03-15T14:17:37Z,IGO566,"13.20496,77.693321",0,29,354
1552659466,2019-03-15T14:17:46Z,IGO566,"13.205292,77.693085",0,29,306
1552659473,2019-03-15T14:17:53Z,IGO566,"13.20538,77.692688",0,30,275
1552659481,2019-03-15T14:18:01Z,IGO566,"13.205403,77.692039",0,16,272
1552659491,2019-03-15T14:18:11Z,IGO566,"13.205406,77.69117",0,21,270
1552659498,2019-03-15T14:18:18Z,IGO566,"13.205418,77.690445",0,24,270
1552659504,2019-03-15T14:18:24Z,IGO566,"13.205418,77.689629",0,26,270
1552659519,2019-03-15T14:18:39Z,IGO566,"13.205439,77.687698",0,20,270
1552659529,2019-03-15T14:18:49Z,IGO566,"13.205441,77.686859",0,16,270
1552659536,2019-03-15T14:18:56Z,IGO566,"13.205486,77.686478",0,25,281
1552659547,2019-03-15T14:19:07Z,IGO566,"13.205752,77.686203",0,21,337
1552659602,2019-03-15T14:20:02Z,IGO566,"13.20623,77.68618",0,14,1
1552659615,2019-03-15T14:20:15Z,IGO566,"13.206665,77.686211",0,24,11
1552659627,2019-03-15T14:20:27Z,IGO566,"13.207157,77.686584",0,27,59
1552659633,2019-03-15T14:20:33Z,IGO566,"13.207172,77.686867",0,28,92
1552659640,2019-03-15T14:20:40Z,IGO566,"13.207157,77.687347",0,16,90
1552659649,2019-03-15T14:20:49Z,IGO566,"13.20715,77.688698",0,44,90
1552659655,2019-03-15T14:20:55Z,IGO566,"13.207126,77.69059",0,72,90
1552659701,2019-03-15T14:21:41Z,IGO566,"13.207123,77.723396",3650,171,89
1552659710,2019-03-15T14:21:50Z,IGO566,"13.207169,77.728035",3975,167,88
1552659716,2019-03-15T14:21:56Z,IGO566,"13.207289,77.733475",4150,172,88
1552659733,2019-03-15T14:22:13Z,IGO566,"13.207352,77.749626",4525,195,90
1552659747,2019-03-15T14:22:27Z,IGO566,"13.207242,77.76181",4825,212,90
1552659762,2019-03-15T14:22:42Z,IGO566,"13.20694,77.77861",5550,222,91
1552659777,2019-03-15T14:22:57Z,IGO566,"13.206637,77.794579",6200,231,90
1552659797,2019-03-15T14:23:17Z,IGO566,"13.212782,77.816689",7075,245,61
1552659804,2019-03-15T14:23:24Z,IGO566,"13.216873,77.822319",7375,247,51
1552659813,2019-03-15T14:23:33Z,IGO566,"13.224655,77.829277",7825,247,36
1552659820,2019-03-15T14:23:40Z,IGO566,"13.231357,77.832977",8175,247,27
1552659828,2019-03-15T14:23:48Z,IGO566,"13.239922,77.835632",8650,246,13
1552659834,2019-03-15T14:23:54Z,IGO566,"13.247883,77.836304",9000,246,2
1552659855,2019-03-15T14:24:15Z,IGO566,"13.271713,77.828568",9600,272,332
1552659864,2019-03-15T14:24:24Z,IGO566,"13.282333,77.822884",9875,283,331
1552659875,2019-03-15T14:24:35Z,IGO566,"13.296524,77.815117",10350,291,331
1552659887,2019-03-15T14:24:47Z,IGO566,"13.311612,77.806908",10600,306,332
1552659899,2019-03-15T14:24:59Z,IGO566,"13.3273,77.798378",10775,325,332
1552659911,2019-03-15T14:25:11Z,IGO566,"13.344727,77.789024",10975,342,332
1552659923,2019-03-15T14:25:23Z,IGO566,"13.361481,77.780029",11275,354,332
1552659936,2019-03-15T14:25:36Z,IGO566,"13.380603,77.76976",11850,358,332
1552659949,2019-03-15T14:25:49Z,IGO566,"13.39801,77.76033",12475,358,332
1552659978,2019-03-15T14:26:18Z,IGO566,"13.442052,77.736465",14100,355,332
1552660011,2019-03-15T14:26:51Z,IGO566,"13.491348,77.709709",15175,373,332
1552660046,2019-03-15T14:27:26Z,IGO566,"13.544724,77.67997",16375,388,331
1552660075,2019-03-15T14:27:55Z,IGO566,"13.592416,77.653099",17625,391,331
1552660110,2019-03-15T14:28:30Z,IGO566,"13.647673,77.622116",18700,402,331
1552660168,2019-03-15T14:29:28Z,IGO566,"13.742477,77.569061",21000,404,331
1552660230,2019-03-15T14:30:30Z,IGO566,"13.849058,77.509361",22550,429,331
1552660293,2019-03-15T14:31:33Z,IGO566,"13.964859,77.444427",23550,463,331
1552660357,2019-03-15T14:32:37Z,IGO566,"14.086801,77.375984",24925,478,331
1552660417,2019-03-15T14:33:37Z,IGO566,"14.205648,77.309296",25200,475,331
1552660482,2019-03-15T14:34:42Z,IGO566,"14.329422,77.239571",26700,482,331
1552660546,2019-03-15T14:35:46Z,IGO566,"14.451631,77.170715",29375,456,331
1552660609,2019-03-15T14:36:49Z,IGO566,"14.569966,77.103737",30850,455,331
1552660670,2019-03-15T14:37:50Z,IGO566,"14.688535,77.055939",31800,468,340
1552660733,2019-03-15T14:38:53Z,IGO566,"14.816345,77.008949",33575,453,340
1552660796,2019-03-15T14:39:56Z,IGO566,"14.942384,76.962662",34425,458,340
1552660858,2019-03-15T14:40:58Z,IGO566,"15.066631,76.917099",35550,454,340
1552660922,2019-03-15T14:42:02Z,IGO566,"15.194092,76.870132",36575,452,340
1552660986,2019-03-15T14:43:06Z,IGO566,"15.318061,76.82489",37500,448,340
1552661049,2019-03-15T14:44:09Z,IGO566,"15.440679,76.779915",38025,445,340
1552661112,2019-03-15T14:45:12Z,IGO566,"15.564468,76.734589",38025,447,340
1552661173,2019-03-15T14:46:13Z,IGO566,"15.680695,76.687843",38050,445,328
1552661179,2019-03-15T14:46:19Z,IGO566,"15.691177,76.680519",38050,442,324
1552661188,2019-03-15T14:46:28Z,IGO566,"15.706009,76.66761",38050,438,317
1552661194,2019-03-15T14:46:34Z,IGO566,"15.713057,76.660194",38050,435,314
1552661202,2019-03-15T14:46:42Z,IGO566,"15.724276,76.646317",38050,431,307
1552661209,2019-03-15T14:46:49Z,IGO566,"15.732285,76.635132",38050,427,306
1552661218,2019-03-15T14:46:58Z,IGO566,"15.742245,76.621353",38050,427,307
1552661277,2019-03-15T14:47:57Z,IGO566,"15.816513,76.523773",38050,424,308
1552661342,2019-03-15T14:49:02Z,IGO566,"15.892456,76.423065",38025,419,307
1552661405,2019-03-15T14:50:05Z,IGO566,"15.968116,76.322166",38000,417,307
1552661464,2019-03-15T14:51:04Z,IGO566,"16.038986,76.227722",38000,417,307
1552661528,2019-03-15T14:52:08Z,IGO566,"16.114563,76.126678",38025,417,307
1552661591,2019-03-15T14:53:11Z,IGO566,"16.188858,76.027412",38050,416,307
1552661655,2019-03-15T14:54:15Z,IGO566,"16.262924,75.92849",38050,414,307
1552661714,2019-03-15T14:55:14Z,IGO566,"16.334335,75.832359",38075,412,307
1552661779,2019-03-15T14:56:19Z,IGO566,"16.408081,75.733582",38050,409,307
1552661841,2019-03-15T14:57:21Z,IGO566,"16.480562,75.636162",38025,407,307
1552661904,2019-03-15T14:58:24Z,IGO566,"16.554022,75.537231",38000,406,307
1552661965,2019-03-15T14:59:25Z,IGO566,"16.622726,75.444756",38025,406,307
1552662027,2019-03-15T15:00:27Z,IGO566,"16.696938,75.347031",38025,405,308
1552662091,2019-03-15T15:01:31Z,IGO566,"16.769651,75.251099",38050,406,308
1552662154,2019-03-15T15:02:34Z,IGO566,"16.843809,75.152763",38050,406,308
1552662214,2019-03-15T15:03:34Z,IGO566,"16.914011,75.059723",38075,405,307
1552662277,2019-03-15T15:04:37Z,IGO566,"16.986679,74.963249",38025,403,307
1552662341,2019-03-15T15:05:41Z,IGO566,"17.060743,74.864761",38000,404,307
1552662404,2019-03-15T15:06:44Z,IGO566,"17.132433,74.769318",38025,405,307
1552662467,2019-03-15T15:07:47Z,IGO566,"17.206358,74.670738",38025,406,307
1552662527,2019-03-15T15:08:47Z,IGO566,"17.276747,74.576866",38075,408,307
1552662592,2019-03-15T15:09:52Z,IGO566,"17.350067,74.478729",38075,409,307
1552662653,2019-03-15T15:10:53Z,IGO566,"17.423126,74.380859",38050,405,307
1552662717,2019-03-15T15:11:57Z,IGO566,"17.496002,74.283287",37150,400,307
1552662778,2019-03-15T15:12:58Z,IGO566,"17.565323,74.190033",35700,410,307
1552662840,2019-03-15T15:14:00Z,IGO566,"17.639061,74.090767",33400,405,307
1552662902,2019-03-15T15:15:02Z,IGO566,"17.708565,73.997284",31275,396,307
1552662962,2019-03-15T15:16:02Z,IGO566,"17.777323,73.90464",29100,400,307
1552663023,2019-03-15T15:17:03Z,IGO566,"17.842255,73.817238",28225,356,307
1552663086,2019-03-15T15:18:06Z,IGO566,"17.90292,73.735039",27575,310,307
1552663149,2019-03-15T15:19:09Z,IGO566,"17.956421,73.662315",26100,295,307
1552663213,2019-03-15T15:20:13Z,IGO566,"18.008148,73.592064",24700,281,307
1552663277,2019-03-15T15:21:17Z,IGO566,"18.058044,73.524361",23250,270,307
1552663341,2019-03-15T15:22:21Z,IGO566,"18.105423,73.459839",21650,263,307
1552663405,2019-03-15T15:23:25Z,IGO566,"18.154678,73.393204",19675,274,308
1552663414,2019-03-15T15:23:34Z,IGO566,"18.163706,73.384308",19450,275,322
1552663420,2019-03-15T15:23:40Z,IGO566,"18.170837,73.380142",19350,275,332
1552663429,2019-03-15T15:23:49Z,IGO566,"18.180405,73.375854",19225,273,337
1552663435,2019-03-15T15:23:55Z,IGO566,"18.187592,73.37278",19125,270,337
1552663443,2019-03-15T15:24:03Z,IGO566,"18.198624,73.368027",18950,267,337
1552663506,2019-03-15T15:25:06Z,IGO566,"18.270218,73.336189",17025,279,336
1552663540,2019-03-15T15:25:40Z,IGO566,"18.3116,73.317505",16225,277,336
1552663573,2019-03-15T15:26:13Z,IGO566,"18.350052,73.300293",15625,275,336
1552663606,2019-03-15T15:26:46Z,IGO566,"18.389786,73.28244",15150,277,336
1552663640,2019-03-15T15:27:20Z,IGO566,"18.42868,73.265022",14625,269,336
1552663673,2019-03-15T15:27:53Z,IGO566,"18.466389,73.247993",14050,266,336
1552663704,2019-03-15T15:28:24Z,IGO566,"18.500605,73.232613",13575,264,336
1552663737,2019-03-15T15:28:57Z,IGO566,"18.537334,73.216187",13025,256,336
1552663767,2019-03-15T15:29:27Z,IGO566,"18.570648,73.201363",12525,254,337
1552663800,2019-03-15T15:30:00Z,IGO566,"18.607534,73.184875",12075,255,336
1552663833,2019-03-15T15:30:33Z,IGO566,"18.642151,73.169289",11625,254,336
1552663846,2019-03-15T15:30:46Z,IGO566,"18.656616,73.162766",11475,252,336
1552663858,2019-03-15T15:30:58Z,IGO566,"18.66925,73.158447",11325,251,347
1552663864,2019-03-15T15:31:04Z,IGO566,"18.676945,73.157761",11275,252,356
1552663870,2019-03-15T15:31:10Z,IGO566,"18.684206,73.157661",11225,253,359
1552663877,2019-03-15T15:31:17Z,IGO566,"18.691515,73.157608",11175,253,359
1552663885,2019-03-15T15:31:25Z,IGO566,"18.701385,73.157516",11075,253,359
1552663896,2019-03-15T15:31:36Z,IGO566,"18.714523,73.157318",10900,253,358
1552663909,2019-03-15T15:31:49Z,IGO566,"18.729492,73.156929",10700,251,358
1552663921,2019-03-15T15:32:01Z,IGO566,"18.744186,73.15654",10525,252,358
1552663935,2019-03-15T15:32:15Z,IGO566,"18.760458,73.156059",10325,256,358
1552663949,2019-03-15T15:32:29Z,IGO566,"18.77717,73.155663",10100,257,358
1552663961,2019-03-15T15:32:41Z,IGO566,"18.791245,73.155258",9900,257,358
1552663973,2019-03-15T15:32:53Z,IGO566,"18.806545,73.154816",9725,257,358
1552663984,2019-03-15T15:33:04Z,IGO566,"18.818024,73.154427",9600,258,358
1552663997,2019-03-15T15:33:17Z,IGO566,"18.834778,73.153984",9450,258,358
1552664009,2019-03-15T15:33:29Z,IGO566,"18.848024,73.153618",9350,259,358
1552664024,2019-03-15T15:33:44Z,IGO566,"18.866592,73.153152",9175,260,358
1552664037,2019-03-15T15:33:57Z,IGO566,"18.882248,73.152809",9050,259,358
1552664047,2019-03-15T15:34:07Z,IGO566,"18.894241,73.152611",9025,258,359
1552664067,2019-03-15T15:34:27Z,IGO566,"18.916735,73.160858",8925,262,34
1552664073,2019-03-15T15:34:33Z,IGO566,"18.921808,73.166046",8850,261,47
1552664079,2019-03-15T15:34:39Z,IGO566,"18.925919,73.172966",8750,260,57
1552664085,2019-03-15T15:34:45Z,IGO566,"18.928436,73.180275",8675,255,71
1552664091,2019-03-15T15:34:51Z,IGO566,"18.929398,73.187569",8600,250,85
1552664115,2019-03-15T15:35:15Z,IGO566,"18.929398,73.216583",8350,248,89
1552664131,2019-03-15T15:35:31Z,IGO566,"18.929947,73.234665",8125,246,87
1552664143,2019-03-15T15:35:43Z,IGO566,"18.930679,73.249771",8025,245,86
1552664155,2019-03-15T15:35:55Z,IGO566,"18.931458,73.263405",8000,246,86
1552664166,2019-03-15T15:36:06Z,IGO566,"18.932329,73.278961",8000,249,86
1552664179,2019-03-15T15:36:19Z,IGO566,"18.933014,73.292542",8000,248,87
1552664190,2019-03-15T15:36:30Z,IGO566,"18.933701,73.307747",8000,247,87
1552664203,2019-03-15T15:36:43Z,IGO566,"18.934937,73.321922",8000,247,83
1552664211,2019-03-15T15:36:51Z,IGO566,"18.938644,73.331924",8000,251,65
1552664217,2019-03-15T15:36:57Z,IGO566,"18.942398,73.337616",8025,254,55
1552664239,2019-03-15T15:37:19Z,IGO566,"18.965515,73.351051",7800,255,14
1552664259,2019-03-15T15:37:39Z,IGO566,"18.987488,73.352036",7600,251,2
1552664285,2019-03-15T15:38:05Z,IGO566,"19.01631,73.345123",7275,230,327
1552664291,2019-03-15T15:38:11Z,IGO566,"19.020826,73.341827",7200,226,324
1552664309,2019-03-15T15:38:29Z,IGO566,"19.034279,73.331047",7050,218,322
1552664319,2019-03-15T15:38:39Z,IGO566,"19.042891,73.324051",7000,211,322
1552664331,2019-03-15T15:38:51Z,IGO566,"19.053177,73.315842",7000,210,322
1552664342,2019-03-15T15:39:02Z,IGO566,"19.061737,73.309067",6925,210,323
1552664355,2019-03-15T15:39:15Z,IGO566,"19.0718,73.301178",6800,210,323
1552664368,2019-03-15T15:39:28Z,IGO566,"19.081064,73.293991",6650,210,323
1552664376,2019-03-15T15:39:36Z,IGO566,"19.087301,73.287445",6550,205,310
1552664383,2019-03-15T15:39:43Z,IGO566,"19.090164,73.281944",6475,199,294
1552664392,2019-03-15T15:39:52Z,IGO566,"19.092178,73.274734",6400,196,282
1552664400,2019-03-15T15:40:00Z,IGO566,"19.093231,73.265663",6250,194,274
1552664406,2019-03-15T15:40:06Z,IGO566,"19.093447,73.259583",6175,194,271
1552664412,2019-03-15T15:40:12Z,IGO566,"19.093552,73.254288",6075,193,271
1552664418,2019-03-15T15:40:18Z,IGO566,"19.093634,73.248695",5975,191,270
1552664443,2019-03-15T15:40:43Z,IGO566,"19.09346,73.226379",5625,188,269
1552664454,2019-03-15T15:40:54Z,IGO566,"19.093323,73.214905",5450,191,268
1552664467,2019-03-15T15:41:07Z,IGO566,"19.093094,73.203621",5275,193,268
1552664478,2019-03-15T15:41:18Z,IGO566,"19.092936,73.192116",5125,193,269
1552664490,2019-03-15T15:41:30Z,IGO566,"19.092794,73.181183",4975,193,269
1552664497,2019-03-15T15:41:37Z,IGO566,"19.092728,73.175171",4900,192,269
1552664504,2019-03-15T15:41:44Z,IGO566,"19.092682,73.169189",4850,192,269
1552664515,2019-03-15T15:41:55Z,IGO566,"19.092562,73.158356",4700,190,269
1552664521,2019-03-15T15:42:01Z,IGO566,"19.09247,73.152618",4625,190,269
1552664534,2019-03-15T15:42:14Z,IGO566,"19.092361,73.142067",4500,188,269
1552664545,2019-03-15T15:42:25Z,IGO566,"19.092224,73.130737",4350,188,269
1552664551,2019-03-15T15:42:31Z,IGO566,"19.092133,73.124855",4300,188,269
1552664566,2019-03-15T15:42:46Z,IGO566,"19.091949,73.111168",4100,190,269
1552664573,2019-03-15T15:42:53Z,IGO566,"19.091864,73.105576",4025,190,269
1552664587,2019-03-15T15:43:07Z,IGO566,"19.091675,73.091599",3800,191,269
1552664593,2019-03-15T15:43:13Z,IGO566,"19.091583,73.085815",3700,191,269
1552664599,2019-03-15T15:43:19Z,IGO566,"19.091537,73.079605",3600,192,269
1552664605,2019-03-15T15:43:25Z,IGO566,"19.091492,73.07476",3500,191,269
1552664611,2019-03-15T15:43:31Z,IGO566,"19.0914,73.069138",3400,191,269
1552664617,2019-03-15T15:43:37Z,IGO566,"19.091309,73.063004",3300,191,269
1552664627,2019-03-15T15:43:47Z,IGO566,"19.091217,73.055351",3150,191,269
1552664639,2019-03-15T15:43:59Z,IGO566,"19.091072,73.043449",2925,190,269
1552664650,2019-03-15T15:44:10Z,IGO566,"19.090942,73.033035",2750,190,269
1552664656,2019-03-15T15:44:16Z,IGO566,"19.090887,73.027519",2650,189,269
1552664665,2019-03-15T15:44:25Z,IGO566,"19.090794,73.01873",2550,185,269
1552664672,2019-03-15T15:44:32Z,IGO566,"19.0907,73.012589",2425,184,269
1552664683,2019-03-15T15:44:43Z,IGO566,"19.090576,73.00312",2225,177,269
1552664692,2019-03-15T15:44:52Z,IGO566,"19.090467,72.99511",2100,174,269
1552664698,2019-03-15T15:44:58Z,IGO566,"19.090374,72.990364",2000,173,269
1552664704,2019-03-15T15:45:04Z,IGO566,"19.090328,72.986122",1925,172,269
1552664717,2019-03-15T15:45:17Z,IGO566,"19.090164,72.975067",1750,171,269
1552664732,2019-03-15T15:45:32Z,IGO566,"19.090002,72.962105",1550,163,268
1552664738,2019-03-15T15:45:38Z,IGO566,"19.089935,72.957458",1450,159,268
1552664750,2019-03-15T15:45:50Z,IGO566,"19.089844,72.94883",1300,154,269
1552664759,2019-03-15T15:45:59Z,IGO566,"19.089724,72.941879",1200,150,269
1552664768,2019-03-15T15:46:08Z,IGO566,"19.089615,72.935341",1075,147,269
1552664774,2019-03-15T15:46:14Z,IGO566,"19.089569,72.932495",1025,147,269
1552664787,2019-03-15T15:46:27Z,IGO566,"19.089478,72.922096",850,146,269
1552664793,2019-03-15T15:46:33Z,IGO566,"19.089432,72.917976",775,146,269
1552664800,2019-03-15T15:46:40Z,IGO566,"19.08934,72.914246",725,145,268
1552664808,2019-03-15T15:46:48Z,IGO566,"19.089249,72.906693",600,144,268
1552665000,2019-03-15T15:50:00Z,IGO566,"19.091732,72.8591",0,27,30
