Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552750635,2019-03-16T15:37:15Z,IGO566,"13.201679,77.704674",0,0,180
1552750783,2019-03-16T15:39:43Z,IGO566,"13.201889,77.704681",0,9,163
1552750807,2019-03-16T15:40:07Z,IGO566,"13.202133,77.704613",0,2,177
1552750831,2019-03-16T15:40:31Z,IGO566,"13.202351,77.704559",0,2,241
1552750871,2019-03-16T15:41:11Z,IGO566,"13.202099,77.70462",0,0,180
1552750901,2019-03-16T15:41:41Z,IGO566,"13.202442,77.704712",0,0,180
1552750942,2019-03-16T15:42:22Z,IGO566,"13.202435,77.704712",0,0,180
1552751180,2019-03-16T15:46:20Z,IGO566,"13.202435,77.704597",0,0,267
1552751302,2019-03-16T15:48:22Z,IGO566,"13.202447,77.704338",0,13,272
1552751318,2019-03-16T15:48:38Z,IGO566,"13.202447,77.704033",0,14,270
1552751330,2019-03-16T15:48:50Z,IGO566,"13.202447,77.703766",0,13,270
1552751344,2019-03-16T15:49:04Z,IGO566,"13.202447,77.703529",0,12,270
1552751362,2019-03-16T15:49:22Z,IGO566,"13.202459,77.703201",0,14,270
1552751392,2019-03-16T15:49:52Z,IGO566,"13.202465,77.702271",0,22,270
1552751398,2019-03-16T15:49:58Z,IGO566,"13.202465,77.701965",0,24,270
1552751431,2019-03-16T15:50:31Z,IGO566,"13.202482,77.700157",0,31,272
1552751441,2019-03-16T15:50:41Z,IGO566,"13.202488,77.699524",0,32,270
1552751448,2019-03-16T15:50:48Z,IGO566,"13.202494,77.698997",0,34,270
1552751456,2019-03-16T15:50:56Z,IGO566,"13.202494,77.698517",0,15,270
1552751462,2019-03-16T15:51:02Z,IGO566,"13.202506,77.698013",0,16,270
1552751468,2019-03-16T15:51:08Z,IGO566,"13.202506,77.697563",0,16,270
1552751475,2019-03-16T15:51:15Z,IGO566,"13.202506,77.696953",0,17,270
1552751481,2019-03-16T15:51:21Z,IGO566,"13.202518,77.696503",0,18,270
1552751488,2019-03-16T15:51:28Z,IGO566,"13.202522,77.695877",0,19,270
1552751500,2019-03-16T15:51:40Z,IGO566,"13.202534,77.69471",0,20,270
1552751508,2019-03-16T15:51:48Z,IGO566,"13.20254,77.694",0,16,270
1552751515,2019-03-16T15:51:55Z,IGO566,"13.202591,77.693634",0,28,286
1552751539,2019-03-16T15:52:19Z,IGO566,"13.203774,77.693352",0,29,2
1552751554,2019-03-16T15:52:34Z,IGO566,"13.204662,77.693359",0,30,2
1552751560,2019-03-16T15:52:40Z,IGO566,"13.205031,77.693336",0,29,348
1552751572,2019-03-16T15:52:52Z,IGO566,"13.205395,77.692818",0,28,278
1552751579,2019-03-16T15:52:59Z,IGO566,"13.205406,77.692459",0,29,270
1552751588,2019-03-16T15:53:08Z,IGO566,"13.205406,77.691879",0,31,270
1552751633,2019-03-16T15:53:53Z,IGO566,"13.205441,77.688721",0,28,270
1552751648,2019-03-16T15:54:08Z,IGO566,"13.205441,77.687881",0,29,270
1552751656,2019-03-16T15:54:16Z,IGO566,"13.205439,77.687408",0,31,270
1552751664,2019-03-16T15:54:24Z,IGO566,"13.205463,77.68679",0,33,272
1552751682,2019-03-16T15:54:42Z,IGO566,"13.206125,77.686195",0,19,319
1552751912,2019-03-16T15:58:32Z,IGO566,"13.206482,77.686188",0,19,359
1552751924,2019-03-16T15:58:44Z,IGO566,"13.206905,77.686302",0,20,25
1552751939,2019-03-16T15:58:59Z,IGO566,"13.20718,77.687012",0,16,90
1552751945,2019-03-16T15:59:05Z,IGO566,"13.207157,77.687592",0,24,92
1552751955,2019-03-16T15:59:15Z,IGO566,"13.207126,77.690483",0,72,90
1552751963,2019-03-16T15:59:23Z,IGO566,"13.207091,77.694298",0,105,90
1552751971,2019-03-16T15:59:31Z,IGO566,"13.207054,77.698662",0,135,90
1552751979,2019-03-16T15:59:39Z,IGO566,"13.207008,77.705147",0,160,90
1552751986,2019-03-16T15:59:46Z,IGO566,"13.206985,77.709427",2925,176,90
1552751995,2019-03-16T15:59:55Z,IGO566,"13.206963,77.717476",3300,171,90
1552752007,2019-03-16T16:00:07Z,IGO566,"13.207169,77.727516",3825,169,88
1552752013,2019-03-16T16:00:13Z,IGO566,"13.207242,77.731888",3950,173,88
1552752037,2019-03-16T16:00:37Z,IGO566,"13.207009,77.754051",4425,206,91
1552752049,2019-03-16T16:00:49Z,IGO566,"13.20673,77.767059",4750,224,91
1552752055,2019-03-16T16:00:55Z,IGO566,"13.206637,77.773857",4950,232,91
1552752061,2019-03-16T16:01:01Z,IGO566,"13.206528,77.779984",5100,239,90
1552752091,2019-03-16T16:01:31Z,IGO566,"13.212829,77.817123",6275,271,61
1552752098,2019-03-16T16:01:38Z,IGO566,"13.217577,77.823486",6575,273,51
1552752104,2019-03-16T16:01:44Z,IGO566,"13.222465,77.82811",6900,275,41
1552752112,2019-03-16T16:01:52Z,IGO566,"13.232614,77.834183",7375,278,25
1552752119,2019-03-16T16:01:59Z,IGO566,"13.241089,77.836716",7775,279,15
1552752125,2019-03-16T16:02:05Z,IGO566,"13.24886,77.837463",8150,279,4
1552752147,2019-03-16T16:02:27Z,IGO566,"13.276703,77.833969",9175,285,351
1552752155,2019-03-16T16:02:35Z,IGO566,"13.287506,77.832359",9375,286,351
1552752167,2019-03-16T16:02:47Z,IGO566,"13.304214,77.829895",9600,299,351
1552752179,2019-03-16T16:02:59Z,IGO566,"13.321381,77.827477",9800,317,352
1552752192,2019-03-16T16:03:12Z,IGO566,"13.340744,77.824783",9900,333,352
1552752205,2019-03-16T16:03:25Z,IGO566,"13.358734,77.822319",9950,337,351
1552752213,2019-03-16T16:03:33Z,IGO566,"13.373337,77.818199",10000,340,340
1552752219,2019-03-16T16:03:39Z,IGO566,"13.382558,77.813751",10075,342,333
1552752225,2019-03-16T16:03:45Z,IGO566,"13.389542,77.809769",10175,343,330
1552752231,2019-03-16T16:03:51Z,IGO566,"13.398422,77.804558",10300,344,330
1552752237,2019-03-16T16:03:57Z,IGO566,"13.407532,77.799118",10475,346,329
1552752253,2019-03-16T16:04:13Z,IGO566,"13.427536,77.787041",10925,347,329
1552752265,2019-03-16T16:04:25Z,IGO566,"13.445962,77.775833",11500,351,329
1552752277,2019-03-16T16:04:37Z,IGO566,"13.462418,77.765915",11950,356,329
1552752289,2019-03-16T16:04:49Z,IGO566,"13.480591,77.754982",12425,361,329
1552752322,2019-03-16T16:05:22Z,IGO566,"13.526093,77.727798",14175,358,329
1552752365,2019-03-16T16:06:05Z,IGO566,"13.592239,77.688538",16050,368,329
1552752399,2019-03-16T16:06:39Z,IGO566,"13.640644,77.659752",17150,381,329
1552752431,2019-03-16T16:07:11Z,IGO566,"13.693154,77.628479",18150,396,329
1552752495,2019-03-16T16:08:15Z,IGO566,"13.792053,77.569725",20975,388,329
1552752559,2019-03-16T16:09:19Z,IGO566,"13.89412,77.509026",23200,394,329
1552752619,2019-03-16T16:10:19Z,IGO566,"13.989578,77.452049",24900,407,329
1552752682,2019-03-16T16:11:22Z,IGO566,"14.094667,77.389282",26375,413,329
1552752745,2019-03-16T16:12:25Z,IGO566,"14.200516,77.326042",27825,426,329
1552752809,2019-03-16T16:13:29Z,IGO566,"14.309041,77.261108",29775,423,329
1552752869,2019-03-16T16:14:29Z,IGO566,"14.409714,77.200836",31475,415,329
1552752932,2019-03-16T16:15:32Z,IGO566,"14.514709,77.135254",32000,418,323
1552752995,2019-03-16T16:16:35Z,IGO566,"14.612468,77.057961",32000,425,322
1552753059,2019-03-16T16:17:39Z,IGO566,"14.712067,76.979591",32000,420,322
1552753119,2019-03-16T16:18:39Z,IGO566,"14.803006,76.907768",31950,415,322
1552753181,2019-03-16T16:19:41Z,IGO566,"14.900757,76.830475",31975,412,322
1552753245,2019-03-16T16:20:45Z,IGO566,"14.996613,76.754486",31975,412,322
1552753308,2019-03-16T16:21:48Z,IGO566,"15.091817,76.679031",32000,415,322
1552753371,2019-03-16T16:22:51Z,IGO566,"15.188873,76.602074",32025,415,322
1552753431,2019-03-16T16:23:51Z,IGO566,"15.280167,76.529633",32050,414,322
1552753494,2019-03-16T16:24:54Z,IGO566,"15.376949,76.452782",32000,409,322
1552753558,2019-03-16T16:25:58Z,IGO566,"15.47113,76.377625",31975,404,322
1552753621,2019-03-16T16:27:01Z,IGO566,"15.564462,76.303337",31950,402,322
1552753681,2019-03-16T16:28:01Z,IGO566,"15.654327,76.231575",32000,403,322
1552753745,2019-03-16T16:29:05Z,IGO566,"15.747574,76.157036",32025,405,322
1552753808,2019-03-16T16:30:08Z,IGO566,"15.841415,76.081818",32025,408,322
1552753871,2019-03-16T16:31:11Z,IGO566,"15.937408,76.004913",32050,411,322
1552753934,2019-03-16T16:32:14Z,IGO566,"16.032532,75.92868",32025,414,322
1552753997,2019-03-16T16:33:17Z,IGO566,"16.130081,75.850334",32025,416,322
1552754061,2019-03-16T16:34:21Z,IGO566,"16.226578,75.772804",32025,416,322
1552754124,2019-03-16T16:35:24Z,IGO566,"16.322426,75.695755",32025,417,322
1552754187,2019-03-16T16:36:27Z,IGO566,"16.419207,75.617668",32000,416,322
1552754247,2019-03-16T16:37:27Z,IGO566,"16.51062,75.543869",31975,416,322
1552754311,2019-03-16T16:38:31Z,IGO566,"16.607279,75.464256",32000,411,317
1552754321,2019-03-16T16:38:41Z,IGO566,"16.61792,75.45208",31975,406,311
1552754329,2019-03-16T16:38:49Z,IGO566,"16.628134,75.438698",32000,402,307
1552754335,2019-03-16T16:38:55Z,IGO566,"16.635635,75.428513",32000,402,307
1552754401,2019-03-16T16:40:01Z,IGO566,"16.711807,75.327614",32000,403,308
1552754461,2019-03-16T16:41:01Z,IGO566,"16.78125,75.235962",32000,403,308
1552754525,2019-03-16T16:42:05Z,IGO566,"16.854858,75.138245",32000,403,308
1552754589,2019-03-16T16:43:09Z,IGO566,"16.927505,75.04187",32000,405,308
1552754651,2019-03-16T16:44:11Z,IGO566,"17.000702,74.944733",32000,407,307
1552754711,2019-03-16T16:45:11Z,IGO566,"17.071014,74.851105",32025,408,307
1552754774,2019-03-16T16:46:14Z,IGO566,"17.144211,74.753822",32050,404,308
1552754839,2019-03-16T16:47:19Z,IGO566,"17.217545,74.655861",32000,399,307
1552754908,2019-03-16T16:48:28Z,IGO566,"17.294016,74.553711",31525,374,307
1552754970,2019-03-16T16:49:30Z,IGO566,"17.360214,74.465034",31000,370,307
1552755030,2019-03-16T16:50:30Z,IGO566,"17.423851,74.379845",30525,362,307
1552755093,2019-03-16T16:51:33Z,IGO566,"17.488403,74.293404",29825,359,307
1552755176,2019-03-16T16:52:56Z,IGO566,"17.570024,74.184006",28700,334,307
1552755184,2019-03-16T16:53:04Z,IGO566,"17.577667,74.173759",28625,335,308
1552755274,2019-03-16T16:54:34Z,IGO566,"17.6642,74.057167",27375,340,307
1552755313,2019-03-16T16:55:13Z,IGO566,"17.704651,74.006653",26800,341,317
1552755319,2019-03-16T16:55:19Z,IGO566,"17.711929,74.000244",26725,342,320
1552755325,2019-03-16T16:55:25Z,IGO566,"17.719038,73.994095",26625,342,320
1552755331,2019-03-16T16:55:31Z,IGO566,"17.72658,73.987572",26550,341,320
1552755394,2019-03-16T16:56:34Z,IGO566,"17.802786,73.921165",25600,340,320
1552755458,2019-03-16T16:57:38Z,IGO566,"17.879883,73.853325",24650,338,319
1552755521,2019-03-16T16:58:41Z,IGO566,"17.954826,73.787071",23725,334,319
1552755584,2019-03-16T16:59:44Z,IGO566,"18.029543,73.721451",22400,323,319
1552755645,2019-03-16T17:00:45Z,IGO566,"18.099789,73.659454",21175,336,319
1552755708,2019-03-16T17:01:48Z,IGO566,"18.175415,73.59288",19875,337,319
1552755772,2019-03-16T17:02:52Z,IGO566,"18.250488,73.526688",18625,322,319
1552755831,2019-03-16T17:03:51Z,IGO566,"18.318192,73.466995",17425,320,319
1552755865,2019-03-16T17:04:25Z,IGO566,"18.356758,73.432816",16750,322,319
1552755898,2019-03-16T17:04:58Z,IGO566,"18.393301,73.400406",16100,318,319
1552755931,2019-03-16T17:05:31Z,IGO566,"18.431288,73.366798",15425,311,319
1552755965,2019-03-16T17:06:05Z,IGO566,"18.467926,73.334671",14750,306,321
1552755973,2019-03-16T17:06:13Z,IGO566,"18.477814,73.328003",14475,307,329
1552755980,2019-03-16T17:06:20Z,IGO566,"18.486511,73.323883",14275,310,337
1552755989,2019-03-16T17:06:29Z,IGO566,"18.499254,73.319107",14150,308,340
1552755997,2019-03-16T17:06:37Z,IGO566,"18.510195,73.315063",14050,302,340
1552756033,2019-03-16T17:07:13Z,IGO566,"18.557165,73.297035",13625,281,339
1552756066,2019-03-16T17:07:46Z,IGO566,"18.595596,73.281853",13050,272,339
1552756099,2019-03-16T17:08:19Z,IGO566,"18.634232,73.266647",12125,276,339
1552756135,2019-03-16T17:08:55Z,IGO566,"18.67836,73.249382",11175,286,339
1552756155,2019-03-16T17:09:15Z,IGO566,"18.703583,73.23967",10825,282,339
1552756171,2019-03-16T17:09:31Z,IGO566,"18.723587,73.231873",10500,279,339
1552756186,2019-03-16T17:09:46Z,IGO566,"18.740891,73.225105",10250,275,339
1552756206,2019-03-16T17:10:06Z,IGO566,"18.766649,73.214935",9850,273,339
1552756222,2019-03-16T17:10:22Z,IGO566,"18.783596,73.208298",9575,269,339
1552756237,2019-03-16T17:10:37Z,IGO566,"18.800959,73.201508",9275,269,339
1552756250,2019-03-16T17:10:50Z,IGO566,"18.817795,73.194893",9025,268,339
1552756267,2019-03-16T17:11:07Z,IGO566,"18.83638,73.187584",8700,266,339
1552756283,2019-03-16T17:11:23Z,IGO566,"18.853703,73.180878",8450,264,339
1552756297,2019-03-16T17:11:37Z,IGO566,"18.871536,73.17395",8150,260,340
1552756307,2019-03-16T17:11:47Z,IGO566,"18.883026,73.171738",8025,262,354
1552756328,2019-03-16T17:12:08Z,IGO566,"18.907516,73.179886",8000,271,34
1552756335,2019-03-16T17:12:15Z,IGO566,"18.913925,73.186111",8000,271,46
1552756343,2019-03-16T17:12:23Z,IGO566,"18.920013,73.195625",7975,269,60
1552756353,2019-03-16T17:12:33Z,IGO566,"18.924696,73.206497",7950,265,66
1552756359,2019-03-16T17:12:39Z,IGO566,"18.927395,73.213387",7925,263,67
1552756367,2019-03-16T17:12:47Z,IGO566,"18.931137,73.22319",7875,263,68
1552756385,2019-03-16T17:13:05Z,IGO566,"18.938662,73.243004",7775,263,68
1552756394,2019-03-16T17:13:14Z,IGO566,"18.943409,73.255638",7700,262,68
1552756410,2019-03-16T17:13:30Z,IGO566,"18.950298,73.273712",7600,262,68
1552756419,2019-03-16T17:13:39Z,IGO566,"18.956497,73.285629",7500,261,56
1552756426,2019-03-16T17:13:46Z,IGO566,"18.960068,73.289894",7475,261,47
1552756435,2019-03-16T17:13:55Z,IGO566,"18.970642,73.297684",7400,261,29
1552756446,2019-03-16T17:14:06Z,IGO566,"18.982864,73.301369",7350,258,9
1552756455,2019-03-16T17:14:15Z,IGO566,"18.993942,73.301956",7300,256,1
