Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552831602,2019-03-17T14:06:42Z,IGO566,"13.20171,77.706276",0,0,180
1552831705,2019-03-17T14:08:25Z,IGO566,"13.201923,77.706276",0,2,165
1552831729,2019-03-17T14:08:49Z,IGO566,"13.202133,77.706215",0,9,174
1552831751,2019-03-17T14:09:11Z,IGO566,"13.202339,77.706146",0,9,239
1552831952,2019-03-17T14:12:32Z,IGO566,"13.202431,77.706299",0,0,89
1552831978,2019-03-17T14:12:58Z,IGO566,"13.202431,77.705994",0,18,270
1552831987,2019-03-17T14:13:07Z,IGO566,"13.202431,77.705673",0,22,270
1552831995,2019-03-17T14:13:15Z,IGO566,"13.202435,77.705338",0,24,270
1552832001,2019-03-17T14:13:21Z,IGO566,"13.202435,77.704971",0,26,270
1552832008,2019-03-17T14:13:28Z,IGO566,"13.202442,77.704628",0,28,270
1552832014,2019-03-17T14:13:34Z,IGO566,"13.202465,77.704262",0,28,281
1552832020,2019-03-17T14:13:40Z,IGO566,"13.202648,77.704018",0,28,315
1552832027,2019-03-17T14:13:47Z,IGO566,"13.20298,77.703918",0,27,357
1552832034,2019-03-17T14:13:54Z,IGO566,"13.203415,77.703934",0,27,1
1552832040,2019-03-17T14:14:00Z,IGO566,"13.203728,77.703926",0,28,357
1552832047,2019-03-17T14:14:07Z,IGO566,"13.204065,77.703941",0,28,2
1552832056,2019-03-17T14:14:16Z,IGO566,"13.204548,77.703934",0,27,358
1552832062,2019-03-17T14:14:22Z,IGO566,"13.204914,77.703934",0,27,357
1552832068,2019-03-17T14:14:28Z,IGO566,"13.205182,77.703819",0,28,323
1552832074,2019-03-17T14:14:34Z,IGO566,"13.205303,77.703506",0,30,278
1552832080,2019-03-17T14:14:40Z,IGO566,"13.205303,77.703117",0,30,270
1552832087,2019-03-17T14:14:47Z,IGO566,"13.205315,77.702667",0,15,270
1552832096,2019-03-17T14:14:56Z,IGO566,"13.205322,77.701988",0,18,270
1552832103,2019-03-17T14:15:03Z,IGO566,"13.205326,77.701324",0,20,270
1552832118,2019-03-17T14:15:18Z,IGO566,"13.205338,77.69986",0,21,270
1552832145,2019-03-17T14:15:45Z,IGO566,"13.205357,77.697014",0,22,270
1552832163,2019-03-17T14:16:03Z,IGO566,"13.205372,77.695076",0,24,270
1552832178,2019-03-17T14:16:18Z,IGO566,"13.205395,77.693146",0,25,270
1552832187,2019-03-17T14:16:27Z,IGO566,"13.205403,77.692146",0,26,270
1552832197,2019-03-17T14:16:37Z,IGO566,"13.205415,77.690926",0,26,270
1552832239,2019-03-17T14:17:19Z,IGO566,"13.205521,77.686432",0,26,289
1552832429,2019-03-17T14:20:29Z,IGO566,"13.206276,77.686188",0,15,357
1552832451,2019-03-17T14:20:51Z,IGO566,"13.207146,77.686516",0,28,47
1552832460,2019-03-17T14:21:00Z,IGO566,"13.207169,77.68705",0,29,90
1552832466,2019-03-17T14:21:06Z,IGO566,"13.207157,77.6875",0,15,90
1552832477,2019-03-17T14:21:17Z,IGO566,"13.20715,77.688652",0,37,90
1552832485,2019-03-17T14:21:25Z,IGO566,"13.207123,77.691666",0,82,90
1552832491,2019-03-17T14:21:31Z,IGO566,"13.207103,77.694527",0,105,90
1552832497,2019-03-17T14:21:37Z,IGO566,"13.207077,77.697678",0,125,90
1552832503,2019-03-17T14:21:43Z,IGO566,"13.207043,77.701622",0,145,90
1552832509,2019-03-17T14:21:49Z,IGO566,"13.206997,77.707245",0,0,90
1552832555,2019-03-17T14:22:35Z,IGO566,"13.206917,77.745041",4325,190,90
1552832561,2019-03-17T14:22:41Z,IGO566,"13.206894,77.751053",4450,200,90
1552832567,2019-03-17T14:22:47Z,IGO566,"13.206823,77.757133",4575,210,90
1552832573,2019-03-17T14:22:53Z,IGO566,"13.206802,77.76265",4725,217,90
1552832579,2019-03-17T14:22:59Z,IGO566,"13.206684,77.769424",4900,225,90
1552832597,2019-03-17T14:23:17Z,IGO566,"13.206358,77.789711",5475,248,91
1552832622,2019-03-17T14:23:42Z,IGO566,"13.21138,77.817627",6675,256,64
1552832631,2019-03-17T14:23:51Z,IGO566,"13.218338,77.826767",7150,256,46
1552832637,2019-03-17T14:23:57Z,IGO566,"13.224374,77.831482",7475,255,36
1552832643,2019-03-17T14:24:03Z,IGO566,"13.229645,77.834488",7650,259,29
1552832649,2019-03-17T14:24:09Z,IGO566,"13.237106,77.837234",7800,267,18
1552832655,2019-03-17T14:24:15Z,IGO566,"13.244934,77.838463",7925,276,6
1552832677,2019-03-17T14:24:37Z,IGO566,"13.273812,77.834763",8400,308,350
1552832683,2019-03-17T14:24:43Z,IGO566,"13.28334,77.83316",8525,315,350
1552832694,2019-03-17T14:24:54Z,IGO566,"13.300323,77.83046",8775,329,351
1552832706,2019-03-17T14:25:06Z,IGO566,"13.320317,77.827438",9025,344,351
1552832718,2019-03-17T14:25:18Z,IGO566,"13.339096,77.824074",9275,356,348
1552832725,2019-03-17T14:25:25Z,IGO566,"13.349075,77.820847",9400,364,340
1552832731,2019-03-17T14:25:31Z,IGO566,"13.358459,77.816444",9500,372,334
1552832737,2019-03-17T14:25:37Z,IGO566,"13.367065,77.811661",9650,377,330
1552832743,2019-03-17T14:25:43Z,IGO566,"13.376587,77.806168",9750,379,330
1552832749,2019-03-17T14:25:49Z,IGO566,"13.386422,77.800407",9875,381,330
1552832764,2019-03-17T14:26:04Z,IGO566,"13.409512,77.786766",10225,382,329
1552832776,2019-03-17T14:26:16Z,IGO566,"13.428645,77.775398",10525,384,329
1552832787,2019-03-17T14:26:27Z,IGO566,"13.445962,77.765137",10725,384,329
1552832800,2019-03-17T14:26:40Z,IGO566,"13.46553,77.753609",10900,386,330
1552832812,2019-03-17T14:26:52Z,IGO566,"13.483344,77.743111",11100,387,329
1552832824,2019-03-17T14:27:04Z,IGO566,"13.504106,77.730919",11550,391,330
1552832835,2019-03-17T14:27:15Z,IGO566,"13.520966,77.721024",12000,395,330
1552832842,2019-03-17T14:27:22Z,IGO566,"13.532456,77.714294",12300,396,330
1552832903,2019-03-17T14:28:23Z,IGO566,"13.62854,77.65802",15750,380,330
1552832936,2019-03-17T14:28:56Z,IGO566,"13.677466,77.629349",17025,385,330
1552832969,2019-03-17T14:29:29Z,IGO566,"13.731537,77.597618",17800,405,330
1552833003,2019-03-17T14:30:03Z,IGO566,"13.785468,77.565979",18600,417,330
1552833062,2019-03-17T14:31:02Z,IGO566,"13.888367,77.505608",20525,418,330
1552833126,2019-03-17T14:32:06Z,IGO566,"13.994247,77.443336",22700,410,330
1552833189,2019-03-17T14:33:09Z,IGO566,"14.100626,77.380806",24375,416,330
1552833252,2019-03-17T14:34:12Z,IGO566,"14.206192,77.318558",26125,421,329
1552833315,2019-03-17T14:35:15Z,IGO566,"14.3134,77.255104",27350,427,330
1552833378,2019-03-17T14:36:18Z,IGO566,"14.42491,77.189697",28575,437,330
1552833443,2019-03-17T14:37:23Z,IGO566,"14.537155,77.123459",29650,448,330
1552833487,2019-03-17T14:38:07Z,IGO566,"14.621292,77.079697",30500,457,340
1552833494,2019-03-17T14:38:14Z,IGO566,"14.633789,77.075356",30625,457,341
1552833500,2019-03-17T14:38:20Z,IGO566,"14.64679,77.07132",30800,457,343
1552833559,2019-03-17T14:39:19Z,IGO566,"14.771257,77.044899",32100,460,349
1552833623,2019-03-17T14:40:23Z,IGO566,"14.905518,77.019608",33525,455,349
1552833686,2019-03-17T14:41:26Z,IGO566,"15.031494,76.993103",35650,422,341
1552833695,2019-03-17T14:41:35Z,IGO566,"15.047872,76.986794",35900,417,338
1552833701,2019-03-17T14:41:41Z,IGO566,"15.05788,76.982574",36075,416,337
1552833707,2019-03-17T14:41:47Z,IGO566,"15.067935,76.977722",36200,413,333
1552833716,2019-03-17T14:41:56Z,IGO566,"15.082972,76.968498",36325,410,326
1552833726,2019-03-17T14:42:06Z,IGO566,"15.096588,76.957397",36475,409,319
