Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552917919,2019-03-18T14:05:19Z,IGO566,"13.201679,77.701927",0,0,180
1552917961,2019-03-18T14:06:01Z,IGO566,"13.201939,77.701927",0,9,163
1552918004,2019-03-18T14:06:44Z,IGO566,"13.202339,77.701797",0,2,236
1552918271,2019-03-18T14:11:11Z,IGO566,"13.202447,77.701912",0,2,270
1552918293,2019-03-18T14:11:33Z,IGO566,"13.202447,77.701576",0,15,270
1552918326,2019-03-18T14:12:06Z,IGO566,"13.202459,77.700478",0,23,270
1552918340,2019-03-18T14:12:20Z,IGO566,"13.202465,77.699867",0,24,270
1552918348,2019-03-18T14:12:28Z,IGO566,"13.202465,77.699448",0,25,270
1552918354,2019-03-18T14:12:34Z,IGO566,"13.202465,77.699211",0,27,270
1552918361,2019-03-18T14:12:41Z,IGO566,"13.202477,77.698746",0,29,270
1552918371,2019-03-18T14:12:51Z,IGO566,"13.202477,77.698227",0,31,270
1552918379,2019-03-18T14:12:59Z,IGO566,"13.202482,77.697563",0,33,270
1552918389,2019-03-18T14:13:09Z,IGO566,"13.202488,77.696968",0,32,270
1552918405,2019-03-18T14:13:25Z,IGO566,"13.202488,77.696175",0,23,270
1552918418,2019-03-18T14:13:38Z,IGO566,"13.202499,77.695564",0,26,270
1552918424,2019-03-18T14:13:44Z,IGO566,"13.202499,77.695221",0,28,270
1552918431,2019-03-18T14:13:51Z,IGO566,"13.202506,77.694832",0,30,270
1552918444,2019-03-18T14:14:04Z,IGO566,"13.202506,77.694122",0,31,270
1552918455,2019-03-18T14:14:15Z,IGO566,"13.202591,77.69355",0,20,298
1552918469,2019-03-18T14:14:29Z,IGO566,"13.202983,77.693321",0,19,351
1552918476,2019-03-18T14:14:36Z,IGO566,"13.203227,77.693336",0,19,2
1552918482,2019-03-18T14:14:42Z,IGO566,"13.203437,77.693336",0,22,2
1552918497,2019-03-18T14:14:57Z,IGO566,"13.204124,77.693336",0,24,2
1552918503,2019-03-18T14:15:03Z,IGO566,"13.204368,77.693336",0,25,2
1552918510,2019-03-18T14:15:10Z,IGO566,"13.204705,77.693352",0,24,6
1552918528,2019-03-18T14:15:28Z,IGO566,"13.205303,77.693123",0,19,306
1552918537,2019-03-18T14:15:37Z,IGO566,"13.205383,77.692841",0,20,275
1552918543,2019-03-18T14:15:43Z,IGO566,"13.205383,77.692635",0,20,270
1552918549,2019-03-18T14:15:49Z,IGO566,"13.20538,77.692337",0,22,270
1552918560,2019-03-18T14:16:00Z,IGO566,"13.20538,77.691902",0,25,270
1552918573,2019-03-18T14:16:13Z,IGO566,"13.205392,77.691154",0,28,270
1552918584,2019-03-18T14:16:24Z,IGO566,"13.205395,77.690506",0,31,270
1552918597,2019-03-18T14:16:37Z,IGO566,"13.205406,77.689598",0,34,270
1552918621,2019-03-18T14:17:01Z,IGO566,"13.205418,77.687889",0,16,270
1552918643,2019-03-18T14:17:23Z,IGO566,"13.205508,77.68647",0,24,295
1552918655,2019-03-18T14:17:35Z,IGO566,"13.20599,77.686188",0,23,351
1552918670,2019-03-18T14:17:50Z,IGO566,"13.206591,77.686195",0,25,5
1552918678,2019-03-18T14:17:58Z,IGO566,"13.207009,77.68647",0,29,32
1552918688,2019-03-18T14:18:08Z,IGO566,"13.207137,77.68718",0,18,90
1552918700,2019-03-18T14:18:20Z,IGO566,"13.207126,77.689232",0,54,90
1552918706,2019-03-18T14:18:26Z,IGO566,"13.207103,77.691467",0,82,90
