Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553009642,2019-03-19T15:34:02Z,IGO566,"13.201737,77.708382",0,9,174
1553009663,2019-03-19T15:34:23Z,IGO566,"13.201939,77.708359",0,9,163
1553009688,2019-03-19T15:34:48Z,IGO566,"13.202145,77.708275",0,2,191
1553009712,2019-03-19T15:35:12Z,IGO566,"13.202362,77.70829",0,9,253
1553009799,2019-03-19T15:36:39Z,IGO566,"13.202401,77.707985",0,2,270
1553010015,2019-03-19T15:40:15Z,IGO566,"13.202401,77.707756",0,13,270
1553010025,2019-03-19T15:40:25Z,IGO566,"13.202413,77.707512",0,17,270
1553010034,2019-03-19T15:40:34Z,IGO566,"13.202408,77.707161",0,22,270
1553010048,2019-03-19T15:40:48Z,IGO566,"13.202419,77.706551",0,20,270
1553010055,2019-03-19T15:40:55Z,IGO566,"13.202419,77.706276",0,21,270
1553010067,2019-03-19T15:41:07Z,IGO566,"13.202419,77.705803",0,21,270
1553010079,2019-03-19T15:41:19Z,IGO566,"13.202419,77.70533",0,21,270
1553010091,2019-03-19T15:41:31Z,IGO566,"13.202431,77.704773",0,25,270
1553010097,2019-03-19T15:41:37Z,IGO566,"13.202435,77.704491",0,24,270
1553010109,2019-03-19T15:41:49Z,IGO566,"13.202552,77.704056",0,21,298
1553010124,2019-03-19T15:42:04Z,IGO566,"13.203053,77.703911",0,19,348
1553010130,2019-03-19T15:42:10Z,IGO566,"13.203262,77.703911",0,19,348
1553010137,2019-03-19T15:42:17Z,IGO566,"13.203484,77.703918",0,21,1
1553010149,2019-03-19T15:42:29Z,IGO566,"13.204019,77.703926",0,25,359
1553010156,2019-03-19T15:42:36Z,IGO566,"13.204379,77.703941",0,26,17
1553010166,2019-03-19T15:42:46Z,IGO566,"13.204868,77.703941",0,25,3
1553010173,2019-03-19T15:42:53Z,IGO566,"13.205171,77.703781",0,25,323
1553010219,2019-03-19T15:43:39Z,IGO566,"13.205311,77.701164",0,31,270
1553010227,2019-03-19T15:43:47Z,IGO566,"13.205311,77.700661",0,32,270
1553010233,2019-03-19T15:43:53Z,IGO566,"13.205315,77.700294",0,33,270
1553010239,2019-03-19T15:43:59Z,IGO566,"13.205315,77.699844",0,34,270
1553010248,2019-03-19T15:44:08Z,IGO566,"13.205326,77.699158",0,15,270
1553010260,2019-03-19T15:44:20Z,IGO566,"13.205338,77.69825",0,16,270
1553010271,2019-03-19T15:44:31Z,IGO566,"13.205338,77.697334",0,17,270
1553010279,2019-03-19T15:44:39Z,IGO566,"13.205349,77.696671",0,18,270
1553010290,2019-03-19T15:44:50Z,IGO566,"13.20536,77.695587",0,20,270
1553010301,2019-03-19T15:45:01Z,IGO566,"13.205369,77.694626",0,21,270
1553010307,2019-03-19T15:45:07Z,IGO566,"13.205372,77.694046",0,21,270
1553010315,2019-03-19T15:45:15Z,IGO566,"13.20538,77.693062",0,22,270
1553010321,2019-03-19T15:45:21Z,IGO566,"13.20538,77.692398",0,23,270
1553010327,2019-03-19T15:45:27Z,IGO566,"13.205392,77.69175",0,24,270
1553010334,2019-03-19T15:45:34Z,IGO566,"13.205392,77.690987",0,24,270
1553010344,2019-03-19T15:45:44Z,IGO566,"13.205406,77.689697",0,24,270
1553010350,2019-03-19T15:45:50Z,IGO566,"13.205415,77.689087",0,19,270
1553010394,2019-03-19T15:46:34Z,IGO566,"13.205427,77.687004",0,17,270
1553010404,2019-03-19T15:46:44Z,IGO566,"13.205439,77.68663",0,20,272
1553010411,2019-03-19T15:46:51Z,IGO566,"13.205497,77.686386",0,20,286
1553010420,2019-03-19T15:47:00Z,IGO566,"13.205727,77.686195",0,19,326
1553010427,2019-03-19T15:47:07Z,IGO566,"13.205933,77.686172",0,19,351
1553010439,2019-03-19T15:47:19Z,IGO566,"13.20615,77.686188",0,2,28
1553010476,2019-03-19T15:47:56Z,IGO566,"13.206356,77.686188",0,12,10
1553010484,2019-03-19T15:48:04Z,IGO566,"13.206579,77.68618",0,17,359
1553010496,2019-03-19T15:48:16Z,IGO566,"13.20702,77.686302",0,23,25
1553010503,2019-03-19T15:48:23Z,IGO566,"13.207157,77.686584",0,24,67
1553010512,2019-03-19T15:48:32Z,IGO566,"13.207157,77.686966",0,24,90
1553010518,2019-03-19T15:48:38Z,IGO566,"13.20715,77.68734",0,31,90
1553010524,2019-03-19T15:48:44Z,IGO566,"13.207134,77.687958",0,23,92
1553010530,2019-03-19T15:48:50Z,IGO566,"13.207126,77.689346",0,55,90
1553010567,2019-03-19T15:49:27Z,IGO566,"13.206917,77.712273",3075,176,90
1553010576,2019-03-19T15:49:36Z,IGO566,"13.206917,77.719505",3425,171,90
1553010583,2019-03-19T15:49:43Z,IGO566,"13.20694,77.72467",3700,171,89
1553010594,2019-03-19T15:49:54Z,IGO566,"13.206985,77.734329",4150,172,90
1553010600,2019-03-19T15:50:00Z,IGO566,"13.206985,77.739349",4250,180,90
1553010606,2019-03-19T15:50:06Z,IGO566,"13.20694,77.744843",4400,188,90
1553010615,2019-03-19T15:50:15Z,IGO566,"13.206823,77.753235",4550,200,90
1553010621,2019-03-19T15:50:21Z,IGO566,"13.206684,77.759399",4675,210,91
1553010627,2019-03-19T15:50:27Z,IGO566,"13.206591,77.765617",4800,221,91
1553010633,2019-03-19T15:50:33Z,IGO566,"13.20645,77.771828",4975,228,91
1553010642,2019-03-19T15:50:42Z,IGO566,"13.206253,77.782303",5350,236,90
1553010664,2019-03-19T15:51:04Z,IGO566,"13.212616,77.805412",6250,250,60
1553010673,2019-03-19T15:51:13Z,IGO566,"13.22049,77.813744",6700,256,40
