Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553090826,2019-03-20T14:07:06Z,IGO566,"13.202389,77.701805",0,2,241
1553091174,2019-03-20T14:12:54Z,IGO566,"13.202459,77.701851",0,10,272
1553091188,2019-03-20T14:13:08Z,IGO566,"13.202459,77.701591",0,15,270
1553091200,2019-03-20T14:13:20Z,IGO566,"13.202465,77.701302",0,18,270
1553091245,2019-03-20T14:14:05Z,IGO566,"13.202482,77.699478",0,25,270
1553091252,2019-03-20T14:14:12Z,IGO566,"13.202477,77.699089",0,27,270
1553091258,2019-03-20T14:14:18Z,IGO566,"13.202482,77.698784",0,28,270
1553091267,2019-03-20T14:14:27Z,IGO566,"13.202494,77.698242",0,31,270
1553091284,2019-03-20T14:14:44Z,IGO566,"13.202499,77.697456",0,16,270
1553091297,2019-03-20T14:14:57Z,IGO566,"13.202494,77.697128",0,18,270
1553091309,2019-03-20T14:15:09Z,IGO566,"13.202506,77.696892",0,10,270
1553091324,2019-03-20T14:15:24Z,IGO566,"13.202506,77.696648",0,16,270
1553091337,2019-03-20T14:15:37Z,IGO566,"13.202511,77.69632",0,19,270
1553091352,2019-03-20T14:15:52Z,IGO566,"13.202506,77.69577",0,22,270
1553091363,2019-03-20T14:16:03Z,IGO566,"13.202511,77.695251",0,23,270
1553091370,2019-03-20T14:16:10Z,IGO566,"13.202511,77.69503",0,17,270
1553091527,2019-03-20T14:18:47Z,IGO566,"13.202522,77.694687",0,16,270
1553091537,2019-03-20T14:18:57Z,IGO566,"13.202522,77.694427",0,19,270
1553091544,2019-03-20T14:19:04Z,IGO566,"13.202522,77.694214",0,19,270
1553091562,2019-03-20T14:19:22Z,IGO566,"13.202599,77.693542",0,21,289
1553091569,2019-03-20T14:19:29Z,IGO566,"13.202808,77.693359",0,20,329
1553091585,2019-03-20T14:19:45Z,IGO566,"13.203392,77.693321",0,22,357
1553091594,2019-03-20T14:19:54Z,IGO566,"13.203774,77.693321",0,24,357
1553091600,2019-03-20T14:20:00Z,IGO566,"13.204067,77.693321",0,25,357
1553091615,2019-03-20T14:20:15Z,IGO566,"13.204799,77.693336",0,24,1
1553091624,2019-03-20T14:20:24Z,IGO566,"13.205212,77.693214",0,24,329
1553091634,2019-03-20T14:20:34Z,IGO566,"13.205369,77.692902",0,23,281
1553091643,2019-03-20T14:20:43Z,IGO566,"13.205395,77.692474",0,24,272
1553091652,2019-03-20T14:20:52Z,IGO566,"13.205403,77.692047",0,27,270
1553091674,2019-03-20T14:21:14Z,IGO566,"13.205403,77.690666",0,33,270
1553091687,2019-03-20T14:21:27Z,IGO566,"13.205418,77.689697",0,32,270
1553091853,2019-03-20T14:24:13Z,IGO566,"13.205429,77.68763",0,20,270
1553091860,2019-03-20T14:24:20Z,IGO566,"13.205441,77.687355",0,22,270
1553092052,2019-03-20T14:27:32Z,IGO566,"13.205497,77.68647",0,16,284
1553092086,2019-03-20T14:28:06Z,IGO566,"13.206125,77.686172",0,13,354
1553092100,2019-03-20T14:28:20Z,IGO566,"13.206402,77.686172",0,16,354
