Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553176300,2019-03-21T13:51:40Z,IGO566,"13.201675,77.704651",0,0,180
1553176333,2019-03-21T13:52:13Z,IGO566,"13.201927,77.704666",0,10,165
1553176366,2019-03-21T13:52:46Z,IGO566,"13.202305,77.704536",0,9,225
1553176630,2019-03-21T13:57:10Z,IGO566,"13.202435,77.704262",0,18,270
1553176637,2019-03-21T13:57:17Z,IGO566,"13.202442,77.704002",0,20,270
1553176681,2019-03-21T13:58:01Z,IGO566,"13.202465,77.701637",0,33,270
1553176696,2019-03-21T13:58:16Z,IGO566,"13.202471,77.700554",0,16,270
1553176713,2019-03-21T13:58:33Z,IGO566,"13.202482,77.699455",0,28,270
1553176721,2019-03-21T13:58:41Z,IGO566,"13.202488,77.698982",0,30,270
1553176728,2019-03-21T13:58:48Z,IGO566,"13.202482,77.698563",0,32,270
1553176734,2019-03-21T13:58:54Z,IGO566,"13.202488,77.698128",0,34,270
1553176740,2019-03-21T13:59:00Z,IGO566,"13.202494,77.697647",0,15,270
1553176746,2019-03-21T13:59:06Z,IGO566,"13.202494,77.697289",0,16,270
1553176752,2019-03-21T13:59:12Z,IGO566,"13.202499,77.696831",0,31,270
1553176759,2019-03-21T13:59:19Z,IGO566,"13.202499,77.696472",0,28,270
1553176771,2019-03-21T13:59:31Z,IGO566,"13.202506,77.695747",0,32,270
1553176777,2019-03-21T13:59:37Z,IGO566,"13.202511,77.695312",0,34,270
1553176789,2019-03-21T13:59:49Z,IGO566,"13.202522,77.694534",0,30,270
1553176801,2019-03-21T14:00:01Z,IGO566,"13.202529,77.693794",0,29,270
1553176808,2019-03-21T14:00:08Z,IGO566,"13.20261,77.693504",0,25,298
1553176816,2019-03-21T14:00:16Z,IGO566,"13.202957,77.693314",0,23,348
1553176823,2019-03-21T14:00:23Z,IGO566,"13.203262,77.693321",0,24,2
1553176841,2019-03-21T14:00:41Z,IGO566,"13.20417,77.693336",0,29,2
1553176850,2019-03-21T14:00:50Z,IGO566,"13.204708,77.693336",0,29,2
1553176859,2019-03-21T14:00:59Z,IGO566,"13.205223,77.69323",0,29,331
1553176868,2019-03-21T14:01:08Z,IGO566,"13.205395,77.692802",0,28,272
1553176877,2019-03-21T14:01:17Z,IGO566,"13.205392,77.692276",0,30,270
1553176884,2019-03-21T14:01:24Z,IGO566,"13.205395,77.691864",0,32,270
1553176897,2019-03-21T14:01:37Z,IGO566,"13.205406,77.690872",0,15,270
1553176904,2019-03-21T14:01:44Z,IGO566,"13.205415,77.690338",0,16,270
1553176925,2019-03-21T14:02:05Z,IGO566,"13.205427,77.688629",0,18,270
1553176934,2019-03-21T14:02:14Z,IGO566,"13.205439,77.687759",0,19,270
1553176945,2019-03-21T14:02:25Z,IGO566,"13.205439,77.686821",0,16,270
1553176955,2019-03-21T14:02:35Z,IGO566,"13.205681,77.686256",0,28,315
1553176966,2019-03-21T14:02:46Z,IGO566,"13.206196,77.686172",0,28,351
1553177003,2019-03-21T14:03:23Z,IGO566,"13.207146,77.687271",0,17,95
1553177011,2019-03-21T14:03:31Z,IGO566,"13.207137,77.688408",0,48,92
1553177018,2019-03-21T14:03:38Z,IGO566,"13.207123,77.690674",0,82,92
1553177024,2019-03-21T14:03:44Z,IGO566,"13.207091,77.694817",0,115,92
1553177030,2019-03-21T14:03:50Z,IGO566,"13.207056,77.698242",0,135,90
1553177039,2019-03-21T14:03:59Z,IGO566,"13.207009,77.703758",0,160,90
1553177065,2019-03-21T14:04:25Z,IGO566,"13.207429,77.726341",3975,174,87
1553177072,2019-03-21T14:04:32Z,IGO566,"13.207521,77.731689",4125,177,89
1553177085,2019-03-21T14:04:45Z,IGO566,"13.207475,77.742584",4425,194,91
1553177091,2019-03-21T14:04:51Z,IGO566,"13.207306,77.748306",4575,202,92
