Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553263537,2019-03-22T14:05:37Z,IGO566,"13.201733,77.707069",0,0,180
1553263584,2019-03-22T14:06:24Z,IGO566,"13.201982,77.707069",0,9,160
1553263615,2019-03-22T14:06:55Z,IGO566,"13.20225,77.70694",0,2,210
1553263732,2019-03-22T14:08:52Z,IGO566,"13.202413,77.706734",0,2,270
1553264018,2019-03-22T14:13:38Z,IGO566,"13.202408,77.706665",0,0,124
1553264157,2019-03-22T14:15:57Z,IGO566,"13.202419,77.706367",0,14,272
1553264166,2019-03-22T14:16:06Z,IGO566,"13.202419,77.706131",0,19,270
1553264178,2019-03-22T14:16:18Z,IGO566,"13.202419,77.705696",0,22,270
1553264189,2019-03-22T14:16:29Z,IGO566,"13.202431,77.705139",0,26,270
1553264196,2019-03-22T14:16:36Z,IGO566,"13.202431,77.704803",0,28,270
1553264203,2019-03-22T14:16:43Z,IGO566,"13.202435,77.704468",0,29,270
1553264212,2019-03-22T14:16:52Z,IGO566,"13.202557,77.704041",0,22,306
1553264221,2019-03-22T14:17:01Z,IGO566,"13.202867,77.703926",0,20,354
1553264231,2019-03-22T14:17:11Z,IGO566,"13.203251,77.703926",0,20,354
1553264238,2019-03-22T14:17:18Z,IGO566,"13.203506,77.703934",0,21,1
1553264244,2019-03-22T14:17:24Z,IGO566,"13.203735,77.703934",0,22,1
1553264251,2019-03-22T14:17:31Z,IGO566,"13.203987,77.703934",0,24,1
1553264257,2019-03-22T14:17:37Z,IGO566,"13.204321,77.703926",0,25,344
1553264265,2019-03-22T14:17:45Z,IGO566,"13.204717,77.703941",0,27,4
1553264275,2019-03-22T14:17:55Z,IGO566,"13.205166,77.703827",0,25,326
1553264283,2019-03-22T14:18:03Z,IGO566,"13.205292,77.703491",0,26,278
1553264293,2019-03-22T14:18:13Z,IGO566,"13.205303,77.702904",0,29,270
1553264300,2019-03-22T14:18:20Z,IGO566,"13.205303,77.702499",0,30,270
1553264308,2019-03-22T14:18:28Z,IGO566,"13.205303,77.701942",0,32,270
1553264321,2019-03-22T14:18:41Z,IGO566,"13.205315,77.701103",0,15,270
1553264330,2019-03-22T14:18:50Z,IGO566,"13.205322,77.700325",0,17,270
1553264338,2019-03-22T14:18:58Z,IGO566,"13.205326,77.699646",0,19,270
1553264345,2019-03-22T14:19:05Z,IGO566,"13.205334,77.69902",0,20,270
1553264357,2019-03-22T14:19:17Z,IGO566,"13.205345,77.697731",0,22,270
1553264367,2019-03-22T14:19:27Z,IGO566,"13.205357,77.696556",0,23,270
1553264379,2019-03-22T14:19:39Z,IGO566,"13.20536,77.695297",0,24,270
1553264387,2019-03-22T14:19:47Z,IGO566,"13.205372,77.694366",0,24,270
1553264393,2019-03-22T14:19:53Z,IGO566,"13.205383,77.69355",0,25,270
1553264399,2019-03-22T14:19:59Z,IGO566,"13.205383,77.692886",0,25,270
1553264406,2019-03-22T14:20:06Z,IGO566,"13.205392,77.692093",0,26,270
1553264415,2019-03-22T14:20:15Z,IGO566,"13.205403,77.690941",0,27,270
1553264430,2019-03-22T14:20:30Z,IGO566,"13.205427,77.688721",0,28,270
1553264438,2019-03-22T14:20:38Z,IGO566,"13.205429,77.687935",0,25,270
1553264448,2019-03-22T14:20:48Z,IGO566,"13.205441,77.686905",0,15,270
1553264466,2019-03-22T14:21:06Z,IGO566,"13.205729,77.686226",0,20,329
1553264487,2019-03-22T14:21:27Z,IGO566,"13.206127,77.686172",0,2,357
1553264634,2019-03-22T14:23:54Z,IGO566,"13.20647,77.686188",0,19,2
1553264645,2019-03-22T14:24:05Z,IGO566,"13.206928,77.686295",0,22,25
1553264681,2019-03-22T14:24:41Z,IGO566,"13.207146,77.687119",0,21,90
1553264690,2019-03-22T14:24:50Z,IGO566,"13.207146,77.688019",0,32,92
1553264699,2019-03-22T14:24:59Z,IGO566,"13.207114,77.690758",0,76,90
1553264709,2019-03-22T14:25:09Z,IGO566,"13.207079,77.695244",0,115,90
1553264715,2019-03-22T14:25:15Z,IGO566,"13.207045,77.699661",0,140,90
1553264721,2019-03-22T14:25:21Z,IGO566,"13.207009,77.704346",0,160,90
1553264727,2019-03-22T14:25:27Z,IGO566,"13.206963,77.708946",3075,175,90
1553264733,2019-03-22T14:25:33Z,IGO566,"13.206894,77.71402",3300,171,90
1553264739,2019-03-22T14:25:39Z,IGO566,"13.206894,77.71904",3550,171,90
1553264757,2019-03-22T14:25:57Z,IGO566,"13.20687,77.73391",4175,181,90
1553264763,2019-03-22T14:26:03Z,IGO566,"13.206802,77.739212",4325,188,90
1553264769,2019-03-22T14:26:09Z,IGO566,"13.20673,77.744507",4500,194,91
1553264776,2019-03-22T14:26:16Z,IGO566,"13.206619,77.750198",4625,202,91
1553264782,2019-03-22T14:26:22Z,IGO566,"13.206482,77.756966",4775,210,91
1553264788,2019-03-22T14:26:28Z,IGO566,"13.206405,77.763107",4950,218,90
1553264794,2019-03-22T14:26:34Z,IGO566,"13.206345,77.768425",5125,225,90
1553264808,2019-03-22T14:26:48Z,IGO566,"13.206253,77.786186",5550,245,90
1553264832,2019-03-22T14:27:12Z,IGO566,"13.211334,77.814316",6300,273,65
1553264838,2019-03-22T14:27:18Z,IGO566,"13.215775,77.821091",6575,276,56
1553264845,2019-03-22T14:27:25Z,IGO566,"13.220695,77.826477",6925,280,45
1553264851,2019-03-22T14:27:31Z,IGO566,"13.226715,77.831505",7250,281,37
1553264857,2019-03-22T14:27:37Z,IGO566,"13.233765,77.83567",7550,284,28
1553264864,2019-03-22T14:27:44Z,IGO566,"13.245136,77.839386",7950,289,12
1553264871,2019-03-22T14:27:51Z,IGO566,"13.252631,77.840111",8225,291,3
1553264892,2019-03-22T14:28:12Z,IGO566,"13.279129,77.831268",8825,286,331
1553264898,2019-03-22T14:28:18Z,IGO566,"13.286865,77.826958",9000,288,331
1553264914,2019-03-22T14:28:34Z,IGO566,"13.304352,77.817108",9275,290,331
1553264925,2019-03-22T14:28:45Z,IGO566,"13.319366,77.808823",9475,291,331
1553264937,2019-03-22T14:28:57Z,IGO566,"13.333054,77.801437",9850,293,332
1553264952,2019-03-22T14:29:12Z,IGO566,"13.348621,77.793083",10325,297,332
1553264962,2019-03-22T14:29:22Z,IGO566,"13.363006,77.785423",10700,311,332
