Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553353964,2019-03-23T15:12:44Z,IGO566,"13.201959,77.709152",0,9,165
1553353987,2019-03-23T15:13:07Z,IGO566,"13.202179,77.709061",0,9,205
1553354012,2019-03-23T15:13:32Z,IGO566,"13.202401,77.709106",0,2,272
1553354078,2019-03-23T15:14:38Z,IGO566,"13.202401,77.7089",0,2,270
1553354111,2019-03-23T15:15:11Z,IGO566,"13.202401,77.708633",0,2,270
1553354231,2019-03-23T15:17:11Z,IGO566,"13.202408,77.708405",0,10,272
1553354250,2019-03-23T15:17:30Z,IGO566,"13.202408,77.708076",0,15,270
1553354262,2019-03-23T15:17:42Z,IGO566,"13.202408,77.707718",0,19,270
1553354271,2019-03-23T15:17:51Z,IGO566,"13.202408,77.707375",0,21,270
1553354278,2019-03-23T15:17:58Z,IGO566,"13.202419,77.707138",0,23,270
1553354301,2019-03-23T15:18:21Z,IGO566,"13.202419,77.706665",0,0,273
1553354395,2019-03-23T15:19:55Z,IGO566,"13.202419,77.706299",0,16,272
1553354408,2019-03-23T15:20:08Z,IGO566,"13.202431,77.705887",0,21,270
1553354417,2019-03-23T15:20:17Z,IGO566,"13.202431,77.70549",0,24,270
1553354426,2019-03-23T15:20:26Z,IGO566,"13.202435,77.705025",0,28,270
1553354438,2019-03-23T15:20:38Z,IGO566,"13.202435,77.704399",0,24,270
1553354446,2019-03-23T15:20:46Z,IGO566,"13.202564,77.704071",0,22,306
1553354453,2019-03-23T15:20:53Z,IGO566,"13.202808,77.703934",0,20,340
1553354466,2019-03-23T15:21:06Z,IGO566,"13.203238,77.703926",0,19,1
1553354473,2019-03-23T15:21:13Z,IGO566,"13.203495,77.703926",0,20,3
1553354481,2019-03-23T15:21:21Z,IGO566,"13.20377,77.703934",0,22,2
1553354492,2019-03-23T15:21:32Z,IGO566,"13.204296,77.703934",0,26,2
1553354499,2019-03-23T15:21:39Z,IGO566,"13.204636,77.703941",0,26,3
1553354510,2019-03-23T15:21:50Z,IGO566,"13.205189,77.703751",0,25,317
1553354559,2019-03-23T15:22:39Z,IGO566,"13.205311,77.701622",0,24,270
1553354571,2019-03-23T15:22:51Z,IGO566,"13.205315,77.700981",0,27,270
1553354577,2019-03-23T15:22:57Z,IGO566,"13.205315,77.700699",0,29,270
1553354589,2019-03-23T15:23:09Z,IGO566,"13.205322,77.699936",0,33,270
1553354596,2019-03-23T15:23:16Z,IGO566,"13.205338,77.699326",0,15,270
1553354609,2019-03-23T15:23:29Z,IGO566,"13.205345,77.698372",0,34,270
1553354615,2019-03-23T15:23:35Z,IGO566,"13.205349,77.698013",0,33,270
1553354623,2019-03-23T15:23:43Z,IGO566,"13.205349,77.697525",0,33,270
1553354629,2019-03-23T15:23:49Z,IGO566,"13.205349,77.697136",0,32,270
1553354636,2019-03-23T15:23:56Z,IGO566,"13.205357,77.696747",0,32,270
1553354644,2019-03-23T15:24:04Z,IGO566,"13.205369,77.696167",0,32,270
1553354659,2019-03-23T15:24:19Z,IGO566,"13.205372,77.69519",0,32,270
1553354665,2019-03-23T15:24:25Z,IGO566,"13.205372,77.694839",0,32,270
