Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553436520,2019-03-24T14:08:40Z,IGO566,"13.20155,77.709175",0,0,180
1553436590,2019-03-24T14:09:50Z,IGO566,"13.201756,77.70919",0,10,174
1553436607,2019-03-24T14:10:07Z,IGO566,"13.201982,77.709167",0,10,163
1553436638,2019-03-24T14:10:38Z,IGO566,"13.202293,77.70903",0,2,236
1553436672,2019-03-24T14:11:12Z,IGO566,"13.202396,77.709244",0,0,109
1553436844,2019-03-24T14:14:04Z,IGO566,"13.202396,77.709244",0,0,316
1553437090,2019-03-24T14:18:10Z,IGO566,"13.202408,77.709007",0,13,272
1553437105,2019-03-24T14:18:25Z,IGO566,"13.20254,77.708626",0,19,295
1553437115,2019-03-24T14:18:35Z,IGO566,"13.202715,77.708374",0,20,306
1553437125,2019-03-24T14:18:45Z,IGO566,"13.202808,77.708023",0,18,275
1553437133,2019-03-24T14:18:53Z,IGO566,"13.202808,77.707802",0,19,272
1553437139,2019-03-24T14:18:59Z,IGO566,"13.202808,77.707542",0,22,270
1553437145,2019-03-24T14:19:05Z,IGO566,"13.202808,77.707245",0,25,272
1553437151,2019-03-24T14:19:11Z,IGO566,"13.20282,77.706917",0,28,270
1553437157,2019-03-24T14:19:17Z,IGO566,"13.20282,77.706619",0,29,270
1553437164,2019-03-24T14:19:24Z,IGO566,"13.20282,77.706253",0,30,270
1553437175,2019-03-24T14:19:35Z,IGO566,"13.202831,77.705467",0,33,270
1553437181,2019-03-24T14:19:41Z,IGO566,"13.202831,77.70507",0,31,270
1553437187,2019-03-24T14:19:47Z,IGO566,"13.202831,77.70472",0,27,270
1553437193,2019-03-24T14:19:53Z,IGO566,"13.202843,77.704384",0,27,270
1553437218,2019-03-24T14:20:18Z,IGO566,"13.202854,77.703056",0,28,270
1553437230,2019-03-24T14:20:30Z,IGO566,"13.202855,77.702339",0,31,270
1553437237,2019-03-24T14:20:37Z,IGO566,"13.202855,77.701927",0,33,270
1553437248,2019-03-24T14:20:48Z,IGO566,"13.202867,77.701248",0,26,270
1553437254,2019-03-24T14:20:54Z,IGO566,"13.202866,77.700935",0,28,270
1553437269,2019-03-24T14:21:09Z,IGO566,"13.202878,77.700012",0,30,270
1553437279,2019-03-24T14:21:19Z,IGO566,"13.202878,77.699417",0,32,270
1553437294,2019-03-24T14:21:34Z,IGO566,"13.202889,77.698471",0,29,270
1553437305,2019-03-24T14:21:45Z,IGO566,"13.202889,77.698013",0,20,272
1553437311,2019-03-24T14:21:51Z,IGO566,"13.2029,77.697762",0,23,270
1553437318,2019-03-24T14:21:58Z,IGO566,"13.2029,77.697495",0,25,270
1553437328,2019-03-24T14:22:08Z,IGO566,"13.2029,77.696907",0,28,270
1553437336,2019-03-24T14:22:16Z,IGO566,"13.202901,77.696442",0,30,270
1553437343,2019-03-24T14:22:23Z,IGO566,"13.202913,77.69606",0,31,270
1553437354,2019-03-24T14:22:34Z,IGO566,"13.202913,77.695419",0,25,270
1553437361,2019-03-24T14:22:41Z,IGO566,"13.202913,77.695129",0,22,270
1553437369,2019-03-24T14:22:49Z,IGO566,"13.202923,77.694801",0,20,270
1553437376,2019-03-24T14:22:56Z,IGO566,"13.202925,77.694588",0,21,270
1553437382,2019-03-24T14:23:02Z,IGO566,"13.202923,77.694344",0,23,270
1553437388,2019-03-24T14:23:08Z,IGO566,"13.202923,77.694069",0,21,270
1553437402,2019-03-24T14:23:22Z,IGO566,"13.203017,77.693504",0,22,295
1553437412,2019-03-24T14:23:32Z,IGO566,"13.203392,77.693336",0,23,357
1553437427,2019-03-24T14:23:47Z,IGO566,"13.203999,77.693336",0,25,357
1553437439,2019-03-24T14:23:59Z,IGO566,"13.204651,77.693344",0,26,359
1553437445,2019-03-24T14:24:05Z,IGO566,"13.204926,77.693352",0,26,357
1553437451,2019-03-24T14:24:11Z,IGO566,"13.2052,77.693268",0,25,337
1553437457,2019-03-24T14:24:17Z,IGO566,"13.20536,77.693039",0,24,289
1553437466,2019-03-24T14:24:26Z,IGO566,"13.205392,77.692589",0,25,272
1553437475,2019-03-24T14:24:35Z,IGO566,"13.205395,77.692116",0,28,270
1553437485,2019-03-24T14:24:45Z,IGO566,"13.205403,77.69149",0,31,270
1553437493,2019-03-24T14:24:53Z,IGO566,"13.205406,77.691063",0,32,270
1553437501,2019-03-24T14:25:01Z,IGO566,"13.205415,77.690437",0,15,270
1553437530,2019-03-24T14:25:30Z,IGO566,"13.205427,77.68853",0,28,270
1553437541,2019-03-24T14:25:41Z,IGO566,"13.205439,77.687904",0,30,270
1553437657,2019-03-24T14:27:37Z,IGO566,"13.205441,77.68679",0,9,272
1553437678,2019-03-24T14:27:58Z,IGO566,"13.205498,77.686493",0,13,286
1553437694,2019-03-24T14:28:14Z,IGO566,"13.205718,77.686256",0,15,320
1553437706,2019-03-24T14:28:26Z,IGO566,"13.205951,77.68618",0,13,345
1553437713,2019-03-24T14:28:33Z,IGO566,"13.205509,77.686493",0,11,354
1553437826,2019-03-24T14:30:26Z,IGO566,"13.206242,77.686172",0,17,357
1553437841,2019-03-24T14:30:41Z,IGO566,"13.206859,77.686287",0,28,25
1553437856,2019-03-24T14:30:56Z,IGO566,"13.207161,77.686928",0,22,87
1553437863,2019-03-24T14:31:03Z,IGO566,"13.207169,77.687157",0,18,87
1553437869,2019-03-24T14:31:09Z,IGO566,"13.207169,77.68737",0,20,90
1553437876,2019-03-24T14:31:16Z,IGO566,"13.207161,77.68763",0,26,92
1553437886,2019-03-24T14:31:26Z,IGO566,"13.207137,77.689362",0,52,90
1553437893,2019-03-24T14:31:33Z,IGO566,"13.207114,77.692085",0,84,90
1553437899,2019-03-24T14:31:39Z,IGO566,"13.207091,77.694626",0,105,90
1553437912,2019-03-24T14:31:52Z,IGO566,"13.207031,77.703011",0,150,90
1553437943,2019-03-24T14:32:23Z,IGO566,"13.206985,77.72789",4025,168,90
1553437954,2019-03-24T14:32:34Z,IGO566,"13.206894,77.737076",4375,174,91
1553437960,2019-03-24T14:32:40Z,IGO566,"13.206823,77.742729",4500,183,90
1553437966,2019-03-24T14:32:46Z,IGO566,"13.206777,77.748268",4625,190,90
1553437975,2019-03-24T14:32:55Z,IGO566,"13.206684,77.756363",4800,202,90
1553437982,2019-03-24T14:33:02Z,IGO566,"13.206684,77.762535",4875,214,90
1553437994,2019-03-24T14:33:14Z,IGO566,"13.206637,77.776695",5100,236,90
1553438023,2019-03-24T14:33:43Z,IGO566,"13.210687,77.811775",6075,269,67
1553438031,2019-03-24T14:33:51Z,IGO566,"13.214859,77.818909",6350,273,56
1553438039,2019-03-24T14:33:59Z,IGO566,"13.22319,77.827385",6775,277,40
1553438049,2019-03-24T14:34:09Z,IGO566,"13.233079,77.833267",7225,282,25
1553438057,2019-03-24T14:34:17Z,IGO566,"13.245461,77.836639",7500,290,11
1553438063,2019-03-24T14:34:23Z,IGO566,"13.253469,77.837029",7625,301,1
1553438085,2019-03-24T14:34:45Z,IGO566,"13.284164,77.83316",8100,328,351
1553438093,2019-03-24T14:34:53Z,IGO566,"13.297073,77.831123",8375,335,351
1553438105,2019-03-24T14:35:05Z,IGO566,"13.317013,77.828018",8950,340,351
1553438117,2019-03-24T14:35:17Z,IGO566,"13.335571,77.825211",9575,342,351
