Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553523484,2019-03-25T14:18:04Z,IGO566,"13.2017,77.70465",0,2,180
1553523507,2019-03-25T14:18:27Z,IGO566,"13.20192,77.70466",0,9,165
1553523546,2019-03-25T14:19:06Z,IGO566,"13.2023,77.70451",0,9,227
1553523772,2019-03-25T14:22:52Z,IGO566,"13.20243,77.70467",0,0,180
1553523868,2019-03-25T14:24:28Z,IGO566,"13.20244,77.70424",0,17,272
1553523913,2019-03-25T14:25:13Z,IGO566,"13.20246,77.70259",0,30,270
1553523928,2019-03-25T14:25:28Z,IGO566,"13.20247,77.70141",0,15,270
1553523955,2019-03-25T14:25:55Z,IGO566,"13.20248,77.69947",0,31,270
1553523965,2019-03-25T14:26:05Z,IGO566,"13.20248,77.69884",0,34,270
1553523972,2019-03-25T14:26:12Z,IGO566,"13.20248,77.69839",0,15,270
1553523983,2019-03-25T14:26:23Z,IGO566,"13.20249,77.69752",0,16,270
1553523990,2019-03-25T14:26:30Z,IGO566,"13.2025,77.69692",0,17,270
1553523996,2019-03-25T14:26:36Z,IGO566,"13.20251,77.69639",0,18,270
1553524005,2019-03-25T14:26:45Z,IGO566,"13.20251,77.69549",0,19,270
1553524012,2019-03-25T14:26:52Z,IGO566,"13.20251,77.69501",0,20,270
1553524023,2019-03-25T14:27:03Z,IGO566,"13.20252,77.694",0,31,270
1553524029,2019-03-25T14:27:09Z,IGO566,"13.20253,77.69366",0,26,272
1553524035,2019-03-25T14:27:15Z,IGO566,"13.20266,77.69344",0,25,306
1553524041,2019-03-25T14:27:21Z,IGO566,"13.20292,77.69334",0,23,348
1553524047,2019-03-25T14:27:27Z,IGO566,"13.20315,77.69332",0,23,357
1553524061,2019-03-25T14:27:41Z,IGO566,"13.20382,77.69332",0,26,357
1553524069,2019-03-25T14:27:49Z,IGO566,"13.20417,77.69332",0,27,357
1553524077,2019-03-25T14:27:57Z,IGO566,"13.20468,77.69332",0,28,357
1553524087,2019-03-25T14:28:07Z,IGO566,"13.2051,77.6933",0,23,348
1553524114,2019-03-25T14:28:34Z,IGO566,"13.2054,77.69224",0,25,272
1553524123,2019-03-25T14:28:43Z,IGO566,"13.2054,77.69173",0,28,270
1553524138,2019-03-25T14:28:58Z,IGO566,"13.20541,77.69086",0,32,270
1553524145,2019-03-25T14:29:05Z,IGO566,"13.20541,77.69033",0,34,270
1553524165,2019-03-25T14:29:25Z,IGO566,"13.20542,77.68912",0,26,270
1553524426,2019-03-25T14:33:46Z,IGO566,"13.20543,77.68788",0,14,270
1553524446,2019-03-25T14:34:06Z,IGO566,"13.20544,77.68734",0,19,270
1553524481,2019-03-25T14:34:41Z,IGO566,"13.20544,77.68678",0,0,270
1553524752,2019-03-25T14:39:12Z,IGO566,"13.20578,77.6862",0,17,329
1553524768,2019-03-25T14:39:28Z,IGO566,"13.20613,77.68617",0,9,5
1553524871,2019-03-25T14:41:11Z,IGO566,"13.2066,77.68616",0,22,357
1553524880,2019-03-25T14:41:20Z,IGO566,"13.20699,77.68632",0,24,30
1553524897,2019-03-25T14:41:37Z,IGO566,"13.20716,77.68693",0,22,90
1553524905,2019-03-25T14:41:45Z,IGO566,"13.20715,77.68732",0,27,92
1553524923,2019-03-25T14:42:03Z,IGO566,"13.20712,77.69014",0,61,92
1553524929,2019-03-25T14:42:09Z,IGO566,"13.2071,77.69259",0,88,90
1553524941,2019-03-25T14:42:21Z,IGO566,"13.20703,77.7",0,135,90
1553524952,2019-03-25T14:42:32Z,IGO566,"13.20699,77.70866",2925,175,90
1553524959,2019-03-25T14:42:39Z,IGO566,"13.20692,77.7141",3125,178,90
1553524966,2019-03-25T14:42:46Z,IGO566,"13.20692,77.71931",3350,177,90
1553524990,2019-03-25T14:43:10Z,IGO566,"13.20712,77.73954",4250,183,90
1553525001,2019-03-25T14:43:21Z,IGO566,"13.20708,77.75053",4475,199,90
1553525008,2019-03-25T14:43:28Z,IGO566,"13.20699,77.75659",4575,208,90
1553525020,2019-03-25T14:43:40Z,IGO566,"13.20685,77.76862",4925,222,90
1553525026,2019-03-25T14:43:46Z,IGO566,"13.20676,77.77534",5100,230,91
1553525038,2019-03-25T14:43:58Z,IGO566,"13.20653,77.78884",5575,241,91
1553525068,2019-03-25T14:44:28Z,IGO566,"13.21399,77.82324",6975,252,55
1553525074,2019-03-25T14:44:34Z,IGO566,"13.21925,77.8288",7325,253,43
1553525081,2019-03-25T14:44:41Z,IGO566,"13.22507,77.83298",7575,256,32
1553525089,2019-03-25T14:44:49Z,IGO566,"13.23466,77.83717",7875,265,18
1553525096,2019-03-25T14:44:56Z,IGO566,"13.24237,77.83842",8050,274,5
1553525116,2019-03-25T14:45:16Z,IGO566,"13.27016,77.83543",8625,297,351
1553525122,2019-03-25T14:45:22Z,IGO566,"13.27876,77.83411",8825,302,351
1553525138,2019-03-25T14:45:38Z,IGO566,"13.30044,77.83067",9150,322,351
1553525149,2019-03-25T14:45:49Z,IGO566,"13.32005,77.82771",9350,339,351
1553525161,2019-03-25T14:46:01Z,IGO566,"13.33832,77.82511",9700,351,352
1553525174,2019-03-25T14:46:14Z,IGO566,"13.35919,77.82224",10225,356,352
1553525186,2019-03-25T14:46:26Z,IGO566,"13.378,77.81973",10800,358,352
1553525198,2019-03-25T14:46:38Z,IGO566,"13.39929,77.81692",11425,360,352
