Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553615117,2019-03-26T15:45:17Z,IGO566,"13.201959,77.705482",0,2,160
1553615144,2019-03-26T15:45:44Z,IGO566,"13.202179,77.705391",0,2,185
1553615169,2019-03-26T15:46:09Z,IGO566,"13.202401,77.70536",0,2,258
1553615293,2019-03-26T15:48:13Z,IGO566,"13.202435,77.705368",0,10,270
1553615313,2019-03-26T15:48:33Z,IGO566,"13.202435,77.704948",0,18,270
1553615331,2019-03-26T15:48:51Z,IGO566,"13.202465,77.704308",0,22,278
1553615339,2019-03-26T15:48:59Z,IGO566,"13.202637,77.704048",0,23,315
1553615348,2019-03-26T15:49:08Z,IGO566,"13.203026,77.703934",0,22,357
1553615354,2019-03-26T15:49:14Z,IGO566,"13.203255,77.703934",0,22,2
1553615361,2019-03-26T15:49:21Z,IGO566,"13.203552,77.703934",0,23,2
1553615373,2019-03-26T15:49:33Z,IGO566,"13.204065,77.703941",0,24,2
1553615379,2019-03-26T15:49:39Z,IGO566,"13.204345,77.703941",0,24,2
1553615385,2019-03-26T15:49:45Z,IGO566,"13.204647,77.703941",0,24,2
1553615391,2019-03-26T15:49:51Z,IGO566,"13.20488,77.703918",0,24,354
1553615400,2019-03-26T15:50:00Z,IGO566,"13.205217,77.703659",0,26,306
1553615406,2019-03-26T15:50:06Z,IGO566,"13.205303,77.703293",0,28,278
1553615412,2019-03-26T15:50:12Z,IGO566,"13.205315,77.703064",0,29,272
1553615421,2019-03-26T15:50:21Z,IGO566,"13.205315,77.702438",0,31,270
1553615431,2019-03-26T15:50:31Z,IGO566,"13.205322,77.70182",0,30,270
1553615437,2019-03-26T15:50:37Z,IGO566,"13.205326,77.701515",0,30,270
1553615453,2019-03-26T15:50:53Z,IGO566,"13.205334,77.700562",0,30,272
1553615465,2019-03-26T15:51:05Z,IGO566,"13.205334,77.699821",0,32,270
1553615474,2019-03-26T15:51:14Z,IGO566,"13.205345,77.699142",0,33,270
1553615482,2019-03-26T15:51:22Z,IGO566,"13.205349,77.698685",0,34,270
1553615494,2019-03-26T15:51:34Z,IGO566,"13.205357,77.697784",0,15,270
