Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553695195,2019-03-27T13:59:55Z,IGO566,"13.201679,77.705864",0,2,180
1553695223,2019-03-27T14:00:23Z,IGO566,"13.201939,77.705864",0,2,168
1553695252,2019-03-27T14:00:52Z,IGO566,"13.202156,77.705795",0,2,182
1553695285,2019-03-27T14:01:25Z,IGO566,"13.202377,77.705772",0,2,255
1553695315,2019-03-27T14:01:55Z,IGO566,"13.202419,77.705994",0,9,270
1553695452,2019-03-27T14:04:12Z,IGO566,"13.20266,77.705788",0,17,309
1553695462,2019-03-27T14:04:22Z,IGO566,"13.20282,77.705505",0,19,286
1553695468,2019-03-27T14:04:28Z,IGO566,"13.202831,77.705276",0,20,267
1553695474,2019-03-27T14:04:34Z,IGO566,"13.202831,77.70507",0,20,272
1553695481,2019-03-27T14:04:41Z,IGO566,"13.202831,77.704819",0,21,270
1553695487,2019-03-27T14:04:47Z,IGO566,"13.202831,77.704559",0,22,270
1553695495,2019-03-27T14:04:55Z,IGO566,"13.202831,77.704239",0,24,270
1553695502,2019-03-27T14:05:02Z,IGO566,"13.202843,77.703911",0,24,270
1553695529,2019-03-27T14:05:29Z,IGO566,"13.202854,77.70256",0,27,270
1553695536,2019-03-27T14:05:36Z,IGO566,"13.202855,77.702194",0,28,270
1553695546,2019-03-27T14:05:46Z,IGO566,"13.202855,77.701637",0,29,270
1553695553,2019-03-27T14:05:53Z,IGO566,"13.202866,77.701172",0,30,270
1553695563,2019-03-27T14:06:03Z,IGO566,"13.202867,77.700623",0,31,270
1553695572,2019-03-27T14:06:12Z,IGO566,"13.202867,77.700073",0,30,270
1553695586,2019-03-27T14:06:26Z,IGO566,"13.202878,77.699188",0,30,270
1553695598,2019-03-27T14:06:38Z,IGO566,"13.202889,77.698479",0,31,270
1553695607,2019-03-27T14:06:47Z,IGO566,"13.202889,77.697868",0,32,270
1553695614,2019-03-27T14:06:54Z,IGO566,"13.202889,77.697441",0,32,270
1553695622,2019-03-27T14:07:02Z,IGO566,"13.2029,77.696854",0,32,270
1553695638,2019-03-27T14:07:18Z,IGO566,"13.202901,77.695839",0,32,270
1553695644,2019-03-27T14:07:24Z,IGO566,"13.202911,77.695457",0,32,270
1553695652,2019-03-27T14:07:32Z,IGO566,"13.202913,77.694916",0,32,270
1553695659,2019-03-27T14:07:39Z,IGO566,"13.202925,77.694458",0,32,272
1553695666,2019-03-27T14:07:46Z,IGO566,"13.202923,77.694107",0,32,270
1553695675,2019-03-27T14:07:55Z,IGO566,"13.202971,77.693581",0,27,286
1553695684,2019-03-27T14:08:04Z,IGO566,"13.203297,77.693314",0,24,334
1553695695,2019-03-27T14:08:15Z,IGO566,"13.203781,77.693336",0,25,2
1553695703,2019-03-27T14:08:23Z,IGO566,"13.204239,77.693336",0,26,2
1553695711,2019-03-27T14:08:31Z,IGO566,"13.2046,77.693336",0,26,2
1553695720,2019-03-27T14:08:40Z,IGO566,"13.205077,77.693321",0,25,354
1553695728,2019-03-27T14:08:48Z,IGO566,"13.205345,77.693039",0,24,289
1553695738,2019-03-27T14:08:58Z,IGO566,"13.20538,77.692589",0,25,272
1553695745,2019-03-27T14:09:05Z,IGO566,"13.205395,77.692245",0,27,270
1553695754,2019-03-27T14:09:14Z,IGO566,"13.205395,77.691704",0,29,270
1553695760,2019-03-27T14:09:20Z,IGO566,"13.205403,77.69136",0,31,270
1553695786,2019-03-27T14:09:46Z,IGO566,"13.205418,77.689522",0,16,270
1553695813,2019-03-27T14:10:13Z,IGO566,"13.205441,77.68718",0,19,270
1553695831,2019-03-27T14:10:31Z,IGO566,"13.205822,77.686203",0,29,334
1553695839,2019-03-27T14:10:39Z,IGO566,"13.206242,77.68618",0,27,2
1553695853,2019-03-27T14:10:53Z,IGO566,"13.206893,77.686317",0,26,30
1553695869,2019-03-27T14:11:09Z,IGO566,"13.207146,77.687271",0,18,90
1553695885,2019-03-27T14:11:25Z,IGO566,"13.207126,77.691002",0,78,90
1553695893,2019-03-27T14:11:33Z,IGO566,"13.207077,77.695747",0,115,90
1553695900,2019-03-27T14:11:40Z,IGO566,"13.207033,77.699936",0,140,90
1553695906,2019-03-27T14:11:46Z,IGO566,"13.206998,77.703804",0,160,90
1553695912,2019-03-27T14:11:52Z,IGO566,"13.206963,77.7089",2925,177,90
1553695918,2019-03-27T14:11:58Z,IGO566,"13.206963,77.714294",3175,175,89
1553695940,2019-03-27T14:12:20Z,IGO566,"13.20673,77.731262",4025,172,91
1553695946,2019-03-27T14:12:26Z,IGO566,"13.206684,77.736557",4150,181,90
1553695957,2019-03-27T14:12:37Z,IGO566,"13.206619,77.747543",4400,196,90
1553695964,2019-03-27T14:12:44Z,IGO566,"13.206591,77.753326",4500,205,90
1553695975,2019-03-27T14:12:55Z,IGO566,"13.206591,77.765663",4825,222,89
1553695981,2019-03-27T14:13:01Z,IGO566,"13.206637,77.772362",5025,228,89
1553695994,2019-03-27T14:13:14Z,IGO566,"13.206665,77.786186",5475,238,89
1553696006,2019-03-27T14:13:26Z,IGO566,"13.206684,77.799927",6075,242,90
1553696019,2019-03-27T14:13:39Z,IGO566,"13.208499,77.814285",6650,243,75
1553696027,2019-03-27T14:13:47Z,IGO566,"13.21257,77.823029",7125,244,59
1553696033,2019-03-27T14:13:53Z,IGO566,"13.217056,77.828568",7425,244,49
1553696039,2019-03-27T14:13:59Z,IGO566,"13.222595,77.833069",7725,245,35
1553696046,2019-03-27T14:14:06Z,IGO566,"13.228317,77.836197",7925,252,25
1553696054,2019-03-27T14:14:14Z,IGO566,"13.238805,77.838951",8150,265,8
1553696061,2019-03-27T14:14:21Z,IGO566,"13.247635,77.838799",8350,273,356
1553696067,2019-03-27T14:14:27Z,IGO566,"13.255646,77.837807",8500,282,352
1553696073,2019-03-27T14:14:33Z,IGO566,"13.262512,77.836807",8675,287,352
1553696079,2019-03-27T14:14:39Z,IGO566,"13.270935,77.835533",8800,297,351
