Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553868218,2019-03-29T14:03:38Z,IGO566,"13.201679,77.705055",0,0,180
1553868250,2019-03-29T14:04:10Z,IGO566,"13.201927,77.70507",0,9,163
1553868275,2019-03-29T14:04:35Z,IGO566,"13.202179,77.704987",0,9,182
1553868288,2019-03-29T14:04:48Z,IGO566,"13.20179,77.70507",0,9,225
1553868316,2019-03-29T14:05:16Z,IGO566,"13.202435,77.705093",0,0,51
1553868572,2019-03-29T14:09:32Z,IGO566,"13.202435,77.704781",0,13,270
1553868580,2019-03-29T14:09:40Z,IGO566,"13.202442,77.704559",0,16,270
1553868624,2019-03-29T14:10:24Z,IGO566,"13.202454,77.703224",0,18,270
1553868666,2019-03-29T14:11:06Z,IGO566,"13.202471,77.701332",0,29,270
1553868676,2019-03-29T14:11:16Z,IGO566,"13.202471,77.700699",0,32,270
1553868694,2019-03-29T14:11:34Z,IGO566,"13.202482,77.699539",0,33,270
1553868703,2019-03-29T14:11:43Z,IGO566,"13.202482,77.698868",0,15,270
1553868709,2019-03-29T14:11:49Z,IGO566,"13.202494,77.698387",0,15,270
1553868716,2019-03-29T14:11:56Z,IGO566,"13.202499,77.69799",0,27,270
1553868728,2019-03-29T14:12:08Z,IGO566,"13.202499,77.69735",0,29,270
1553868735,2019-03-29T14:12:15Z,IGO566,"13.202506,77.696953",0,31,270
1553868758,2019-03-29T14:12:38Z,IGO566,"13.202518,77.695442",0,27,272
1553868765,2019-03-29T14:12:45Z,IGO566,"13.202522,77.695099",0,29,270
1553868777,2019-03-29T14:12:57Z,IGO566,"13.202529,77.694397",0,31,270
1553868785,2019-03-29T14:13:05Z,IGO566,"13.202534,77.693871",0,30,270
1553868791,2019-03-29T14:13:11Z,IGO566,"13.202599,77.69355",0,21,295
1553868809,2019-03-29T14:13:29Z,IGO566,"13.203163,77.693321",0,19,348
1553868816,2019-03-29T14:13:36Z,IGO566,"13.20339,77.693321",0,22,348
1553868830,2019-03-29T14:13:50Z,IGO566,"13.203996,77.693336",0,24,1
1553868837,2019-03-29T14:13:57Z,IGO566,"13.204321,77.693336",0,25,1
1553868843,2019-03-29T14:14:03Z,IGO566,"13.204612,77.693336",0,24,1
1553868858,2019-03-29T14:14:18Z,IGO566,"13.20524,77.693253",0,22,331
1553868865,2019-03-29T14:14:25Z,IGO566,"13.20538,77.693001",0,22,289
1553868872,2019-03-29T14:14:32Z,IGO566,"13.205392,77.692757",0,22,272
1553868881,2019-03-29T14:14:41Z,IGO566,"13.205395,77.692345",0,24,270
1553868891,2019-03-29T14:14:51Z,IGO566,"13.205403,77.691833",0,27,270
1553868900,2019-03-29T14:15:00Z,IGO566,"13.205406,77.691338",0,29,270
1553868906,2019-03-29T14:15:06Z,IGO566,"13.205415,77.691002",0,30,270
1553868925,2019-03-29T14:15:25Z,IGO566,"13.205427,77.68969",0,15,270
1553868943,2019-03-29T14:15:43Z,IGO566,"13.205439,77.688347",0,16,270
1553868966,2019-03-29T14:16:06Z,IGO566,"13.20545,77.686905",0,25,272
1553868976,2019-03-29T14:16:16Z,IGO566,"13.205485,77.686485",0,21,286
1553868987,2019-03-29T14:16:27Z,IGO566,"13.205764,77.686203",0,21,331
1553869025,2019-03-29T14:17:05Z,IGO566,"13.20615,77.686172",0,0,357
1553869073,2019-03-29T14:17:53Z,IGO566,"13.206596,77.686188",0,25,5
1553869082,2019-03-29T14:18:02Z,IGO566,"13.207043,77.686401",0,32,39
1553869093,2019-03-29T14:18:13Z,IGO566,"13.207169,77.686852",0,11,87
1553869115,2019-03-29T14:18:35Z,IGO566,"13.207172,77.687088",0,25,90
1553869125,2019-03-29T14:18:45Z,IGO566,"13.207157,77.688385",0,41,90
1553869131,2019-03-29T14:18:51Z,IGO566,"13.207146,77.690247",0,70,90
1553869146,2019-03-29T14:19:06Z,IGO566,"13.207067,77.698128",0,130,90
1553869158,2019-03-29T14:19:18Z,IGO566,"13.207008,77.706169",0,165,90
1553869164,2019-03-29T14:19:24Z,IGO566,"13.207009,77.712227",3125,179,89
1553869170,2019-03-29T14:19:30Z,IGO566,"13.207077,77.717377",3375,174,89
1553869177,2019-03-29T14:19:37Z,IGO566,"13.207056,77.722588",3650,171,90
