Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553959638,2019-03-30T15:27:18Z,IGO566,"13.202442,77.701874",0,9,264
1553960009,2019-03-30T15:33:29Z,IGO566,"13.202465,77.701347",0,18,270
1553960031,2019-03-30T15:33:51Z,IGO566,"13.202477,77.700478",0,22,270
1553960048,2019-03-30T15:34:08Z,IGO566,"13.202477,77.69976",0,24,270
1553960059,2019-03-30T15:34:19Z,IGO566,"13.202482,77.699287",0,26,270
1553960068,2019-03-30T15:34:28Z,IGO566,"13.202488,77.698792",0,28,270
1553960080,2019-03-30T15:34:40Z,IGO566,"13.202488,77.698235",0,24,270
1553960094,2019-03-30T15:34:54Z,IGO566,"13.202499,77.697502",0,24,270
1553960107,2019-03-30T15:35:07Z,IGO566,"13.202494,77.69696",0,25,270
1553960113,2019-03-30T15:35:13Z,IGO566,"13.202506,77.69664",0,27,270
1553960128,2019-03-30T15:35:28Z,IGO566,"13.202511,77.695778",0,28,270
1553960134,2019-03-30T15:35:34Z,IGO566,"13.202506,77.695442",0,28,270
1553960140,2019-03-30T15:35:40Z,IGO566,"13.202511,77.695053",0,30,270
1553960152,2019-03-30T15:35:52Z,IGO566,"13.202522,77.694344",0,29,270
1553960161,2019-03-30T15:36:01Z,IGO566,"13.202518,77.693893",0,25,270
1553960175,2019-03-30T15:36:15Z,IGO566,"13.202715,77.693398",0,20,320
1553960187,2019-03-30T15:36:27Z,IGO566,"13.203072,77.693321",0,19,2
1553960213,2019-03-30T15:36:53Z,IGO566,"13.204193,77.693344",0,25,2
1553960221,2019-03-30T15:37:01Z,IGO566,"13.204589,77.693359",0,25,6
1553960234,2019-03-30T15:37:14Z,IGO566,"13.205124,77.693336",0,21,348
1553960243,2019-03-30T15:37:23Z,IGO566,"13.205349,77.693062",0,20,292
1553960252,2019-03-30T15:37:32Z,IGO566,"13.205383,77.692741",0,21,272
1553960272,2019-03-30T15:37:52Z,IGO566,"13.205392,77.691895",0,26,270
1553960284,2019-03-30T15:38:04Z,IGO566,"13.205395,77.691238",0,29,270
1553960298,2019-03-30T15:38:18Z,IGO566,"13.205406,77.690399",0,32,270
1553960309,2019-03-30T15:38:29Z,IGO566,"13.205406,77.689568",0,15,270
1553960325,2019-03-30T15:38:45Z,IGO566,"13.205415,77.688606",0,32,270
1553960363,2019-03-30T15:39:23Z,IGO566,"13.205681,77.686279",0,27,320
1553960370,2019-03-30T15:39:30Z,IGO566,"13.206056,77.68618",0,30,354
1553960380,2019-03-30T15:39:40Z,IGO566,"13.206591,77.686203",0,30,5
1553960388,2019-03-30T15:39:48Z,IGO566,"13.206997,77.686447",0,30,43
1553960399,2019-03-30T15:39:59Z,IGO566,"13.20715,77.687469",0,26,90
1553960412,2019-03-30T15:40:12Z,IGO566,"13.207114,77.690834",0,80,90
1553960426,2019-03-30T15:40:26Z,IGO566,"13.207045,77.698746",0,135,90
1553960433,2019-03-30T15:40:33Z,IGO566,"13.20702,77.703568",0,155,90
1553960439,2019-03-30T15:40:39Z,IGO566,"13.206963,77.708466",2975,176,90
1553960445,2019-03-30T15:40:45Z,IGO566,"13.20694,77.713356",3200,176,90
1553960452,2019-03-30T15:40:52Z,IGO566,"13.20694,77.718613",3425,173,90
1553960458,2019-03-30T15:40:58Z,IGO566,"13.207077,77.723679",3700,172,88
1553960469,2019-03-30T15:41:09Z,IGO566,"13.207306,77.733383",4100,177,89
1553960494,2019-03-30T15:41:34Z,IGO566,"13.207009,77.755302",4575,209,91
1553960506,2019-03-30T15:41:46Z,IGO566,"13.206619,77.769188",4850,228,91
1553960513,2019-03-30T15:41:53Z,IGO566,"13.20645,77.776314",5025,237,91
1553960524,2019-03-30T15:42:04Z,IGO566,"13.206218,77.789948",5325,253,90
1553960533,2019-03-30T15:42:13Z,IGO566,"13.207169,77.801575",5575,266,81
1553960540,2019-03-30T15:42:20Z,IGO566,"13.209058,77.808258",5800,271,72
1553960548,2019-03-30T15:42:28Z,IGO566,"13.215363,77.819336",6300,275,54
1553960555,2019-03-30T15:42:35Z,IGO566,"13.220742,77.825073",6600,277,44
1553960563,2019-03-30T15:42:43Z,IGO566,"13.229736,77.831413",7100,279,31
1553960569,2019-03-30T15:42:49Z,IGO566,"13.237244,77.834633",7425,281,20
1553960577,2019-03-30T15:42:57Z,IGO566,"13.246253,77.836639",7775,283,8
1553960585,2019-03-30T15:43:05Z,IGO566,"13.256821,77.836639",8275,284,355
1553960595,2019-03-30T15:43:15Z,IGO566,"13.269699,77.834633",8800,285,350
1553960603,2019-03-30T15:43:23Z,IGO566,"13.282052,77.832596",9275,287,350
1553960618,2019-03-30T15:43:38Z,IGO566,"13.301514,77.829704",9800,291,352
1553960630,2019-03-30T15:43:50Z,IGO566,"13.318735,77.827339",9975,292,352
1553960643,2019-03-30T15:44:03Z,IGO566,"13.334335,77.825302",10100,291,352
1553960656,2019-03-30T15:44:16Z,IGO566,"13.352051,77.823029",10425,301,352
1553960667,2019-03-30T15:44:27Z,IGO566,"13.368713,77.8209",10675,315,352
1553960679,2019-03-30T15:44:39Z,IGO566,"13.388377,77.818329",10900,333,352
1553960693,2019-03-30T15:44:53Z,IGO566,"13.407417,77.815826",11150,348,352
1553960703,2019-03-30T15:45:03Z,IGO566,"13.427621,77.81308",11650,355,352
1553960716,2019-03-30T15:45:16Z,IGO566,"13.44666,77.810425",12300,357,352
1553960746,2019-03-30T15:45:46Z,IGO566,"13.497116,77.802284",13950,358,350
1553960781,2019-03-30T15:46:21Z,IGO566,"13.553192,77.793007",15275,371,351
1553960812,2019-03-30T15:46:52Z,IGO566,"13.606293,77.785049",16575,377,351
1553960845,2019-03-30T15:47:25Z,IGO566,"13.664703,77.776382",18100,378,350
1553960859,2019-03-30T15:47:39Z,IGO566,"13.689789,77.768524",18675,384,337
1553960865,2019-03-30T15:47:45Z,IGO566,"13.698349,77.763885",18850,386,331
1553960871,2019-03-30T15:47:51Z,IGO566,"13.707958,77.757278",19075,389,325
1553960881,2019-03-30T15:48:01Z,IGO566,"13.722855,77.746002",19475,392,323
1553960887,2019-03-30T15:48:07Z,IGO566,"13.731327,77.739502",19700,392,323
1553960939,2019-03-30T15:48:59Z,IGO566,"13.806044,77.683075",21500,400,323
1553960988,2019-03-30T15:49:48Z,IGO566,"13.883413,77.625343",23025,407,323
1553961076,2019-03-30T15:51:16Z,IGO566,"14.018509,77.523415",25500,422,322
1553961139,2019-03-30T15:52:19Z,IGO566,"14.116013,77.446602",27600,418,322
1553961203,2019-03-30T15:53:23Z,IGO566,"14.21575,77.368324",28825,430,322
1553961263,2019-03-30T15:54:23Z,IGO566,"14.309786,77.294456",30450,424,322
1553961326,2019-03-30T15:55:26Z,IGO566,"14.411362,77.214806",31400,433,322
1553961390,2019-03-30T15:56:30Z,IGO566,"14.511031,77.136452",32650,434,322
1553961453,2019-03-30T15:57:33Z,IGO566,"14.611862,77.057114",33850,434,322
1553961512,2019-03-30T15:58:32Z,IGO566,"14.707993,76.981293",34000,432,322
1553961577,2019-03-30T15:59:37Z,IGO566,"14.808872,76.901649",34000,435,322
1553961639,2019-03-30T16:00:39Z,IGO566,"14.910216,76.821701",34000,435,322
